팀명,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
LG,144,86,56,37,92,0.606,1293 1/3,1266,74,491,76,977,610,527,1.36
NC,144,75,67,33,88,0.528,1281 1/3,1160,99,513,62,1090,617,545,1.31
두산,144,74,68,41,70,0.521,1284 2/3,1245,90,501,82,1013,625,560,1.36
KT,144,79,62,39,61,0.56,1287,1326,83,413,50,968,616,564,1.35
KIA,144,73,69,33,66,0.514,1269,1244,89,564,59,980,650,583,1.42
롯데,144,68,76,35,82,0.472,1272 1/3,1328,80,532,82,1070,660,586,1.46
SSG,144,76,65,46,71,0.539,1288 1/3,1354,104,612,67,974,698,626,1.53
한화,144,58,80,20,68,0.42,1291 2/3,1292,101,518,103,1037,708,628,1.4
키움,144,58,83,33,61,0.411,1288 1/3,1340,84,532,63,962,710,632,1.45
삼성,144,61,82,38,69,0.427,1278 1/3,1414,120,464,52,899,728,654,1.47
