기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2023-04-01,1,SSG,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2023-04-01,1,키움,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2023-04-01,1,KT,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2023-04-01,1,NC,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0
2023-04-01,1,두산,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2023-04-01,6,LG,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2023-04-01,6,KIA,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2023-04-01,6,삼성,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2023-04-01,6,롯데,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2023-04-01,6,한화,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2023-04-02,1,키움,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0
2023-04-02,2,SSG,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0
2023-04-02,2,LG,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1
2023-04-02,2,KT,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0
2023-04-02,2,KIA,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1
2023-04-02,2,NC,2,1,1,0,0.5,1.0,1승0무1패,1패,0-0-0,1-0-1
2023-04-02,2,삼성,2,1,1,0,0.5,1.0,1승0무1패,1승,1-0-1,0-0-0
2023-04-02,2,롯데,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1
2023-04-02,2,두산,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0
2023-04-02,10,한화,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2
