game_id,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
20220402HHOB0,잠실,한화,두산,finished,16271,14:02,17:27,3:25,4,6
20220402SKNC0,창원,SSG,NC,finished,7814,14:03,16:56,2:53,4,0
20220402SSKT0,수원,삼성,KT,finished,17057,13:59,16:40,2:41,1,4
20220402LGHT0,광주,LG,KIA,finished,16908,14:00,16:49,2:49,9,0
20220402LTWO0,고척,롯데,키움,finished,8257,14:00,17:12,3:12,7,2
20220403HHOB0,잠실,한화,두산,finished,11345,14:01,16:29,2:28,0,1
20220403SKNC0,창원,SSG,NC,finished,4808,13:59,17:02,3:03,4,1
20220403SSKT0,수원,삼성,KT,finished,10321,13:59,17:20,3:21,6,5
20220403LGHT0,광주,LG,KIA,finished,10290,14:00,17:26,3:26,3,2
20220403LTWO0,고척,롯데,키움,finished,6115,14:00,17:55,3:55,3,4
20220405SSOB0,잠실,삼성,두산,finished,4109,18:32,22:26,3:54,6,5
20220405LTNC0,창원,롯데,NC,finished,3246,18:30,21:24,2:54,5,1
20220405SKKT0,수원,SSG,KT,finished,2055,18:31,21:29,2:58,8,5
20220405HHHT0,광주,한화,KIA,finished,2840,18:29,21:57,3:28,3,4
20220405LGWO0,고척,LG,키움,finished,2298,18:30,21:34,3:04,8,4
20220406SSOB0,잠실,삼성,두산,finished,4161,18:31,21:31,3:00,7,1
20220406LTNC0,창원,롯데,NC,finished,3000,18:29,21:12,2:43,0,5
20220406SKKT0,수원,SSG,KT,finished,2094,18:30,20:52,2:22,3,0
20220406HHHT0,광주,한화,KIA,finished,3117,18:30,22:20,3:50,4,7
20220406LGWO0,고척,LG,키움,finished,2304,18:30,22:13,3:43,2,1
20220407SSOB0,잠실,삼성,두산,finished,4055,18:31,22:24,3:53,5,6
20220407LTNC0,창원,롯데,NC,finished,3017,18:29,21:21,2:52,2,1
20220407SKKT0,수원,SSG,KT,finished,2530,18:31,21:19,2:48,4,3
20220407HHHT0,광주,한화,KIA,finished,2773,18:29,21:40,3:11,2,6
20220407LGWO0,고척,LG,키움,finished,2055,18:30,21:01,2:31,6,0
20220408KTHH0,한밭,KT,한화,finished,5520,18:30,22:06,3:36,4,2
20220408NCLG0,잠실,NC,LG,finished,10623,18:30,21:23,2:53,4,1
20220408HTSK0,문학,KIA,SSG,finished,15615,18:31,21:12,2:41,0,3
20220408OBLT0,사직,두산,롯데,finished,8860,18:30,21:45,3:15,6,1
20220408WOSS0,대구,키움,삼성,finished,9244,18:30,21:07,2:37,1,0
20220409KTHH0,한밭,KT,한화,finished,6538,16:59,19:59,3:00,1,7
20220409NCLG0,잠실,NC,LG,finished,14328,17:01,20:10,3:09,6,7
20220409HTSK0,문학,KIA,SSG,finished,21005,17:00,19:35,2:35,5,9
20220409OBLT0,사직,두산,롯데,finished,13045,17:00,20:03,3:03,4,5
20220409WOSS0,대구,키움,삼성,finished,13059,17:00,19:49,2:49,3,0
20220410KTHH0,한밭,KT,한화,finished,5735,13:59,17:10,3:11,4,6
20220410NCLG0,잠실,NC,LG,finished,13095,13:59,17:15,3:16,3,5
20220410HTSK0,문학,KIA,SSG,finished,17849,14:00,16:57,2:57,2,11
20220410OBLT0,사직,두산,롯데,finished,11646,14:02,18:07,4:05,4,3
20220410WOSS0,대구,키움,삼성,finished,11610,14:00,16:51,2:51,6,5
20220412SKLG0,잠실,SSG,LG,finished,6028,18:30,20:58,2:28,4,1
20220412HHSS0,대구,한화,삼성,finished,4047,18:30,21:13,2:43,0,2
20220412OBKT0,수원,두산,KT,finished,2450,18:31,21:42,3:11,3,1
20220412LTHT0,광주,롯데,KIA,finished,3654,18:32,21:44,3:12,5,6
20220412NCWO0,고척,NC,키움,finished,774,18:29,21:16,2:47,0,10
20220413SKLG0,잠실,SSG,LG,finished,4547,18:30,22:11,3:41,4,2
