선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
강건,KT,11.25,4,0,1,0,0,0.000,4,8,1,4,1,3,5,5,3.0
고영표,KT,4.95,18,6,8,0,0,0.429,100,141,6,14,11,79,61,55,1.55
김민,KT,4.31,71,8,4,0,21,0.667,77 1/3,84,5,27,2,77,38,37,1.44
김민수,KT,5.2,75,5,3,0,12,0.625,81 1/3,84,8,33,1,75,56,47,1.44
김영현,KT,4.91,8,0,0,0,0,-,7 1/3,9,1,7,1,8,6,4,2.18
문용익,KT,12.18,12,0,0,0,0,-,17,23,2,22,2,17,27,23,2.65
박세진,KT,3.38,6,0,0,0,0,-,5 1/3,7,0,4,0,2,4,2,2.06
박시영,KT,4.62,26,0,1,1,4,0.000,25 1/3,27,4,7,1,23,13,13,1.34
박영현,KT,3.52,66,10,2,25,0,0.833,76 2/3,63,12,22,0,87,31,30,1.11
벤자민,KT,4.63,28,11,8,0,0,0.579,149 2/3,141,28,48,4,156,90,77,1.26
성재헌,KT,7.31,30,0,0,0,1,-,32,46,1,16,5,20,29,26,1.94
소형준,KT,3.24,6,2,0,0,0,1.000,8 1/3,7,1,1,1,3,3,3,0.96
손동현,KT,5.32,42,1,2,1,4,0.333,47 1/3,50,5,20,1,27,31,28,1.48
엄상백,KT,4.88,29,13,10,0,0,0.565,156 2/3,164,26,42,7,159,88,85,1.31
우규민,KT,2.49,45,4,1,1,4,0.800,43 1/3,47,1,2,2,39,14,12,1.13
원상현,KT,7.03,22,2,5,0,1,0.286,65 1/3,105,6,31,2,59,54,51,2.08
육청명,KT,5.44,13,1,5,0,0,0.167,44 2/3,52,6,20,6,20,31,27,1.61
이상동,KT,5.34,29,0,1,0,3,0.000,32,42,3,14,3,30,20,19,1.75
이선우,KT,5.4,6,0,0,0,0,-,10,10,0,4,2,4,6,6,1.4
이채호,KT,9.45,9,0,0,0,0,-,6 2/3,13,2,3,1,5,7,7,2.4
전용주,KT,10.8,4,0,0,0,0,-,1 2/3,2,0,3,1,4,3,2,3.0
조이현,KT,6.3,16,1,2,0,0,0.333,40,53,9,10,1,19,29,28,1.58
주권,KT,6.67,48,1,1,0,0,0.500,58,78,7,11,3,31,48,43,1.53
쿠에바스,KT,4.1,31,7,12,0,0,0.368,173 1/3,158,17,59,7,154,86,79,1.25
하준호,KT,9.0,2,0,0,0,0,-,2,5,0,1,0,0,2,2,3.0
한차현,KT,9.95,10,0,4,0,0,0.000,19,29,4,18,0,17,22,21,2.47
