player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
51868,2025-09-29,롯데,0.250,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0.276
51868,2025-09-03,키움,0.250,4,4,1,1,0,0,1,1,0,0,0,0,2,0,0.276
51868,2025-10-01,한화,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.276
51868,2025-10-02,KIA,1.000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0.279
51868,2025-10-04,NC,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.278
69517,2025-03-22,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.0
69517,2025-03-23,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.0
69517,2025-03-25,SSG,0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.091
69517,2025-04-08,KIA,0.667,4,3,1,2,1,0,0,0,0,1,1,0,0,0,0.214
69517,2025-04-09,KIA,0.500,5,4,0,2,0,0,0,0,0,0,1,0,0,0,0.278
69517,2025-04-01,KIA,0.250,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.273
69517,2025-04-11,NC,0.500,5,4,1,2,1,0,0,0,0,0,1,0,0,1,0.308
69517,2025-04-12,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.267
69517,2025-04-13,NC,0.333,5,3,1,1,0,0,0,0,0,0,2,0,1,0,0.273
69517,2025-04-15,키움,0.250,4,4,0,1,0,0,0,2,0,0,0,0,2,0,0.27
69517,2025-04-16,키움,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.268
69517,2025-04-17,키움,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.273
69517,2025-04-18,삼성,0.500,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0.292
69517,2025-04-19,삼성,0.200,5,5,0,1,0,0,0,1,0,0,0,0,1,0,0.283
69517,2025-04-02,삼성,0.250,4,4,0,1,0,0,0,0,1,0,0,0,1,1,0.281
69517,2025-04-23,한화,0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0.274
69517,2025-04-24,한화,0.333,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0.277
69517,2025-04-25,두산,0.500,5,4,1,2,0,0,0,1,0,0,1,0,0,0,0.29
69517,2025-04-26,두산,0.000,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0.278
69517,2025-04-27,두산,0.500,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0.284
69517,2025-04-29,키움,0.200,6,5,0,1,0,0,0,0,0,0,1,0,1,0,0.278
69517,2025-04-03,키움,0.200,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0.274
69517,2025-05-01,키움,0.250,5,4,1,1,1,0,0,0,0,0,1,0,0,0,0.273
69517,2025-05-02,NC,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.283
69517,2025-05-03,NC,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.278
69517,2025-05-04,NC,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,0,0.284
69517,2025-05-05,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.274
69517,2025-05-06,SSG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.273
69517,2025-05-07,SSG,0.200,5,5,1,1,0,0,0,0,0,0,0,0,2,1,0.27
