Name,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
안현민,482,15.60%,14.90%,1.04,0.448,0.57,1.018,0.235,5.1,0.362,0.3,104,45.4,0.455,177
디아즈,628,9.60%,15.90%,0.6,0.381,0.644,1.025,0.33,1.6,0.299,-0.4,129,52.5,0.441,169
오스틴,499,12.20%,12.40%,0.98,0.393,0.595,0.988,0.282,3.5,0.297,0.1,98,37.0,0.429,161
양의지,517,9.70%,12.20%,0.79,0.406,0.533,0.939,0.196,2.5,0.353,-0.7,97,34.2,0.419,154
데이비슨,439,7.10%,26.90%,0.26,0.346,0.619,0.965,0.326,1.9,0.313,-0.2,81,27.8,0.416,152
최형우,549,12.20%,17.90%,0.68,0.399,0.529,0.928,0.222,2.4,0.341,-0.4,100,33.6,0.413,150
구자욱,616,11.90%,14.80%,0.8,0.402,0.516,0.918,0.197,4.1,0.351,-0.3,111,36.3,0.41,148
김성윤,538,12.10%,10.00%,1.2,0.419,0.474,0.892,0.143,7.7,0.364,1.5,97,31.6,0.41,148
송성문,646,10.50%,14.90%,0.71,0.387,0.53,0.917,0.214,6.2,0.341,3.4,116,37.8,0.41,148
에레디아,415,7.50%,14.90%,0.5,0.398,0.491,0.888,0.152,1.3,0.377,-1.2,72,21.8,0.402,143
리베라토,546,8.40%,17.20%,0.49,0.366,0.524,0.891,0.211,4.3,0.347,-0.2,93,26.5,0.397,140
김선빈,308,10.10%,11.40%,0.89,0.395,0.428,0.823,0.107,4.0,0.359,0.4,49,11.3,0.383,130
레이예스,643,9.00%,10.30%,0.88,0.386,0.475,0.86,0.148,3.3,0.346,0.3,101,23.2,0.382,130
김주원,624,10.10%,17.80%,0.57,0.379,0.451,0.83,0.161,8.0,0.34,3.3,98,22.4,0.381,130
나성범,310,13.50%,25.50%,0.53,0.381,0.444,0.825,0.176,0.7,0.347,-0.4,49,10.9,0.381,129
노시환,624,11.20%,20.00%,0.56,0.354,0.497,0.851,0.237,4.9,0.28,0.1,97,20.8,0.378,127
윤동희,399,12.30%,16.30%,0.75,0.386,0.433,0.82,0.152,3.9,0.321,-0.5,62,13.0,0.377,127
최정,406,12.60%,23.20%,0.54,0.36,0.482,0.842,0.238,2.1,0.265,-0.2,63,13.2,0.377,127
문보경,607,13.00%,17.80%,0.73,0.371,0.46,0.831,0.184,3.3,0.301,-0.5,94,19.7,0.377,127
위즈덤,486,10.70%,29.20%,0.37,0.321,0.535,0.856,0.3,3.9,0.257,0.2,74,15.3,0.376,126
김현수,552,11.60%,13.20%,0.88,0.384,0.422,0.806,0.124,2.9,0.331,0.1,84,16.9,0.375,125
강백호,369,11.90%,17.30%,0.69,0.358,0.467,0.825,0.202,2.4,0.288,-1.7,56,10.8,0.373,124
문현빈,592,6.40%,13.90%,0.46,0.37,0.453,0.822,0.133,4.7,0.353,0.1,89,17.3,0.373,124
박승규,200,10.50%,21.50%,0.49,0.377,0.42,0.796,0.132,4.5,0.352,-1.0,30,5.6,0.371,123
최재훈,348,13.20%,13.80%,0.96,0.414,0.353,0.767,0.067,1.5,0.336,-0.7,52,9.6,0.371,123
박민우,468,9.40%,13.70%,0.69,0.384,0.426,0.809,0.124,7.8,0.349,1.6,70,12.8,0.371,122
채은성,527,5.90%,18.20%,0.32,0.347,0.467,0.814,0.179,1.9,0.326,-1.2,77,13.0,0.367,120
케이브,593,7.30%,19.60%,0.37,0.351,0.463,0.814,0.164,6.2,0.35,2.3,87,14.5,0.367,120
신민재,538,11.50%,10.60%,1.09,0.395,0.382,0.777,0.069,6.2,0.352,-1.6,78,12.7,0.366,119
박건우,442,10.60%,14.30%,0.75,0.37,0.427,0.797,0.138,3.0,0.322,-1.0,64,10.3,0.366,119
김호령,381,8.90%,24.70%,0.36,0.359,0.434,0.793,0.151,6.2,0.378,1.6,55,8.6,0.365,119
권희동,456,16.90%,17.50%,0.96,0.393,0.363,0.756,0.117,2.7,0.299,-1.7,66,10.0,0.364,118
전준우,472,9.30%,15.00%,0.62,0.369,0.42,0.788,0.127,2.7,0.332,-0.6,67,9.9,0.363,117
이재현,555,12.40%,21.40%,0.58,0.36,0.427,0.786,0.173,4.4,0.303,0.2,79,11.2,0.362,117
박성한,538,14.70%,17.30%,0.85,0.384,0.381,0.765,0.106,3.4,0.331,-2.3,76,10.8,0.361,116
박동원,523,11.90%,23.70%,0.5,0.342,0.455,0.797,0.202,2.7,0.297,0.3,73,9.6,0.359,115
김휘집,500,8.00%,17.80%,0.45,0.349,0.42,0.769,0.17,5.3,0.277,0.6,69,8.2,0.357,114
한유섬,511,9.00%,23.50%,0.38,0.347,0.424,0.771,0.152,1.7,0.339,-0.3,69,6.8,0.353,111
홍창기,215,13.50%,18.60%,0.73,0.399,0.328,0.727,0.04,4.3,0.358,0.3,29,2.8,0.353,111
이진영,366,10.40%,25.40%,0.41,0.35,0.417,0.767,0.143,2.2,0.347,-1.9,49,4.8,0.353,111
플로리얼,285,8.40%,22.80%,0.37,0.333,0.45,0.783,0.178,6.4,0.332,1.0,38,3.6,0.352,110
한태양,267,12.00%,25.80%,0.46,0.367,0.378,0.746,0.104,5.1,0.384,-0.6,36,3.2,0.351,110
문성주,542,10.00%,10.90%,0.92,0.375,0.375,0.749,0.069,3.1,0.336,-1.2,72,6.3,0.351,110
김재환,407,14.00%,23.60%,0.59,0.354,0.404,0.758,0.163,4.4,0.295,0.1,54,4.5,0.35,109
김영웅,499,9.60%,28.70%,0.34,0.323,0.455,0.778,0.206,4.4,0.313,-0.1,66,5.2,0.349,109
박병호,232,11.60%,30.20%,0.39,0.315,0.454,0.769,0.255,0.9,0.212,-0.2,31,2.3,0.349,108
박해민,544,12.50%,17.30%,0.72,0.379,0.346,0.725,0.07,6.6,0.341,3.1,71,4.9,0.348,107
스티븐슨,336,8.30%,25.60%,0.33,0.341,0.403,0.744,0.141,4.7,0.35,0.5,43,2.4,0.345,106
로하스,384,12.50%,18.50%,0.68,0.333,0.426,0.759,0.187,2.0,0.26,-0.6,49,2.5,0.344,105
오선우,474,7.20%,33.30%,0.22,0.323,0.432,0.755,0.167,2.2,0.375,-1.3,60,2.5,0.343,104
유강남,350,7.40%,18.90%,0.39,0.352,0.383,0.734,0.109,1.3,0.329,-0.4,44,1.8,0.343,104
최주환,506,7.10%,13.00%,0.55,0.33,0.425,0.755,0.15,1.4,0.295,-0.5,64,2.4,0.342,104
강민호,465,8.20%,14.80%,0.55,0.336,0.417,0.754,0.148,2.0,0.293,-0.9,58,1.9,0.341,103
박찬호,595,10.40%,11.60%,0.9,0.363,0.359,0.721,0.072,5.5,0.319,2.1,74,1.9,0.34,103
구본혁,397,9.10%,11.10%,0.82,0.364,0.353,0.716,0.067,4.6,0.326,-0.6,49,0.9,0.339,102
허경민,481,8.10%,7.30%,1.11,0.362,0.355,0.717,0.071,2.8,0.299,-0.2,60,1.0,0.339,102
김형준,415,10.80%,30.40%,0.36,0.32,0.414,0.735,0.182,3.8,0.3,0.2,51,0.4,0.337,101
오지환,472,7.80%,24.40%,0.32,0.314,0.43,0.744,0.177,3.9,0.306,-1.6,58,0.2,0.337,100
하주석,305,3.90%,21.60%,0.18,0.337,0.391,0.728,0.094,2.9,0.377,-0.4,37,0.0,0.336,100
손아섭,416,8.90%,14.20%,0.63,0.352,0.371,0.723,0.083,2.9,0.338,-2.2,50,-0.1,0.336,100
나승엽,392,14.00%,16.60%,0.85,0.347,0.36,0.707,0.131,2.1,0.259,-0.4,47,-0.9,0.334,98
정수빈,546,11.20%,10.40%,1.07,0.355,0.348,0.704,0.091,6.6,0.28,-1.0,65,-1.4,0.333,98
김민성,254,13.00%,18.90%,0.69,0.353,0.346,0.699,0.103,1.5,0.299,-0.7,30,-0.8,0.332,97
전민재,369,6.00%,17.10%,0.35,0.337,0.378,0.715,0.091,2.5,0.34,-1.1,44,-1.3,0.332,97
고명준,500,4.00%,19.80%,0.2,0.306,0.433,0.739,0.155,2.6,0.315,-0.1,59,-1.8,0.332,97
김인태,225,16.00%,25.30%,0.63,0.356,0.328,0.683,0.115,2.3,0.29,-0.7,27,-0.8,0.332,97
이주형,514,7.20%,22.40%,0.32,0.337,0.368,0.704,0.128,5.3,0.3,2.0,61,-2.0,0.331,97
황재균,424,8.00%,19.80%,0.4,0.336,0.379,0.715,0.104,2.9,0.334,-0.3,50,-1.7,0.331,97
최지훈,574,7.50%,15.20%,0.49,0.342,0.371,0.713,0.087,6.0,0.327,1.9,67,-2.5,0.331,96
