팀명,SBA,SB,CS,SB%,OOB,PKO
삼성,160,116,44,72.5,46,7
KT,158,112,46,70.9,48,5
한화,165,109,56,66.1,59,14
NC,147,101,46,68.7,39,9
SSG,143,100,43,69.9,42,3
키움,123,97,26,78.9,39,3
LG,126,92,34,73.0,43,15
두산,118,81,37,68.6,46,10
KIA,104,73,31,70.2,46,8
롯데,91,60,31,65.9,54,8
