팀명,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
롯데,144,5726,5009,727,1393,266,10,107,2000,697,38,46
두산,144,5645,4900,738,1314,235,17,110,1913,698,46,53
삼성,144,5552,4836,712,1292,204,18,133,1931,669,48,68
KT,144,5627,4810,719,1276,219,11,106,1835,673,69,44
SSG,144,5736,4899,755,1278,204,13,185,2063,712,55,52
NC,144,5532,4808,702,1254,203,17,170,2001,670,59,43
키움,144,5653,4874,722,1262,244,28,91,1835,671,35,56
LG,144,5533,4750,654,1188,210,11,110,1750,621,52,45
KIA,144,5577,4831,568,1198,183,21,66,1621,546,41,37
한화,144,5495,4685,599,1111,213,17,80,1598,554,54,49
