Name,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
이지영,432,4.20%,8.10%,0.51,0.32,0.349,0.669,0.07,4.5,0.294,0.8,43,-15.1,0.309,74
고영우,290,9.70%,24.50%,0.39,0.329,0.319,0.648,0.063,2.4,0.349,-0.2,28,-11.1,0.306,72
김성욱,412,7.50%,19.20%,0.39,0.291,0.38,0.671,0.176,5.8,0.21,-0.1,39,-16.3,0.304,71
조수행,382,8.60%,13.90%,0.62,0.334,0.293,0.627,0.027,8.3,0.312,8.7,35,-16.6,0.3,68
김형준,414,10.90%,34.80%,0.31,0.285,0.373,0.658,0.178,0.9,0.261,-0.2,37,-18.7,0.298,67
변상권,232,4.70%,22.00%,0.22,0.289,0.342,0.631,0.091,1.6,0.305,-0.1,19,-12.3,0.288,61
전민재,276,6.20%,19.20%,0.32,0.301,0.298,0.6,0.052,5.3,0.301,-0.2,21,-16.5,0.281,56
김재현,326,4.30%,19.30%,0.22,0.297,0.281,0.579,0.038,2.2,0.306,-0.5,23,-21.1,0.275,52
김현준,205,5.40%,23.90%,0.22,0.279,0.29,0.568,0.066,5.4,0.299,0.3,13,-14.9,0.266,46
김태진,202,3.50%,13.40%,0.26,0.249,0.286,0.534,0.063,4.6,0.258,-0.1,9,-18.8,0.242,31
배정대,276,6.90%,23.60%,0.29,0.279,0.292,0.57,0.088,5.5,0.267,-0.3,19,-14.4,0.271,57
정훈,200,5.00%,20.00%,0.25,0.268,0.308,0.576,0.092,1.1,0.266,-0.2,13,-11.0,0.267,55
김민석,247,4.90%,25.10%,0.19,0.269,0.298,0.568,0.07,5.1,0.304,-0.5,15,-14.6,0.262,52
