선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김규연,한화,7.02,58,1,0,0,4,1.000,59,66,6,28,4,40,50,46,1.59
김기중,한화,6.56,27,5,4,0,0,0.556,59,83,8,27,6,39,44,43,1.86
김도빈,한화,54.00,1,0,1,0,0,0.000,1/3,1,0,3,0,1,2,2,12.00
김민우,한화,2.19,3,1,0,0,0,1.000,12 1/3,7,2,6,0,13,3,3,1.05
김범수,한화,5.29,39,0,0,0,4,-,34,33,11,20,5,38,20,20,1.56
김서현,한화,3.76,37,1,2,0,10,0.333,38 1/3,31,0,32,4,43,20,16,1.64
김승일,한화,3.00,3,0,0,0,0,-,3,4,0,0,1,2,1,1,1.33
남지민,한화,0.00,2,0,0,0,0,-,4,2,0,2,1,3,0,0,1.00
류현진,한화,3.87,28,10,8,0,0,0.556,158 1/3,182,12,33,3,135,78,68,1.36
문동주,한화,5.17,21,7,7,0,0,0.500,111 1/3,148,14,38,4,96,71,64,1.67
바리아,한화,5.15,20,6,7,0,0,0.462,92 2/3,114,10,18,0,83,58,53,1.42
박상원,한화,4.59,65,3,3,2,16,0.500,66 2/3,57,2,22,7,65,38,34,1.19
배민서,한화,16.20,1,0,0,0,0,-,1 2/3,4,0,3,0,1,3,3,4.20
산체스,한화,4.22,11,2,3,0,0,0.400,53 1/3,60,2,21,10,56,28,25,1.52
와이스,한화,3.73,16,5,5,0,0,0.500,91 2/3,77,8,29,3,98,43,38,1.16
윤대경,한화,10.57,7,0,0,0,0,-,7 2/3,10,1,6,1,7,9,9,2.09
이민우,한화,3.76,64,2,1,1,10,0.667,55,56,5,23,1,49,25,23,1.44
이상규,한화,5.63,21,1,4,0,0,0.200,32,39,5,15,1,27,20,20,1.69
이충호,한화,3.86,3,0,0,0,0,-,2 1/3,4,0,3,0,3,1,1,3.00
이태양,한화,11.57,10,0,2,0,0,0.000,9 1/3,17,4,2,0,2,13,12,2.04
장민재,한화,3.10,26,1,1,0,0,0.500,29,46,2,7,1,17,10,10,1.83
장시환,한화,5.13,30,2,2,0,2,0.500,33 1/3,34,3,22,1,28,27,19,1.68
장지수,한화,10.93,13,0,0,0,0,-,14,23,0,10,2,11,18,17,2.36
정우람,한화,-,1,0,0,0,0,-,0,1,0,0,0,0,0,0,-
조동욱,한화,6.37,21,1,2,0,0,0.333,41,57,5,14,6,32,34,29,1.73
주현상,한화,2.65,65,8,4,23,2,0.667,71 1/3,52,9,8,1,64,22,21,0.84
페냐,한화,6.27,9,3,5,0,0,0.375,37 1/3,41,6,20,0,29,28,26,1.63
한승주,한화,11.45,18,0,2,0,0,0.000,22,45,2,10,3,14,31,28,2.50
한승혁,한화,5.03,70,5,5,0,19,0.500,62 2/3,63,2,38,6,64,39,35,1.61
황준서,한화,5.38,36,2,8,0,1,0.200,72,80,9,51,5,70,44,43,1.82
