팀명,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
KIA,144,5812,5124,858,1542,266,28,163,2353,812,45,53
롯데,144,5766,5110,802,1454,285,41,125,2196,757,37,57
LG,144,5725,4919,808,1394,238,29,115,2035,765,46,73
KT,144,5808,5072,767,1413,234,16,145,2114,722,62,45
두산,144,5680,4975,789,1375,243,21,150,2110,743,55,59
NC,144,5757,5009,773,1371,226,15,172,2143,737,50,57
SSG,144,5647,5001,756,1367,239,20,152,2102,724,51,48
한화,144,5702,5005,745,1351,224,18,127,1992,698,42,40
삼성,144,5697,4975,770,1336,204,17,185,2129,734,57,47
키움,144,5671,5015,672,1326,222,24,104,1908,641,37,49
