선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
고영표,KT,2.92,26,11,6,0,1,0.647,166 2/3,147,9,27,14,130,59,54,1.04
김민수,KT,2.95,56,4,2,0,11,0.667,58,56,2,24,3,55,25,19,1.38
김재윤,KT,2.42,65,4,3,32,0,0.571,67,57,5,24,0,64,19,18,1.21
데스파이네,KT,3.39,33,13,10,0,0,0.565,188 2/3,175,10,78,7,165,81,71,1.34
박시영,KT,2.4,48,3,3,0,12,0.500,45,30,4,15,1,51,16,12,1.0
배제성,KT,3.68,26,9,10,0,0,0.474,141 2/3,126,6,82,1,136,67,58,1.47
소형준,KT,4.16,24,7,7,0,0,0.500,119,123,6,51,4,85,67,55,1.46
심재민,KT,2.89,28,0,1,0,1,0.000,46 2/3,41,4,11,0,35,15,15,1.11
안영명,KT,4.08,35,0,1,0,4,0.000,35 1/3,24,2,11,1,32,17,16,0.99
엄상백,KT,4.1,10,4,1,0,0,0.800,52 2/3,41,7,28,3,45,24,24,1.31
오윤석,KT,0.0,1,0,0,0,0,-,2/3,0,0,0,0,0,0,0,0.0
유원상,KT,6.08,11,1,1,0,1,0.500,13 1/3,15,0,7,0,13,10,9,1.65
이대은,KT,3.48,31,3,2,1,9,0.600,31,27,4,11,1,22,15,12,1.23
이보근,KT,15.55,16,0,1,0,1,0.000,11,28,4,7,0,9,20,19,3.18
이상동,KT,8.53,6,0,1,0,1,0.000,6 1/3,7,0,3,0,5,6,6,1.58
이정현,KT,9.35,2,0,1,0,0,0.000,8 2/3,12,3,5,0,1,9,9,1.96
이창재,KT,2.7,32,2,0,0,0,1.000,26 2/3,22,0,10,0,19,8,8,1.2
전유수,KT,3.38,11,1,0,0,0,1.000,10 2/3,9,1,6,0,9,6,4,1.41
조현우,KT,2.61,49,0,0,0,6,-,31,26,0,7,1,13,10,9,1.06
주권,KT,3.31,62,3,4,0,27,0.429,49,48,3,19,1,19,19,18,1.37
지명성,KT,0.0,3,1,0,0,0,1.000,4,1,0,1,1,4,1,0,0.5
쿠에바스,KT,4.12,23,9,5,0,0,0.643,133 1/3,131,11,51,3,137,68,61,1.37
하준호,KT,6.75,10,0,0,0,0,-,12,16,2,6,0,10,10,9,1.83
한차현,KT,19.64,3,0,0,0,0,-,3 2/3,10,3,2,0,3,8,8,3.27
