game_id,player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
20210702LTSK0,51833,2021-07-02,롯데,선발,,6.35,25,5 2/3,8,0,1,1,2,4,4,6.35
20210707WOSK0,51833,2021-07-07,키움,선발,패,13.5,27,4 2/3,8,0,4,0,4,8,7,9.58
20210813HTSK0,51833,2021-08-13,KIA,선발,패,6.75,16,4,2,2,3,1,0,3,3,8.79
20210819NCSK0,51833,2021-08-19,NC,선발,패,15.75,21,4,9,2,0,0,8,7,7,10.31
20210827KTSK0,51833,2021-08-27,KT,선발,,3.6,20,5,4,0,1,0,8,2,2,8.87
20210902OBSK0,51833,2021-09-02,두산,선발,승,0,26,7,3,0,3,0,5,0,0,6.82
20210909LTSK0,51833,2021-09-09,롯데,선발,승,3,25,6,6,0,1,0,7,2,2,6.19
20210915HHSK0,51833,2021-09-15,한화,선발,,9,24,5,6,0,3,2,7,5,5,6.53
20210921WOSK0,51833,2021-09-21,키움,선발,승,7.5,26,6,6,1,2,1,4,5,5,6.65
20210926HTSK0,51833,2021-09-26,KIA,선발,패,10.8,24,5,7,1,3,0,8,6,6,7.05
20211002KTSK0,51833,2021-10-02,KT,선발,,2.7,25,6 2/3,6,0,3,0,4,2,2,6.56
20211008HHSK0,51833,2021-10-08,한화,선발,승,4.26,23,6 1/3,5,0,0,0,8,3,3,6.34
20211017LTSK0,51833,2021-10-17,롯데,선발,승,1.5,25,6,7,0,1,1,2,1,1,5.93
20211022OBSK0,51833,2021-10-22,두산,선발,승,7.2,23,5,6,0,2,0,1,4,4,6.01
20211028OBSK0,51833,2021-10-28,두산,선발,,3.6,21,5,5,1,3,0,2,2,2,5.86
20210407LTNC0,61295,2021-04-07,롯데,구원,승,0,14,3 1/3,3,0,1,0,4,0,0,0
20210413SKNC0,61295,2021-04-13,SSG,선발,승,1.8,18,5,2,1,1,0,4,2,1,1.08
20210424OBNC0,61295,2021-04-24,두산,선발,패,13.5,23,4,9,2,2,0,0,6,6,5.11
20210403WONC0,61295,2021-04-03,키움,선발,패,15.43,12,2 1/3,2,0,2,0,2,4,4,6.75
20210602WONC0,61295,2021-06-02,키움,구원,,36,7,1,2,0,2,0,2,4,4,8.62
20210625SKNC0,61295,2021-06-25,SSG,구원,,0,7,2,1,0,0,0,1,0,0,7.64
20210626SKNC0,61295,2021-06-26,SSG,구원,,40.5,6,02월 03일,3,1,1,0,0,3,3,8.84
20210914WONC0,61295,2021-09-14,키움,구원,,0,2,0,0,0,2,0,0,1,1,9.33
20211023HTNC0,61295,2021-10-23,KIA,구원,,0,8,2,1,0,1,0,1,0,0,8.41
20211027KTNC0,61295,2021-10-27,KT,구원,승,0,4,1 1/3,0,0,0,0,0,0,0,7.89
20211028KTNC0,61295,2021-10-28,KT,구원,홀,0,3,1,0,0,0,0,0,0,0,7.54
20211003SSNC0,61295,2021-10-03,삼성,구원,,27,5,01월 03일,2,0,2,0,0,1,1,7.83
20210623NCLT0,67591,2021-06-23,NC,구원,,6.75,7,1 1/3,1,0,1,1,1,1,1,6.75
20210626SKNC0,79358,2021-06-26,SSG,선발,,18,12,2,5,1,2,0,3,4,4,18
20210811NCNC0,79358,2021-08-11,NC,구원,홀,0,2,02월 03일,0,0,0,0,2,0,0,13.5
20210812NCNC0,79358,2021-08-12,NC,구원,,0,2,01월 03일,1,0,0,0,0,0,0,12
20210814LGNC0,79358,2021-08-14,LG,구원,홀,0,3,1,0,0,1,0,0,0,0,9
20210802KTNC0,79358,2021-08-02,KT,구원,,0,2,01월 03일,0,0,1,0,0,0,0,8.31
20210822KTNC0,79358,2021-08-22,KT,구원,,0,4,1,0,0,1,0,0,0,0,6.75
20210825HTNC0,79358,2021-08-25,KIA,구원,,0,3,02월 03일,0,0,1,0,0,0,0,6
20210826HTNC0,79358,2021-08-26,KIA,구원,,0,1,0,1,0,0,0,0,0,0,6
20210828OBNC0,79358,2021-08-28,두산,구원,,0,3,1,0,0,0,0,2,0,0,5.14
20210831LGNC0,79358,2021-08-31,LG,구원,,0,5,1,2,0,0,1,0,0,0,4.5
20210903HHNC0,79358,2021-09-03,한화,구원,홀,0,2,01월 03일,0,0,1,0,1,0,0,4.32
20210907SSNC0,79358,2021-09-07,삼성,구원,,0,3,02월 03일,0,0,1,0,0,0,0,4
20210909SKNC0,79358,2021-09-09,SSG,구원,패,135,6,01월 03일,3,1,2,0,0,5,5,8.68
20210915HTNC0,79358,2021-09-15,KIA,구원,,0,3,1,0,0,0,0,0,0,0,7.84
20210918HHNC0,79358,2021-09-18,한화,구원,,0,10,2 1/3,3,0,1,0,4,0,0,6.39
20210922SSNC0,79358,2021-09-22,삼성,구원,,0,1,0,1,0,0,0,0,1,1,7.11
20211003NCNC0,79358,2021-10-03,NC,구원,,0,1,0,0,0,1,0,0,0,0,7.11
20211008OBNC0,79358,2021-10-08,두산,구원,,0,3,1,0,0,0,0,0,0,0,6.59
20211014LGNC0,79358,2021-10-14,LG,구원,,54,3,01월 03일,2,0,0,0,1,2,2,7.71
20211017SKNC0,79358,2021-10-17,SSG,구원,,81,4,01월 03일,2,1,1,0,0,3,3,9.42
20211023HHNC0,79358,2021-10-23,한화,구원,,0,2,02월 03일,1,0,0,0,1,0,0,9
20211029LGNC0,79358,2021-10-29,LG,구원,,0,4,1,0,0,1,0,1,0,0,8.44
20210404KTHH0,50705,2021-04-04,KT,구원,,0,5,1 1/3,1,0,0,0,2,0,0,0
20210406SKHH0,50705,2021-04-06,SSG,구원,,0,1,01월 03일,0,0,0,0,1,0,0,0
20210408SKHH0,50705,2021-04-08,SSG,구원,,0,3,1,0,0,0,0,2,0,0,0
20210411OBHH0,50705,2021-04-11,두산,구원,승,0,3,1,0,0,0,0,2,0,0,0
20210414SSHH0,50705,2021-04-14,삼성,구원,홀,9,5,1,0,0,1,1,0,1,1,1.93
20210418NCHH0,50705,2021-04-18,NC,구원,,0,9,1 2/3,1,0,2,1,1,0,0,1.42
20210402WOHH0,50705,2021-04-02,키움,구원,홀,0,6,1,1,0,1,0,1,1,0,1.23
20210424LGHH0,50705,2021-04-24,LG,구원,,0,8,2,1,0,1,0,1,0,0,0.96
20210427HTHH0,50705,2021-04-27,KIA,구원,,0,3,1,0,0,0,0,1,0,0,0.87
20210429HTHH0,50705,2021-04-29,KIA,구원,,0,3,1,0,0,0,0,2,0,0,0.79
20210403LTHH0,50705,2021-04-03,롯데,구원,세,0,7,1 1/3,2,0,1,1,1,0,0,0.71
20210502LTHH0,50705,2021-05-02,롯데,구원,홀,0,3,1,0,0,0,0,0,0,0,0.66
20210505SSHH0,50705,2021-05-05,삼성,구원,,13.5,4,02월 03일,2,0,0,0,2,1,1,1.26
20210506SSHH0,50705,2021-05-06,삼성,구원,,0,3,1,0,0,0,0,1,0,0,1.17
20210509LGHH0,50705,2021-05-09,LG,구원,홀,0,5,1 2/3,0,0,0,0,1,0,0,1.06
20210513NCHH0,50705,2021-05-13,NC,구원,,0,7,2,1,0,1,0,0,0,0,0.95
20210514WOHH0,50705,2021-05-14,키움,구원,세,0,1,01월 03일,0,0,0,0,0,0,0,0.93
20210518LTHH0,50705,2021-05-18,롯데,구원,,0,5,1,1,0,1,0,2,0,0,0.89
20210521KTHH0,50705,2021-05-21,KT,구원,,0,7,2,1,0,0,0,3,0,0,0.81
20210527OBHH0,50705,2021-05-27,두산,구원,홀,0,4,1,1,0,0,0,0,0,0,0.77
