팀명,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
LG,128,8,3880,1341,131,0.976,10,115,30,20.7
한화,109,7,3875,1359,106,0.98,10,94,48,33.8
SSG,119,15,3865,1503,163,0.978,11,127,56,30.6
키움,114,5,3865,1424,125,0.979,9,129,45,25.9
KT,99,16,3861,1354,117,0.981,3,111,23,17.2
두산,114,11,3854,1300,108,0.978,12,60,40,40.0
NC,130,7,3844,1339,126,0.976,7,96,42,30.4
삼성,103,9,3835,1403,111,0.981,6,86,32,27.1
롯데,103,3,3817,1365,111,0.981,13,91,46,33.6
KIA,102,10,3807,1356,137,0.981,12,98,35,26.3
