Year,Stadium,PF_Run,PF_HR
2023,잠실,916,711
2023,고척,959,782
2023,문학,1050,1420
2023,수원,1091,1003
2023,대전,1006,1075
2023,광주,947,936
2023,대구,1063,1465
2023,사직,1076,780
2023,창원,1006,1188
