기준일,순위,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2023-06-18,7,66,29,35,2,0.453,10.5,7승1무2패,2승,2017-01-14,2012-01-21
2023-06-18,8,62,26,34,2,0.433,11.5,6승0무4패,1패,2014-01-17,2012-01-17
2023-06-18,9,62,26,36,0,0.419,12.5,3승0무7패,1승,13-0-16,13-0-20
2023-06-18,10,63,23,36,4,0.39,14,4승1무5패,2패,2013-01-20,2010-03-16
2023-06-20,1,64,39,24,1,0.619,0,4승0무6패,1승,2019-01-13,20-0-11
2023-06-20,2,66,39,25,2,0.609,0.5,6승0무4패,1패,2022-01-13,2017-01-12
2023-06-20,3,62,35,26,1,0.574,3,7승1무2패,2승,15-0-12,2020-01-14
2023-06-20,4,61,32,29,0,0.525,6,3승0무7패,1패,17-0-14,15-0-15
2023-06-20,5,62,30,31,1,0.492,8,3승0무7패,2패,2016-01-11,14-0-20
2023-06-20,6,60,28,31,1,0.475,9,5승1무4패,1승,2015-01-15,13-0-16
2023-06-20,7,67,30,35,2,0.462,10,7승1무2패,3승,2017-01-14,2013-01-21
2023-06-20,8,63,27,34,2,0.443,11,6승0무4패,1승,2015-01-17,2012-01-17
2023-06-20,9,63,26,37,0,0.413,13,3승0무7패,1패,13-0-17,13-0-20
2023-06-20,10,64,23,37,4,0.383,14.5,4승1무5패,3패,2013-01-21,2010-03-16
2023-06-21,1,65,40,24,1,0.625,0,5승0무5패,2승,2019-01-13,21-0-11
2023-06-21,2,67,40,25,2,0.615,0.5,7승0무3패,1승,2022-01-13,2018-01-12
2023-06-21,3,63,35,27,1,0.565,4,6승1무3패,1패,15-0-13,2020-01-14
2023-06-21,4,62,32,30,0,0.516,7,2승0무8패,2패,17-0-14,15-0-16
2023-06-21,5,63,30,32,1,0.484,9,3승0무7패,3패,2016-01-12,14-0-20
2023-06-21,6,68,31,35,2,0.47,10,8승1무1패,4승,2017-01-14,2014-01-21
2023-06-21,7,61,28,32,1,0.467,10,4승1무5패,1패,2015-01-15,13-0-17
2023-06-21,8,64,28,34,2,0.452,11,6승0무4패,2승,2016-01-17,2012-01-17
2023-06-21,9,64,26,38,0,0.406,14,3승0무7패,2패,13-0-18,13-0-20
2023-06-21,10,65,24,37,4,0.393,14.5,4승1무5패,1승,2014-01-21,2010-03-16
2023-06-22,1,66,41,24,1,0.631,0,6승0무4패,3승,2019-01-13,22-0-11
2023-06-22,2,68,41,25,2,0.621,0.5,8승0무2패,2승,2022-01-13,2019-01-12
2023-06-22,3,64,35,28,1,0.556,5,5승1무4패,2패,15-0-14,2020-01-14
2023-06-22,4,63,32,31,0,0.508,8,2승0무8패,3패,17-0-14,15-0-17
2023-06-22,5,69,32,35,2,0.478,10,8승1무1패,5승,2017-01-14,2015-01-21
2023-06-22,6,64,30,33,1,0.476,10,3승0무7패,4패,2016-01-13,14-0-20
2023-06-22,7,65,29,34,2,0.46,11,7승0무3패,3승,2017-01-17,2012-01-17
2023-06-22,8,62,28,33,1,0.459,11,3승1무6패,2패,2015-01-15,13-0-18
2023-06-22,9,66,25,37,4,0.403,14.5,4승1무5패,2승,2015-01-21,2010-03-16
2023-06-22,10,65,26,39,0,0.4,15,2승0무8패,3패,13-0-19,13-0-20
2023-06-23,1,67,42,24,1,0.636,0,7승0무3패,4승,2020-01-13,22-0-11
2023-06-23,2,69,41,26,2,0.612,1.5,7승0무3패,1패,2022-01-14,2019-01-12
2023-06-23,3,65,35,29,1,0.547,6,4승1무5패,3패,15-0-15,2020-01-14
2023-06-23,4,64,33,31,0,0.516,8,3승0무7패,1승,17-0-14,16-0-17
2023-06-23,5,65,31,33,1,0.484,10,3승0무7패,1승,2016-01-13,15-0-20
2023-06-23,6,70,32,36,2,0.471,11,7승1무2패,1패,2017-01-15,2015-01-21
2023-06-23,7,66,30,34,2,0.469,11,8승0무2패,4승,2017-01-17,2013-01-17
2023-06-23,8,63,28,34,1,0.452,12,3승1무6패,3패,2015-01-16,13-0-18
2023-06-23,9,67,26,37,4,0.413,14.5,5승1무4패,3승,2015-01-21,2011-03-16
2023-06-23,10,66,26,40,0,0.394,16,1승0무9패,4패,13-0-19,13-0-21
2023-06-24,1,68,43,24,1,0.642,0,7승0무3패,5승,2021-01-13,22-0-11
2023-06-24,2,70,42,26,2,0.618,1.5,7승0무3패,1승,2023-01-14,2019-01-12
2023-06-24,3,66,35,30,1,0.538,7,4승1무5패,4패,15-0-16,2020-01-14
2023-06-24,4,65,33,32,0,0.508,9,2승0무8패,1패,17-0-14,16-0-18
2023-06-24,5,71,33,36,2,0.478,11,7승1무2패,1승,2018-01-15,2015-01-21
2023-06-24,6,66,31,34,1,0.477,11,2승0무8패,1패,2016-01-13,15-0-21
2023-06-24,7,67,30,35,2,0.462,12,8승0무2패,1패,2017-01-17,2013-01-18
2023-06-24,8,64,29,34,1,0.46,12,4승1무5패,1승,2016-01-16,13-0-18
2023-06-24,9,68,27,37,4,0.422,14.5,6승1무3패,4승,2015-01-21,2012-03-16
2023-06-24,10,67,26,41,0,0.388,17,1승0무9패,5패,13-0-19,13-0-22
2023-06-25,1,69,43,25,1,0.632,0,7승0무3패,1패,2021-01-14,22-0-11
2023-06-25,2,71,43,26,2,0.623,0.5,7승0무3패,2승,2024-01-14,2019-01-12
2023-06-25,3,66,35,30,1,0.538,6.5,4승1무5패,4패,15-0-16,2020-01-14
2023-06-25,4,66,33,33,0,0.5,9,2승0무8패,2패,17-0-14,16-0-19
2023-06-25,5,67,32,34,1,0.485,10,3승0무7패,1승,2016-01-13,16-0-21
2023-06-25,6,72,33,37,2,0.471,11,6승1무3패,1패,2018-01-16,2015-01-21
2023-06-25,7,67,30,35,2,0.462,11.5,8승0무2패,1패,2017-01-17,2013-01-18
2023-06-25,8,64,29,34,1,0.46,11.5,4승1무5패,1승,2016-01-16,13-0-18
2023-06-25,9,68,27,37,4,0.422,14,6승1무3패,4승,2015-01-21,2012-03-16
2023-06-25,10,68,27,41,0,0.397,16,2승0무8패,1승,13-0-19,14-0-22
2023-06-27,1,72,44,26,2,0.629,0,7승0무3패,3승,2024-01-14,2020-01-12
2023-06-27,2,70,43,26,1,0.623,0.5,7승0무3패,2패,2021-01-15,22-0-11
2023-06-27,3,67,35,31,1,0.53,7,3승1무6패,5패,15-0-16,2020-01-15
2023-06-27,4,67,34,33,0,0.507,8.5,3승0무7패,1승,18-0-14,16-0-19
2023-06-27,5,68,33,34,1,0.493,9.5,4승0무6패,2승,2017-01-13,16-0-21
2023-06-27,6,73,34,37,2,0.479,10.5,7승1무2패,1승,2018-01-16,2016-01-21
2023-06-27,7,68,30,36,2,0.455,12,7승0무3패,2패,2017-01-17,2013-01-19
2023-06-27,8,65,29,35,1,0.453,12,4승1무5패,1패,2016-01-17,13-0-18
2023-06-27,9,69,28,37,4,0.431,13.5,6승1무3패,5승,2016-01-21,2012-03-16
2023-06-27,10,69,27,42,0,0.391,16.5,2승0무8패,1패,13-0-19,14-0-23
2023-06-28,1,73,45,26,2,0.634,0,7승0무3패,4승,2024-01-14,2021-01-12
2023-06-28,2,71,43,27,1,0.614,1.5,6승0무4패,3패,2021-01-16,22-0-11
2023-06-28,3,68,36,31,1,0.537,7,3승1무6패,1승,15-0-16,2021-01-15
2023-06-28,4,68,35,33,0,0.515,8.5,4승0무6패,2승,19-0-14,16-0-19
2023-06-28,5,74,35,37,2,0.486,10.5,8승0무2패,2승,2018-01-16,2017-01-21
2023-06-28,6,69,33,35,1,0.485,10.5,4승0무6패,1패,2017-01-14,16-0-21
2023-06-28,7,69,30,37,2,0.448,13,6승0무4패,3패,2017-01-17,2013-01-20
2023-06-28,8,66,29,36,1,0.446,13,3승1무6패,2패,2016-01-18,13-0-18
2023-06-28,9,70,29,37,4,0.439,13.5,6승1무3패,6승,2017-01-21,2012-03-16
2023-06-28,10,70,27,43,0,0.386,17.5,2승0무8패,2패,13-0-19,14-0-24
2023-06-30,1,74,46,26,2,0.639,0,8승0무2패,5승,2025-01-14,2021-01-12
2023-06-30,2,72,44,27,1,0.62,1.5,6승0무4패,1승,2021-01-16,23-0-11
2023-06-30,3,69,36,32,1,0.529,8,3승1무6패,1패,15-0-16,2021-01-16
2023-06-30,4,69,36,33,0,0.522,8.5,5승0무5패,3승,20-0-14,16-0-19
2023-06-30,5,75,35,38,2,0.479,11.5,7승0무3패,1패,2018-01-17,2017-01-21
2023-06-30,6,70,33,36,1,0.478,11.5,3승0무7패,2패,2017-01-14,16-0-22
2023-06-30,7,70,31,37,2,0.456,13,6승0무4패,1승,2018-01-17,2013-01-20
2023-06-30,8,71,30,37,4,0.448,13.5,7승0무3패,7승,2017-01-21,2013-03-16
2023-06-30,9,67,29,37,1,0.439,14,2승1무7패,3패,2016-01-18,13-0-19
2023-06-30,10,71,27,44,0,0.38,18.5,2승0무8패,3패,13-0-20,14-0-24
2023-07-01,1,75,46,27,2,0.63,0,7승0무3패,1패,2025-01-15,2021-01-12
2023-07-01,2,73,44,28,1,0.611,1.5,6승0무4패,1패,2021-01-16,23-0-12
2023-07-01,3,70,36,33,1,0.522,8,2승1무7패,2패,15-0-16,2021-01-17
2023-07-01,4,70,36,34,0,0.514,8.5,4승0무6패,1패,20-0-15,16-0-19
2023-07-01,5,76,36,38,2,0.486,10.5,7승0무3패,1승,2019-01-17,2017-01-21
2023-07-01,6,71,34,36,1,0.486,10.5,4승0무6패,1승,2017-01-14,17-0-22
2023-07-01,7,71,32,37,2,0.464,12,6승0무4패,2승,2019-01-17,2013-01-20
2023-07-01,8,72,31,37,4,0.456,12.5,8승0무2패,8승,2017-01-21,2014-03-16
2023-07-01,9,68,30,37,1,0.448,13,3승1무6패,1승,2016-01-18,14-0-19
2023-07-01,10,72,27,45,0,0.375,18.5,1승0무9패,4패,13-0-21,14-0-24
2023-07-02,1,76,47,27,2,0.635,0,8승0무2패,1승,2026-01-15,2021-01-12
2023-07-02,2,74,45,28,1,0.616,1.5,6승0무4패,1승,2021-01-16,24-0-12
2023-07-02,3,71,36,34,1,0.514,9,2승0무8패,3패,15-0-16,2021-01-18
2023-07-02,4,71,36,35,0,0.507,9.5,4승0무6패,2패,20-0-16,16-0-19
2023-07-02,5,72,35,36,1,0.493,10.5,5승0무5패,2승,2017-01-14,18-0-22
2023-07-02,6,77,36,39,2,0.48,11.5,6승0무4패,1패,2019-01-18,2017-01-21
2023-07-02,7,72,33,37,2,0.471,12,7승0무3패,3승,2020-01-17,2013-01-20
2023-07-02,8,73,31,38,4,0.449,13.5,8승0무2패,1패,2017-01-21,2014-03-17
2023-07-02,9,69,30,38,1,0.441,14,3승0무7패,1패,2016-01-18,14-0-20
2023-07-02,10,73,28,45,0,0.384,18.5,2승0무8패,1승,14-0-21,14-0-24
2023-07-04,1,76,47,27,2,0.635,0,8승0무2패,1승,2026-01-15,2021-01-12
2023-07-04,2,74,45,28,1,0.616,1.5,6승0무4패,1승,2021-01-16,24-0-12
2023-07-04,3,72,36,35,1,0.507,9.5,1승0무9패,4패,15-0-16,2021-01-19
2023-07-04,3,71,36,35,0,0.507,9.5,4승0무6패,2패,20-0-16,16-0-19
2023-07-04,5,73,36,36,1,0.5,10,6승0무4패,3승,2017-01-14,19-0-22
2023-07-04,6,78,37,39,2,0.487,11,6승0무4패,1승,2020-01-18,2017-01-21
2023-07-04,7,72,33,37,2,0.471,12,7승0무3패,3승,2020-01-17,2013-01-20
2023-07-04,8,73,31,38,4,0.449,13.5,8승0무2패,1패,2017-01-21,2014-03-17
2023-07-04,9,69,30,38,1,0.441,14,3승0무7패,1패,2016-01-18,14-0-20
2023-07-04,10,74,28,46,0,0.378,19,2승0무8패,1패,14-0-22,14-0-24
2023-07-05,1,77,47,28,2,0.627,0,7승0무3패,1패,2026-01-16,2021-01-12
2023-07-05,2,75,45,29,1,0.608,1.5,5승0무5패,1패,2021-01-17,24-0-12
2023-07-05,3,74,37,36,1,0.507,9,7승0무3패,4승,2017-01-14,20-0-22
2023-07-05,4,73,36,36,1,0.5,9.5,1승0무9패,5패,15-0-16,2021-01-20
2023-07-05,4,72,36,36,0,0.5,9.5,4승0무6패,3패,20-0-16,16-0-20
2023-07-05,6,79,38,39,2,0.494,10,6승0무4패,2승,2021-01-18,2017-01-21
2023-07-05,7,73,34,37,2,0.479,11,7승0무3패,4승,2020-01-17,2014-01-20
2023-07-05,8,74,32,38,4,0.457,12.5,9승0무1패,1승,2018-01-21,2014-03-17
2023-07-05,9,70,31,38,1,0.449,13,3승0무7패,1승,2016-01-18,15-0-20
2023-07-05,10,75,28,47,0,0.373,19,2승0무8패,2패,14-0-23,14-0-24
2023-07-06,1,78,48,28,2,0.632,0,7승0무3패,1승,2027-01-16,2021-01-12
2023-07-06,2,76,45,30,1,0.6,2.5,4승0무6패,2패,2021-01-18,24-0-12
2023-07-06,3,75,38,36,1,0.514,9,7승0무3패,5승,2017-01-14,21-0-22
2023-07-06,4,74,37,36,1,0.507,9.5,2승0무8패,1승,15-0-16,2022-01-20
2023-07-06,4,73,37,36,0,0.507,9.5,5승0무5패,1승,20-0-16,17-0-20
2023-07-06,6,80,38,40,2,0.487,11,6승0무4패,1패,2021-01-19,2017-01-21
2023-07-06,7,74,34,38,2,0.472,12,6승0무4패,1패,2020-01-17,2014-01-21
2023-07-06,8,71,32,38,1,0.457,13,4승0무6패,2승,2016-01-18,16-0-20
2023-07-06,9,75,32,39,4,0.451,13.5,8승0무2패,1패,2018-01-22,2014-03-17
2023-07-06,10,76,28,48,0,0.368,20,2승0무8패,3패,14-0-24,14-0-24
2023-07-07,1,78,48,28,2,0.632,0,7승0무3패,1승,2027-01-16,2021-01-12
2023-07-07,2,76,45,30,1,0.6,2.5,4승0무6패,2패,2021-01-18,24-0-12
2023-07-07,3,76,39,36,1,0.52,8.5,8승0무2패,6승,2018-01-14,21-0-22
2023-07-07,4,74,37,36,1,0.507,9.5,2승0무8패,1승,15-0-16,2022-01-20
2023-07-07,4,73,37,36,0,0.507,9.5,5승0무5패,1승,20-0-16,17-0-20
2023-07-07,6,81,38,41,2,0.481,11.5,5승0무5패,2패,2021-01-19,2017-01-22
2023-07-07,7,75,34,39,2,0.466,12.5,5승0무5패,2패,2020-01-18,2014-01-21
2023-07-07,8,72,33,38,1,0.465,12.5,5승0무5패,3승,2016-01-18,17-0-20
2023-07-07,9,75,32,39,4,0.451,13.5,8승0무2패,1패,2018-01-22,2014-03-17
2023-07-07,10,76,28,48,0,0.368,20,2승0무8패,3패,14-0-24,14-0-24
2023-07-08,1,79,49,28,2,0.636,0,8승0무2패,2승,2027-01-16,2022-01-12
2023-07-08,2,77,46,30,1,0.605,2.5,4승0무6패,1승,2021-01-18,25-0-12
2023-07-08,3,77,40,36,1,0.526,8.5,8승0무2패,7승,2019-01-14,21-0-22
2023-07-08,4,75,37,37,1,0.5,10.5,2승0무8패,1패,15-0-17,2022-01-20
2023-07-08,4,74,37,37,0,0.5,10.5,4승0무6패,1패,20-0-17,17-0-20
2023-07-08,6,82,38,42,2,0.475,12.5,5승0무5패,3패,2021-01-19,2017-01-23
2023-07-08,7,73,34,38,1,0.472,12.5,6승0무4패,4승,2016-01-18,18-0-20
2023-07-08,8,76,34,40,2,0.459,13.5,4승0무6패,3패,2020-01-19,2014-01-21
2023-07-08,9,76,32,40,4,0.444,14.5,7승0무3패,2패,2018-01-23,2014-03-17
2023-07-08,10,77,29,48,0,0.377,20,3승0무7패,1승,14-0-24,15-0-24
2023-07-09,1,80,49,29,2,0.628,0,7승0무3패,1패,2027-01-16,2022-01-13
2023-07-09,2,78,46,31,1,0.597,2.5,3승0무7패,1패,2021-01-18,25-0-13
2023-07-09,3,78,41,36,1,0.532,7.5,8승0무2패,8승,2020-01-14,21-0-22
2023-07-09,4,75,38,37,0,0.507,9.5,5승0무5패,1승,21-0-17,17-0-20
2023-07-09,5,76,37,38,1,0.493,10.5,2승0무8패,2패,15-0-18,2022-01-20
2023-07-09,6,74,35,38,1,0.479,11.5,6승0무4패,5승,2016-01-18,19-0-20
2023-07-09,7,83,38,43,2,0.469,12.5,4승0무6패,4패,2021-01-19,2017-01-24
2023-07-09,8,77,34,41,2,0.453,13.5,4승0무6패,4패,2020-01-20,2014-01-21
2023-07-09,9,77,33,40,4,0.452,13.5,7승0무3패,1승,2019-01-23,2014-03-17
2023-07-09,10,78,30,48,0,0.385,19,3승0무7패,2승,14-0-24,16-0-24
2023-07-11,1,80,49,29,2,0.628,0,7승0무3패,1패,2027-01-16,2022-01-13
2023-07-11,2,78,46,31,1,0.597,2.5,3승0무7패,1패,2021-01-18,25-0-13
2023-07-11,3,78,41,36,1,0.532,7.5,8승0무2패,8승,2020-01-14,21-0-22
2023-07-11,4,75,38,37,0,0.507,9.5,5승0무5패,1승,21-0-17,17-0-20
