game_id,success
20230401LTOB0,O
20230401HTSK0,O
20230401NCSS0,O
20230401LGKT0,O
20230401HHWO0,O
20230402LTOB0,O
20230402HTSK0,O
20230402NCSS0,O
20230402LGKT0,O
20230402HHWO0,O
20230404NCOB0,O
20230404LTSK0,O
20230404HHSS0,O
20230404HTKT0,O
20230404LGWO0,O
20230405NCOB0,O
20230405LTSK0,O
20230405HHSS0,O
20230405HTKT0,O
20230405LGWO0,O
20230406NCOB0,O
20230406LTSK0,O
20230406HHSS0,O
20230406HTKT0,O
20230406LGWO0,O
20230407SKHH0,O
20230407SSLG0,O
20230407KTLT0,O
20230407WONC0,O
20230407OBHT0,O
20230408SKHH0,O
20230408SSLG0,O
20230408KTLT0,O
20230408WONC0,O
20230408OBHT0,O
20230409SKHH0,O
20230409SSLG0,O
20230409KTLT0,O
20230409WONC0,O
20230409OBHT0,O
20230411WOOB0,O
20230411LGLT0,O
20230411SKSS0,O
20230411KTNC0,O
20230411HHHT0,O
20230412WOOB0,O
20230412LGLT0,O
20230412SKSS0,O
20230412KTNC0,O
20230412HHHT0,O
20230413WOOB0,O
20230413LGLT0,O
20230413SKSS0,O
20230413KTNC0,O
20230413HHHT0,O
20230414OBLG0,O
20230414NCSK0,O
20230414LTSS0,O
20230414HHKT0,O
20230414HTWO0,O
20230415OBLG0,O
20230415NCSK0,O
20230415LTSS0,O
20230415HHKT0,O
20230415HTWO0,O
20230416OBLG0,O
20230416NCSK0,O
20230416LTSS0,O
20230416HHKT0,O
20230416HTWO0,O
20230418OBHH0,O
20230418NCLG0,O
20230418HTLT0,O
20230418SKKT0,O
20230418SSWO0,O
20230419OBHH0,O
20230419NCLG0,O
20230419HTLT0,O
20230419SKKT0,O
20230419SSWO0,O
20230420OBHH0,O
20230420NCLG0,O
20230420HTLT0,O
20230420SKKT0,O
20230420SSWO0,O
20230421LGHH0,O
20230421KTOB0,O
20230421WOSK0,O
20230421LTNC0,O
20230421SSHT0,O
20230422LGHH0,O
20230422KTOB0,O
20230422WOSK0,O
20230422LTNC0,O
20230422SSHT0,O
20230423LGHH0,O
20230423KTOB0,O
20230423WOSK0,O
20230423LTNC0,O
20230423SSHT0,O
20230425SKLG0,O
20230425HHLT0,O
20230425OBSS0,O
20230425NCHT0,O
20230425KTWO0,O
20230426SKLG0,O
20230426HHLT0,O
20230426OBSS0,O
20230426NCHT0,O
20230426KTWO0,O
20230427SKLG0,O
20230427HHLT0,O
20230427OBSS0,O
20230427NCHT0,O
20230427KTWO0,O
20230428NCHH0,O
20230428HTLG0,O
20230428OBSK0,O
20230428WOLT0,O
20230428SSKT0,O
20230429NCHH0,O
20230429HTLG0,O
20230429OBSK0,O
20230429WOLT0,O
20230429SSKT0,O
20230430NCHH0,O
20230430HTLG0,O
20230430OBSK0,O
20230430WOLT0,O
20230430SSKT0,O
20230502HHOB0,O
20230502KTSK0,O
20230502WOSS0,O
20230502LGNC0,O
20230502LTHT0,O
20230503HHOB0,O
20230503KTSK0,O
20230503WOSS0,O
20230503LGNC0,O
20230503LTHT0,O
20230504HHOB0,O
20230504KTSK0,O
20230504WOSS0,O
20230504LGNC0,O
20230504LTHT0,O
20230505KTHH0,O
20230505LGOB0,O
20230505SSLT0,O
20230505HTNC0,O
20230505SKWO0,O
20230506LGOB0,O
20230506KTHH0,O
20230506SSLT0,O
20230506HTNC0,O
20230506SKWO0,O
20230507KTHH0,O
20230507LGOB0,O
20230507SSLT0,O
20230507HTNC0,O
20230507SKWO0,O
20230509SSHH0,O
20230509WOLG0,O
20230509OBLT0,O
20230509NCKT0,O
20230509SKHT0,O
20230510SSHH0,O
20230510WOLG0,O
20230510OBLT0,O
20230510NCKT0,O
20230510SKHT0,O
20230511SSHH0,O
20230511WOLG0,O
20230511OBLT0,O
20230511NCKT0,O
20230511SKHT0,O
20230512HTOB0,O
20230512HHSK0,O
20230512LGSS0,O
20230512LTKT0,O
20230512NCWO0,O
20230513HTOB0,O
20230513HHSK0,O
20230513LGSS0,O
20230513LTKT0,O
20230513NCWO0,O
20230514HTOB0,O
20230514HHSK0,O
20230514LGSS0,O
20230514LTKT0,O
20230514NCWO0,O
20230516LTHH0,O
20230516KTLG0,O
20230516HTSS0,O
20230516SKNC0,O
20230516OBWO0,O
20230517LTHH0,O
20230517KTLG0,O
20230517HTSS0,O
20230517SKNC0,O
20230517OBWO0,O
20230518LTHH0,O
20230518KTLG0,O
20230518HTSS0,O
20230518SKNC0,O
20230518OBWO0,O
20230519HHLG0,O
20230519SKLT0,O
20230519SSNC0,O
20230519OBKT0,O
20230519WOHT0,O
20230520HHLG0,O
