game_id,success
20220402HHOB0,O
20220402SKNC0,O
20220402SSKT0,O
20220402LGHT0,O
20220402LTWO0,O
20220403HHOB0,O
20220403SKNC0,O
20220403SSKT0,O
20220403LGHT0,O
20220403LTWO0,O
20220405SSOB0,O
20220405LTNC0,O
20220405SKKT0,O
20220405HHHT0,O
20220405LGWO0,O
20220406SSOB0,O
20220406LTNC0,O
20220406SKKT0,O
20220406HHHT0,O
20220406LGWO0,O
20220407SSOB0,O
20220407LTNC0,O
20220407SKKT0,O
20220407HHHT0,O
20220407LGWO0,O
20220408KTHH0,O
20220408NCLG0,O
20220408HTSK0,O
20220408OBLT0,O
20220408WOSS0,O
20220409KTHH0,O
20220409NCLG0,O
20220409HTSK0,O
20220409OBLT0,O
20220409WOSS0,O
20220410KTHH0,O
20220410NCLG0,O
20220410HTSK0,O
20220410OBLT0,O
20220410WOSS0,O
20220412SKLG0,O
20220412HHSS0,O
20220412OBKT0,O
20220412LTHT0,O
20220412NCWO0,O
20220413SKLG0,O
20220413HHSS0,O
20220413OBKT0,O
20220413LTHT0,O
20220413NCWO0,O
20220414SKLG0,O
20220414HHSS0,O
20220414OBKT0,O
20220414LTHT0,O
20220414NCWO0,O
20220415LGHH0,O
20220415WOOB0,O
20220415SSSK0,O
20220415KTLT0,O
20220415HTNC0,O
20220416SSSK0,O
20220416LGHH0,O
20220416WOOB0,O
20220416KTLT0,O
20220416HTNC0,O
20220417LGHH0,O
20220417WOOB0,O
20220417SSSK0,O
20220417KTLT0,O
20220417HTNC0,O
20220419KTLG0,O
20220419WOSK0,O
20220419HHLT0,O
20220419SSNC0,O
20220419OBHT0,O
20220420KTLG0,O
20220420WOSK0,O
20220420HHLT0,O
20220420SSNC0,O
20220420OBHT0,O
20220421KTLG0,O
20220421WOSK0,O
20220421HHLT0,O
20220421SSNC0,O
20220421OBHT0,O
20220422SKHH0,O
20220422LGOB0,O
20220422LTSS0,O
20220422NCKT0,O
20220422HTWO0,O
20220423HTWO0,O
20220423SKHH0,O
20220423LGOB0,O
20220423LTSS0,O
20220423NCKT0,O
20220424SKHH0,O
20220424LGOB0,O
20220424LTSS0,O
20220424NCKT0,O
20220424HTWO0,O
20220426WOHH0,O
20220426NCOB0,O
20220426SKLT0,O
20220426LGSS0,O
20220426HTKT0,O
20220427WOHH0,O
20220427NCOB0,O
20220427SKLT0,O
20220427LGSS0,O
20220427HTKT0,O
20220428WOHH0,O
20220428NCOB0,O
20220428SKLT0,O
20220428LGSS0,O
20220428HTKT0,O
20220429LTLG0,O
20220429OBSK0,O
20220429HHNC0,O
20220429SSHT0,O
20220429KTWO0,O
20220430SSHT0,O
20220430LTLG0,O
20220430OBSK0,O
20220430HHNC0,O
20220430KTWO0,O
20220501LTLG0,O
20220501OBSK0,O
20220501HHNC0,O
20220501SSHT0,O
20220501KTWO0,O
20220503OBLG0,O
20220503HHSK0,O
20220503NCSS0,O
20220503LTKT0,O
20220503WOHT0,O
20220504OBLG0,O
20220504HHSK0,O
20220504NCSS0,O
20220504LTKT0,O
20220504WOHT0,O
20220505OBLG0,O
20220505HHSK0,O
20220505NCSS0,O
20220505LTKT0,O
20220505WOHT0,O
20220506HTHH0,O
20220506KTOB0,O
20220506SSLT0,O
20220506LGNC0,O
20220506SKWO0,O
20220507HTHH0,O
20220507KTOB0,O
20220507SSLT0,O
20220507LGNC0,O
20220507SKWO0,O
20220508HTHH0,O
20220508KTOB0,O
20220508SSLT0,O
20220508LGNC0,O
20220508SKWO0,O
20220510HHLG0,O
20220510NCLT0,O
20220510SKSS0,O
20220510KTHT0,O
20220510OBWO0,O
20220511HHLG0,O
