팀명,G,SBA,SB,CS,SB%,OOB,PKO
KIA,144,137,103,34,75.2,57,5
LG,144,148,102,46,68.9,46,10
NC,144,139,100,39,71.9,56,7
SSG,144,137,98,39,71.5,42,4
한화,144,142,93,49,65.5,49,6
삼성,144,118,91,27,77.1,50,6
두산,144,130,90,40,69.2,55,4
KT,144,123,89,34,72.4,38,6
키움,144,83,63,20,75.9,42,8
롯데,144,100,61,39,61.0,54,6
