팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
KIA,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36
삼성,0.27,144,5647,5023,663,1358,241,19,103,1946,627,83,41
LG,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46
롯데,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42
NC,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47
두산,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45
SSG,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47
KT,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44
키움,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34
한화,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40
