팀명,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
LG,144,87,55,43,107,0.613,1288,1179,94,451,59,1031,521,476,1.27
KT,144,80,62,37,65,0.563,1287 1/3,1243,92,364,63,1074,562,502,1.25
키움,144,80,62,48,84,0.563,1296 1/3,1247,96,490,70,1010,610,546,1.34
SSG,144,88,52,45,68,0.629,1301 1/3,1223,130,457,65,1023,622,560,1.29
NC,144,67,74,25,54,0.475,1286 2/3,1230,111,515,98,1168,642,557,1.36
KIA,144,70,73,38,74,0.49,1279 2/3,1286,120,526,67,1042,679,597,1.42
삼성,144,66,76,34,71,0.465,1287,1370,129,478,66,971,695,613,1.44
두산,144,60,82,32,68,0.423,1279 1/3,1336,117,555,70,977,721,632,1.48
롯데,144,64,76,34,69,0.457,1280 2/3,1373,84,492,80,1199,712,633,1.46
한화,144,46,96,25,81,0.324,1268 1/3,1314,112,602,83,974,759,680,1.51
