선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
강동연,NC,10.38,6,0,0,0,0,-,8 2/3,16,2,3,1,3,10,10,2.19
구창모,NC,2.1,19,11,5,0,0,0.688,111 2/3,92,7,29,4,108,32,26,1.08
김건태,NC,4.42,16,0,0,0,0,-,18 1/3,22,2,12,2,16,15,9,1.85
김시훈,NC,3.24,59,4,5,0,11,0.444,83 1/3,75,7,43,4,79,35,30,1.42
김영규,NC,3.41,72,2,7,1,13,0.222,66,56,5,22,7,46,26,25,1.18
김진호,NC,6.12,36,4,0,1,0,1.000,42 2/3,53,7,20,1,35,30,29,1.71
김태경,NC,3.25,16,3,2,0,1,0.600,44 1/3,36,4,21,5,31,16,16,1.29
더모디,NC,4.54,8,3,5,0,0,0.375,39 2/3,42,3,13,7,37,27,20,1.39
루친스키,NC,2.97,31,10,12,0,0,0.455,193 2/3,184,14,34,8,194,77,64,1.13
류진욱,NC,4.86,51,4,2,0,4,0.667,46 1/3,48,2,31,4,37,29,25,1.71
박동수,NC,5.52,10,0,0,0,0,-,14 2/3,11,0,21,1,15,10,9,2.18
송명기,NC,4.51,25,5,7,0,0,0.417,107 2/3,116,14,54,15,106,67,54,1.58
신민혁,NC,4.56,26,4,9,0,0,0.308,118 1/3,128,15,31,10,105,64,60,1.34
심창민,NC,14.21,11,1,2,0,0,0.333,6 1/3,9,0,7,3,6,10,10,2.53
원종현,NC,2.98,68,5,0,1,13,1.000,63 1/3,55,5,17,1,50,22,21,1.14
이용준,NC,8.59,10,0,1,0,0,0.000,22,33,4,13,3,19,23,21,2.09
이용찬,NC,2.08,59,3,3,22,0,0.500,60 2/3,56,3,13,3,61,16,14,1.14
이우석,NC,21.6,3,0,1,0,0,0.000,1 2/3,1,0,3,2,1,4,4,2.4
이재학,NC,4.75,26,3,8,0,0,0.273,91,75,5,54,8,72,56,48,1.42
임정호,NC,3.24,33,1,2,0,6,0.333,25,21,1,7,2,30,11,9,1.12
전사민,NC,3.24,7,0,0,0,0,-,8 1/3,5,1,6,0,2,4,3,1.32
정구범,NC,13.5,2,0,0,0,0,-,1 1/3,1,1,1,0,2,2,2,1.5
조민석,NC,4.5,18,0,1,0,0,0.000,16,17,2,12,2,14,9,8,1.81
파슨스,NC,3.56,8,1,2,0,0,0.333,43,34,4,21,1,43,19,17,1.28
하준수,NC,6.0,2,0,0,0,0,-,3,3,0,3,0,1,2,2,2.0
하준영,NC,4.62,47,3,0,0,4,1.000,39,28,3,14,3,44,22,20,1.08
한재승,NC,2.53,12,0,0,0,2,-,10 2/3,13,0,10,1,11,4,3,2.16
