선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강재민,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
권광민,한화,0.151,66,81,73,11,11,1,1,2,20,9,1,0
김건,한화,0.167,7,12,12,1,2,0,0,0,2,0,0,0
김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
김인환,한화,0.225,112,365,325,34,73,16,0,7,110,42,0,3
김태연,한화,0.261,91,280,245,25,64,13,0,4,89,25,1,4
노수광,한화,0.221,30,94,77,6,17,5,0,0,22,4,2,2
노시환,한화,0.298,131,595,514,85,153,30,1,31,278,101,0,3
문현빈,한화,0.266,137,481,428,47,114,22,2,5,155,49,9,5
박상언,한화,0.200,86,161,145,13,29,5,1,1,39,13,3,2
박상원,한화,-,3,0,0,0,0,0,0,0,0,0,0,0
박정현,한화,0.181,53,113,105,12,19,6,0,2,31,4,3,0
박준영,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
오그레디,한화,0.125,22,86,80,3,10,3,0,0,13,8,0,1
오선진,한화,0.230,90,199,165,17,38,6,0,0,44,14,3,2
윌리엄스,한화,0.244,68,273,258,29,63,14,0,9,104,45,0,3
유로결,한화,0.146,27,53,48,5,7,1,0,0,8,5,1,2
유상빈,한화,0.000,3,8,6,1,0,0,0,0,0,0,0,0
윤대경,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
이도윤,한화,0.252,106,346,309,36,78,13,2,1,98,13,15,0
이명기,한화,0.175,14,42,40,2,7,1,0,0,8,5,0,0
이민준,한화,0.000,4,2,1,0,0,0,0,0,0,0,0,0
이상혁,한화,0.000,7,2,2,0,0,0,0,0,0,0,0,0
이성곤,한화,0.143,8,16,14,2,2,0,0,0,2,0,1,0
이원석,한화,0.190,81,138,116,20,22,1,1,0,25,8,0,0
이재용,한화,0.500,2,2,2,1,1,0,0,0,1,0,0,0
이진영,한화,0.249,121,422,358,57,89,22,0,10,141,50,4,5
이태양,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
장운호,한화,0.222,4,11,9,1,2,0,0,0,2,1,0,0
장지승,한화,0.000,3,3,3,0,0,0,0,0,0,0,0,0
장진혁,한화,0.222,68,178,162,24,36,5,1,0,43,12,0,1
정우람,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
정은원,한화,0.222,122,459,388,50,86,12,0,2,104,30,5,1
채은성,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,3
최인호,한화,0.298,41,148,131,23,39,5,3,2,56,11,2,1
최재훈,한화,0.248,125,417,327,23,81,12,0,1,96,33,9,2
하주석,한화,0.114,25,38,35,4,4,1,0,0,5,2,0,0
허관회,한화,0.000,10,7,7,1,0,0,0,0,0,0,0,0
