순위,경기,승,패,무,승률,게임차,홈,방문
1,144,87,55,2,0.613,0,42-01-30,45-01-25
2,144,78,64,2,0.549,9,41-0-32,37-2-32
3,144,76,66,2,0.535,11,39-1-33,37-1-33
4,144,74,68,2,0.521,13,39-01-31,35-1-37
5,144,72,70,2,0.507,15,34-1-36,38-1-34
6,144,72,70,2,0.507,15,35-1-35,37-1-35
7,144,66,74,4,0.471,20,37-03-31,29-1-43
8,144,66,76,2,0.465,21,30-2-39,36-0-37
9,144,61,81,2,0.43,26,34-0-39,27-2-42
10,144,58,86,0,0.403,30,32-0-41,26-0-45
