기준일,순위,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2024-03-23,1,1,1,0,0,1,0,1승0무0패,1승,1-0-0,0-0-0
2024-03-23,1,1,1,0,0,1,0,1승0무0패,1승,0-0-0,1-0-0
2024-03-23,6,1,0,1,0,0,1,0승0무1패,1패,0-0-1,0-0-0
2024-03-23,6,1,0,1,0,0,1,0승0무1패,1패,0-0-0,0-0-1
2024-03-24,1,2,2,0,0,1,0,2승0무0패,2승,2-0-0,0-0-0
2024-03-24,1,1,1,0,0,1,0.5,1승0무0패,1승,1-0-0,0-0-0
2024-03-24,1,2,2,0,0,1,0,2승0무0패,2승,0-0-0,2-0-0
2024-03-24,4,2,1,1,0,0.5,1,1승0무1패,1패,1-0-1,0-0-0
2024-03-24,4,2,1,1,0,0.5,1,1승0무1패,1승,0-0-0,1-0-1
2024-03-24,8,2,0,2,0,0,2,0승0무2패,2패,0-0-2,0-0-0
2024-03-24,8,2,0,2,0,0,2,0승0무2패,2패,0-0-0,0-0-2
2024-03-24,8,1,0,1,0,0,1.5,0승0무1패,1패,0-0-0,0-0-1
2024-03-26,1,2,2,0,0,1,0,2승0무0패,2승,2-0-0,0-0-0
2024-03-26,2,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0
2024-03-26,2,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-1,0-0-0
2024-03-26,2,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1
2024-03-26,2,3,2,1,0,0.667,0.5,2승0무1패,1패,0-0-0,2-0-1
2024-03-26,8,3,0,3,0,0,2.5,0승0무3패,3패,0-0-3,0-0-0
2024-03-26,8,3,0,3,0,0,2.5,0승0무3패,3패,0-0-0,0-0-3
2024-03-26,8,2,0,2,0,0,2,0승0무2패,2패,0-0-0,0-0-2
2024-03-27,1,3,3,0,0,1,0,3승0무0패,3승,3-0-0,0-0-0
2024-03-27,2,4,3,1,0,0.75,0.5,3승0무1패,2승,3-0-1,0-0-0
2024-03-27,2,4,3,1,0,0.75,0.5,3승0무1패,3승,0-0-0,3-0-1
2024-03-27,5,4,2,1,1,0.667,1,2승1무1패,1승,2002-01-01,0-0-0
2024-03-27,5,4,2,1,1,0.667,1,2승1무1패,1패,0-0-0,2002-01-01
2024-03-27,7,4,2,2,0,0.5,1.5,2승0무2패,2패,2-0-2,0-0-0
2024-03-27,8,4,0,4,0,0,3.5,0승0무4패,4패,0-0-4,0-0-0
2024-03-27,8,4,0,4,0,0,3.5,0승0무4패,4패,0-0-0,0-0-4
2024-03-27,8,3,0,3,0,0,3,0승0무3패,3패,0-0-0,0-0-3
2024-03-28,1,3,3,0,0,1,0,3승0무0패,3승,3-0-0,0-0-0
2024-03-28,2,5,4,1,0,0.8,0,4승0무1패,4승,0-0-0,4-0-1
2024-03-28,3,5,3,1,1,0.75,0.5,3승1무1패,2승,2003-01-01,0-0-0
2024-03-28,3,4,3,1,0,0.75,0.5,3승0무1패,2승,3-0-1,0-0-0
2024-03-28,5,5,3,2,0,0.6,1,3승0무2패,1패,0-0-0,3-0-2
2024-03-28,6,5,2,2,1,0.5,1.5,2승1무2패,2패,0-0-0,2002-01-02
2024-03-28,7,5,2,3,0,0.4,2,2승0무3패,3패,2-0-3,0-0-0
2024-03-28,8,5,1,4,0,0.2,3,1승0무4패,1승,1-0-4,0-0-0
2024-03-28,9,4,0,4,0,0,3.5,0승0무4패,4패,0-0-0,0-0-4
2024-03-28,9,3,0,3,0,0,3,0승0무3패,3패,0-0-0,0-0-3
2024-03-29,1,4,4,0,0,1,0,4승0무0패,4승,3-0-0,1-0-0
2024-03-29,2,6,5,1,0,0.833,0,5승0무1패,5승,1-0-0,4-0-1
2024-03-29,3,6,4,1,1,0.8,0.5,4승1무1패,3승,2003-01-01,1-0-0
2024-03-29,4,5,3,2,0,0.6,1.5,3승0무2패,1패,3-0-1,0-0-1
2024-03-29,5,6,3,3,0,0.5,2,3승0무3패,1승,2-0-3,1-0-0
2024-03-29,5,6,3,3,0,0.5,2,3승0무3패,2패,0-0-1,3-0-2
2024-03-29,7,6,2,3,1,0.4,2.5,2승1무3패,3패,0-0-1,2002-01-02
2024-03-29,8,5,1,4,0,0.2,3.5,1승0무4패,1승,1-0-0,0-0-4
2024-03-29,9,6,1,5,0,0.167,4,1승0무5패,1패,1-0-4,0-0-1
2024-03-29,10,4,0,4,0,0,4,0승0무4패,4패,0-0-1,0-0-3
2024-03-30,1,7,6,1,0,0.857,0,6승0무1패,6승,2-0-0,4-0-1
2024-03-30,2,5,4,1,0,0.8,1,4승0무1패,1패,3-0-0,1-0-1
2024-03-30,3,7,4,2,1,0.667,1.5,4승1무2패,1패,2003-01-01,1-0-1
2024-03-30,3,6,4,2,0,0.667,1.5,4승0무2패,1승,3-0-1,1-0-1
2024-03-30,5,7,4,3,0,0.571,2,4승0무3패,2승,2-0-3,2-0-0
2024-03-30,5,7,4,3,0,0.571,2,4승0무3패,1승,1-0-1,3-0-2
2024-03-30,7,7,2,4,1,0.333,3.5,2승1무4패,4패,0-0-2,2002-01-02
2024-03-30,8,5,1,4,0,0.2,4,1승0무4패,1승,1-0-1,0-0-3
2024-03-30,9,6,1,5,0,0.167,4.5,1승0무5패,1패,1-0-1,0-0-4
2024-03-30,10,7,1,6,0,0.143,5,1승0무6패,2패,1-0-4,0-0-2
2024-03-31,1,8,7,1,0,0.875,0,7승0무1패,7승,3-0-0,4-0-1
2024-03-31,2,6,5,1,0,0.833,1,5승0무1패,1승,3-0-0,2-0-1
2024-03-31,3,7,5,2,0,0.714,1.5,5승0무2패,2승,3-0-1,2-0-1
2024-03-31,4,8,5,3,0,0.625,2,5승0무3패,3승,2-0-3,3-0-0
2024-03-31,5,8,4,3,1,0.571,2.5,4승1무3패,2패,2003-01-01,1-0-2
2024-03-31,6,8,4,4,0,0.5,3,4승0무4패,1패,1-0-2,3-0-2
2024-03-31,7,6,2,4,0,0.333,4,2승0무4패,2승,2-0-1,0-0-3
2024-03-31,8,8,2,5,1,0.286,4.5,2승1무5패,5패,0-0-3,2002-01-02
2024-03-31,9,7,1,6,0,0.143,5.5,1승0무6패,2패,1-0-2,0-0-4
2024-03-31,10,8,1,7,0,0.125,6,1승0무7패,3패,1-0-4,0-0-3
2024-04-02,1,9,7,2,0,0.778,0,7승0무2패,1패,3-0-1,4-0-1
2024-04-02,2,8,6,2,0,0.75,0.5,6승0무2패,3승,3-0-1,3-0-1
2024-04-02,3,7,5,2,0,0.714,1,5승0무2패,1패,3-0-0,2-0-2
2024-04-02,4,9,6,3,0,0.667,1,6승0무3패,4승,3-0-3,3-0-0
2024-04-02,5,9,4,4,1,0.5,2.5,4승1무4패,3패,2003-01-02,1-0-2
2024-04-02,6,9,4,5,0,0.444,3,4승0무5패,2패,1-0-2,3-0-3
2024-04-02,7,7,3,4,0,0.429,3,3승0무4패,3승,2-0-1,1-0-3
2024-04-02,8,8,2,6,0,0.25,4.5,2승0무6패,1승,1-0-2,1-0-4
2024-04-02,8,9,2,6,1,0.25,4.5,2승1무6패,6패,0-0-4,2002-01-02
2024-04-02,10,9,2,7,0,0.222,5,2승0무7패,1승,2-0-4,0-0-3
