팀명,SBA,SB,CS,SB%,OOB,PKO
두산,234,184,50,78.6,56,4
LG,250,171,79,68.4,61,12
SSG,188,149,39,79.3,32,3
KIA,169,125,44,74.0,45,4
삼성,142,113,29,79.6,39,4
롯데,147,105,42,71.4,54,13
NC,137,104,33,75.9,47,10
키움,84,71,13,84.5,33,3
한화,110,69,41,62.7,44,7
KT,88,61,27,69.3,37,4
