선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
강건,KT,1.35,4,0,0,1,0,-,6 2/3,4,0,3,0,8,1,1,1.05
고영표,KT,2.78,28,12,7,0,0,0.632,174 2/3,181,7,19,9,114,57,54,1.15
김민,KT,6.83,16,1,2,0,0,0.333,29,40,3,16,4,22,26,22,1.93
김민수,KT,6.92,14,0,1,0,3,0.000,13,17,1,5,0,4,10,10,1.69
김영현,KT,5.45,31,0,0,1,1,-,33,30,4,20,1,35,22,20,1.52
김재윤,KT,2.6,59,5,5,32,0,0.500,65 2/3,54,2,13,1,60,21,19,1.02
김정운,KT,3.86,5,0,0,0,0,-,7,6,0,6,2,3,4,3,1.71
김태오,KT,7.36,5,0,0,0,0,-,7 1/3,10,0,4,0,3,6,6,1.91
박세진,KT,3.86,16,0,1,0,1,0.000,11 2/3,15,1,14,0,10,8,5,2.49
박영현,KT,2.75,68,3,3,4,32,0.500,75 1/3,63,3,23,2,79,25,23,1.14
배제성,KT,4.49,26,8,10,0,0,0.444,130 1/3,144,6,77,2,79,72,65,1.7
벤자민,KT,3.54,29,15,6,0,0,0.714,160,149,12,45,3,157,79,63,1.21
소형준,KT,11.45,3,0,0,0,0,-,11,22,1,3,3,4,14,14,2.27
손동현,KT,3.42,64,8,5,1,15,0.615,73 2/3,68,5,20,2,40,31,28,1.19
슐서,KT,5.62,9,1,7,0,0,0.125,49 2/3,66,6,14,0,35,32,31,1.61
엄상백,KT,3.63,20,7,6,0,0,0.538,111 2/3,100,6,29,2,89,46,45,1.16
이상동,KT,3.98,36,4,1,0,1,0.800,40 2/3,45,4,15,0,43,19,18,1.48
이선우,KT,4.34,22,0,2,0,0,0.000,37 1/3,47,5,9,4,24,20,18,1.5
이채호,KT,6.93,25,0,1,0,1,0.000,24 2/3,26,6,9,3,8,19,19,1.42
전용주,KT,4.35,15,0,1,0,1,0.000,10 1/3,6,0,6,1,9,5,5,1.16
조이현,KT,6.69,18,2,1,0,1,0.667,35,61,3,6,2,17,27,26,1.91
조현우,KT,6.0,5,0,0,0,0,-,3,6,0,2,0,1,2,2,2.67
주권,KT,4.4,42,1,2,0,5,0.333,47,49,4,19,2,17,23,23,1.45
쿠에바스,KT,2.6,18,12,0,0,0,1.000,114 1/3,95,4,24,2,100,33,33,1.04
하준호,KT,4.15,12,0,1,0,0,0.000,13,14,0,10,5,6,9,6,1.85
