선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강민성,KT,12,0,0,0,-,0,0
강백호,KT,71,3,3,0,100,4,0
강현우,KT,53,1,0,1,0.0,0,0
김민,KT,1,0,0,0,-,0,0
김민혁,KT,113,15,11,4,73.3,5,0
김병준,KT,3,0,0,0,-,0,0
김병희,KT,5,0,0,0,-,0,0
김상수,KT,129,11,5,6,45.5,4,2
김영현,KT,1,0,0,0,-,0,0
김재윤,KT,5,0,0,0,-,0,0
김준태,KT,69,1,1,0,100,1,0
류현인,KT,17,0,0,0,-,0,0
문상인,KT,1,0,0,0,-,0,0
문상준,KT,2,0,0,0,-,0,0
문상철,KT,112,4,3,1,75.0,3,0
박경수,KT,107,0,0,0,-,4,0
박민석,KT,4,0,0,0,-,0,0
박병호,KT,132,2,2,0,100,4,0
박영현,KT,3,0,0,0,-,0,0
배정대,KT,97,16,13,3,81.3,3,0
손민석,KT,9,0,0,0,-,0,0
송민섭,KT,69,4,3,1,75.0,1,0
신본기,KT,40,1,0,1,0.0,1,0
안치영,KT,76,8,7,1,87.5,0,0
알포드,KT,133,21,17,4,81.0,12,1
오윤석,KT,82,4,3,1,75.0,0,1
이상동,KT,1,0,0,0,-,0,0
이상호,KT,63,2,2,0,100,1,0
이선우,KT,1,0,0,0,-,0,0
이시원,KT,29,1,0,1,0.0,1,0
이채호,KT,1,0,0,0,-,0,0
이호연,KT,85,6,4,2,66.7,3,0
장성우,KT,131,2,1,1,50.0,2,0
장준원,KT,69,3,3,0,100,0,0
정준영,KT,34,0,0,0,-,0,0
조용호,KT,63,4,4,0,100,3,0
하준호,KT,1,0,0,0,-,0,0
홍현빈,KT,44,2,2,0,100,0,0
황재균,KT,109,6,3,3,50.0,2,1
