Name,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
고우석,60.2,11.87,312.00%,381.00%,89.00%,33.30%,8.80%,24.60%,17.00%,0.96,0.235,92.90%,1.48,3.03,-1.54
모리만도,75.1,8.0,275.00%,291.00%,24.00%,22.00%,7.60%,14.50%,20.60%,1.06,0.264,80.00%,1.67,2.93,-1.26
김민수,80.2,10.15,167.00%,607.00%,33.00%,27.80%,4.60%,23.20%,21.60%,1.0,0.297,82.10%,1.9,2.3,-0.4
김재웅,62.2,8.04,416.00%,193.00%,57.00%,22.00%,11.40%,10.60%,17.60%,1.09,0.217,87.30%,2.01,3.91,-1.9
이용찬,60.2,9.05,193.00%,469.00%,45.00%,24.10%,5.10%,19.00%,23.60%,1.14,0.306,82.60%,2.08,2.71,-0.64
구창모,111.2,8.7,234.00%,372.00%,56.00%,23.90%,6.40%,17.50%,22.00%,1.08,0.281,80.70%,2.1,3.06,-0.96
안우진,196.0,10.29,253.00%,407.00%,18.00%,29.20%,7.20%,22.10%,18.50%,0.95,0.265,75.40%,2.11,2.17,-0.06
김광현,173.1,7.94,234.00%,340.00%,52.00%,22.00%,6.50%,15.60%,21.90%,1.07,0.272,80.80%,2.13,3.14,-1.01
스트레일리,62.1,7.94,318.00%,250.00%,72.00%,21.20%,8.50%,12.70%,23.30%,1.22,0.285,77.30%,2.31,3.92,-1.61
플럿코,162.0,8.28,211.00%,392.00%,72.00%,23.10%,5.90%,17.20%,20.70%,1.01,0.253,76.30%,2.39,3.24,-0.85
놀린,124.0,7.84,174.00%,450.00%,51.00%,21.10%,4.70%,16.40%,24.00%,1.12,0.296,77.30%,2.47,3.06,-0.59
수아레즈,173.2,8.24,259.00%,318.00%,36.00%,22.30%,7.00%,15.30%,22.90%,1.16,0.291,73.80%,2.49,2.92,-0.43
켈리,166.1,8.28,189.00%,437.00%,54.00%,23.00%,5.30%,17.80%,23.00%,1.08,0.289,78.40%,2.54,2.9,-0.36
요키시,185.1,7.48,160.00%,467.00%,39.00%,20.60%,4.40%,16.20%,23.90%,1.09,0.295,74.60%,2.57,2.81,-0.23
정우영,58.0,6.21,497.00%,125.00%,47.00%,16.10%,12.90%,3.20%,22.90%,1.38,0.269,83.10%,2.64,4.55,-1.91
폰트,184.0,8.32,166.00%,500.00%,88.00%,23.30%,4.70%,18.70%,20.50%,0.95,0.246,75.70%,2.69,3.37,-0.68
벤자민,96.2,7.17,223.00%,321.00%,102.00%,20.00%,6.20%,13.80%,21.00%,1.02,0.238,78.80%,2.7,4.05,-1.35
