선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고우석,LG,1,0,0,0,-,0,0
김기연,LG,28,1,1,0,100,1,0
김대현,LG,2,0,0,0,-,0,0
김민성,LG,112,3,2,1,66.7,2,0
김범석,LG,10,0,0,0,-,0,0
김주성,LG,11,0,0,0,-,1,0
김현수,LG,133,3,2,1,66.7,5,0
문보경,LG,131,17,9,8,52.9,8,2
문성주,LG,136,38,24,14,63.2,6,2
박동원,LG,130,1,0,1,0.0,7,0
박명근,LG,2,0,0,0,-,0,0
박해민,LG,144,38,26,12,68.4,11,2
서건창,LG,44,6,3,3,50.0,3,0
손호영,LG,27,3,2,1,66.7,0,0
송대현,LG,4,0,0,0,-,0,0
송찬의,LG,19,1,1,0,100,1,0
신민재,LG,122,54,37,17,68.5,6,1
안익훈,LG,11,0,0,0,-,3,0
오석주,LG,1,0,0,0,-,0,0
오스틴,LG,139,10,7,3,70.0,5,2
오지환,LG,126,23,16,7,69.6,7,2
이재원,LG,57,6,4,2,66.7,0,0
이정용,LG,1,0,0,0,-,0,0
이천웅,LG,4,0,0,0,-,0,0
전준호,LG,2,0,0,0,-,0,0
정주현,LG,89,6,1,5,16.7,1,0
최동환,LG,3,0,0,0,-,0,0
최승민,LG,38,11,8,3,72.7,1,1
허도환,LG,47,0,0,0,-,0,0
홍창기,LG,141,46,23,23,50.0,10,3
