YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
2021,66291,이영하,두산,투수,35,11,78 2/3,0,0,2,8,0,1,0,0,0,
2021,76329,이현승,두산,투수,38,0,23 1/3,0,0,1,1,0,1,0,0,0,
2021,62951,이형범,두산,투수,4,0,2 2/3,0,0,1,0,0,1,0,0,0,
2021,63202,장승현,두산,포수,91,57,505,4,0,429,33,5,0.991,7,30,16,34.8
2021,74513,장원준,두산,투수,32,0,18 2/3,0,0,0,5,0,1,0,0,0,
2021,68205,전민재,두산,2루수,4,0,6,1,0,3,0,0,0.75,0,0,0,
2021,68205,전민재,두산,3루수,3,0,6,0,0,0,1,0,1,0,0,0,
2021,79231,정수빈,두산,중견수,103,77,731 2/3,1,0,218,4,1,0.996,0,0,0,
2021,66209,조수행,두산,중견수,36,9,140,1,0,61,1,0,0.984,0,0,0,
2021,66209,조수행,두산,우익수,15,1,36 2/3,0,0,11,0,0,1,0,0,0,
2021,66209,조수행,두산,좌익수,52,1,99 1/3,0,0,27,0,0,1,0,0,0,
2021,50296,조제영,두산,투수,6,1,10 2/3,0,0,0,1,0,1,0,0,0,
2021,50298,최세창,두산,투수,1,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,51264,최승용,두산,투수,15,2,18 1/3,0,0,0,1,0,1,0,0,0,
2021,64213,최용제,두산,1루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,64213,최용제,두산,포수,49,14,189,4,0,136,20,2,0.975,1,14,6,30
2021,67263,최원준,두산,투수,29,29,158 1/3,1,2,8,15,0,0.958,0,0,0,
2021,69209,페르난데스,두산,1루수,18,17,140,3,0,107,5,9,0.974,0,0,0,
2021,79240,허경민,두산,3루수,130,116,984 2/3,8,0,92,161,21,0.969,0,0,0,
2021,68260,현도훈,두산,투수,5,2,8 2/3,0,0,1,0,0,1,0,0,0,
2021,61643,홍건희,두산,투수,65,0,74 1/3,0,0,6,12,1,1,0,0,0,
2021,66207,황경태,두산,2루수,1,0,4,1,0,2,0,0,0.667,0,0,0,
2021,66710,강상원,한화,좌익수,16,0,40,0,0,10,0,0,1,0,0,0,
2021,66710,강상원,한화,중견수,10,6,60,0,0,15,0,0,1,0,0,0,
2021,66710,강상원,한화,우익수,9,3,30,0,0,4,0,0,1,0,0,0,
2021,50705,강재민,한화,투수,58,0,63 1/3,0,0,5,6,2,1,0,0,0,
2021,69702,김건,한화,2루수,3,1,13,0,0,2,5,2,1,0,0,0,
2021,51715,김기중,한화,투수,15,12,53 2/3,0,0,1,3,0,1,0,0,0,
2021,67711,김기탁,한화,투수,19,0,12 1/3,0,0,0,0,0,,0,0,0,
2021,69745,김도현,한화,투수,14,5,26,1,0,0,3,0,0.75,0,0,0,
2021,65764,김민우,한화,투수,29,28,155 1/3,1,1,15,17,0,0.97,0,0,0,
2021,61554,김민하,한화,좌익수,16,11,98 1/3,1,0,27,0,0,0.964,0,0,0,
2021,61554,김민하,한화,중견수,6,5,42,1,0,16,1,0,0.944,0,0,0,
2021,61554,김민하,한화,우익수,20,12,118,1,0,28,1,0,0.967,0,0,0,
2021,65769,김범수,한화,투수,56,2,70 2/3,0,0,2,7,2,1,0,0,0,
2021,63765,김종수,한화,투수,49,0,46 2/3,0,0,2,4,0,1,0,0,0,
2021,65503,김지수,한화,좌익수,5,2,20,0,0,3,0,0,1,0,0,0,
2021,65503,김지수,한화,중견수,1,1,9,0,0,0,0,0,,0,0,0,
2021,65503,김지수,한화,우익수,6,4,30,0,0,11,0,0,1,0,0,0,
2021,67737,김진영,한화,투수,20,0,18 1/3,0,0,1,2,0,1,0,0,0,
2021,66704,김태연,한화,우익수,18,17,119,0,0,30,3,0,1,0,0,0,
2021,66704,김태연,한화,3루수,30,26,228,5,0,29,58,6,0.946,0,0,0,
2021,66704,김태연,한화,좌익수,4,4,25,0,0,10,0,0,1,0,0,0,
2021,66704,김태연,한화,2루수,8,2,34,2,0,10,11,1,0.913,0,0,0,
2021,50720,남지민,한화,투수,3,3,7 1/3,0,0,0,0,0,,0,0,0,
2021,63704,노수광,한화,좌익수,10,7,66,0,0,21,1,0,1,0,0,0,
2021,63704,노수광,한화,중견수,41,37,311,0,0,96,3,0,1,0,0,0,
2021,69737,노시환,한화,3루수,96,94,811,20,0,98,176,27,0.932,0,0,0,
2021,69737,노시환,한화,1루수,5,0,12 2/3,0,0,9,1,2,1,0,0,0,
2021,64704,노태형,한화,1루수,9,8,61,0,0,55,1,7,1,0,0,0,
2021,64704,노태형,한화,3루수,3,2,14,2,0,1,3,0,0.667,0,0,0,
2021,64554,문동욱,한화,투수,1,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,68703,박성웅,한화,투수,2,1,3,0,0,0,0,0,,0,0,0,
2021,50709,박정현,한화,유격수,17,11,110,1,0,18,27,3,0.978,0,0,0,
2021,50709,박정현,한화,1루수,7,7,52,2,0,42,3,3,0.957,0,0,0,
2021,50709,박정현,한화,3루수,3,3,24,1,0,2,5,0,0.875,0,0,0,
2021,50709,박정현,한화,2루수,8,6,56,2,0,13,18,4,0.939,0,0,0,
2021,51761,배동현,한화,투수,20,4,38,0,0,1,3,0,1,0,0,0,
2021,78643,백용환,한화,1루수,2,1,10,0,0,6,0,1,1,0,0,0,
2021,78643,백용환,한화,포수,23,18,157 2/3,1,0,143,11,0,0.994,1,22,3,12
2021,64759,서균,한화,투수,3,0,1 2/3,1,0,0,0,0,0,0,0,0,
2021,61156,송윤준,한화,투수,17,0,12 2/3,0,0,0,0,0,,0,0,0,
2021,51767,송호정,한화,2루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,51767,송호정,한화,좌익수,1,0,1,0,0,0,0,0,,0,0,0,
2021,51767,송호정,한화,유격수,4,2,22,1,0,0,4,0,0.8,0,0,0,
2021,60140,신정락,한화,투수,20,0,20,0,0,2,3,0,1,0,0,0,
2021,50758,신지후,한화,투수,2,0,01월 03일,0,0,0,0,0,,0,0,0,
2021,69703,오동욱,한화,투수,34,0,25,0,0,2,2,1,1,0,0,0,
2021,69766,유로결,한화,좌익수,2,1,11,0,0,4,0,0,1,0,0,0,
2021,69766,유로결,한화,우익수,3,2,19,0,0,3,0,0,1,0,0,0,
2021,69766,유로결,한화,중견수,29,25,223,0,0,70,1,1,1,0,0,0,
2021,63464,윤대경,한화,투수,43,9,77 2/3,0,0,4,2,1,1,0,0,0,
2021,69213,윤산흠,한화,투수,5,0,3,0,0,0,2,1,1,0,0,0,
2021,63961,윤호솔,한화,투수,55,0,48 2/3,1,0,0,0,0,0,0,0,0,
2021,65703,이도윤,한화,3루수,18,4,66 2/3,1,0,6,19,2,0.962,0,0,0,
2021,65703,이도윤,한화,2루수,16,2,38,0,0,5,11,0,1,0,0,0,
2021,65703,이도윤,한화,유격수,21,6,81,3,0,11,16,4,0.9,0,0,0,
2021,64266,이성곤,한화,1루수,40,35,288,4,0,258,15,23,0.986,0,0,0,
2021,73136,이성열,한화,1루수,10,7,64,1,0,46,5,5,0.981,0,0,0,
2021,68797,이승관,한화,투수,8,2,5 2/3,0,0,0,1,0,1,0,0,0,
2021,66702,이시원,한화,좌익수,4,0,10,0,0,3,0,0,1,0,0,0,
2021,66702,이시원,한화,중견수,22,15,140 2/3,1,0,50,1,0,0.981,0,0,0,
2021,68700,이원석,한화,중견수,38,31,295,1,0,71,1,1,0.986,0,0,0,
2021,68700,이원석,한화,좌익수,2,0,4,0,0,1,0,0,1,0,0,0,
2021,68700,이원석,한화,우익수,1,0,1,0,0,0,0,0,,0,0,0,
2021,63749,이충호,한화,투수,17,0,16 1/3,1,0,0,2,1,0.667,0,0,0,
2021,60343,이해창,한화,포수,20,16,149,1,2,112,16,1,0.992,1,13,3,18.8
2021,50704,임종찬,한화,우익수,40,38,329,1,0,70,0,0,0.986,0,0,0,
2021,62611,임준섭,한화,투수,13,0,10 2/3,0,0,0,0,0,,0,0,0,
2021,51762,장규현,한화,포수,4,1,16,0,0,12,0,0,1,0,3,0,0
2021,79764,장민재,한화,투수,12,6,29 1/3,0,0,0,2,0,1,0,0,0,
2021,77318,장시환,한화,투수,19,16,69,2,0,4,7,1,0.846,0,0,0,
2021,63700,장운호,한화,우익수,59,34,349,0,0,85,3,2,1,0,0,0,
2021,63700,장운호,한화,중견수,23,22,162,0,0,56,2,0,1,0,0,0,
2021,63700,장운호,한화,좌익수,34,23,216,0,0,49,0,0,1,0,0,0,
2021,50706,장웅정,한화,투수,4,0,7 1/3,0,0,2,0,0,1,0,0,0,
2021,51706,장지승,한화,좌익수,3,2,17,0,0,4,0,0,1,0,0,0,
2021,51706,장지승,한화,우익수,18,16,129,1,0,28,0,0,0.966,0,0,0,
2021,51764,정민규,한화,2루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,51764,정민규,한화,3루수,3,3,19,3,0,2,7,1,0.75,0,0,0,
2021,51764,정민규,한화,1루수,1,1,8,0,0,6,4,0,1,0,0,0,
2021,74857,정우람,한화,투수,50,0,44 2/3,0,0,1,5,0,1,0,0,0,
2021,68743,정은원,한화,2루수,125,122,1015 2/3,13,0,219,279,70,0.975,0,0,0,
2021,68743,정은원,한화,유격수,1,1,9,0,0,1,0,0,1,0,0,0,
2021,79440,정인욱,한화,투수,8,1,9 1/3,0,0,1,1,0,1,0,0,0,
2021,61208,정진호,한화,좌익수,41,38,302 2/3,2,0,77,3,1,0.976,0,0,0,
2021,61208,정진호,한화,투수,3,0,1 2/3,0,0,1,0,0,1,0,0,0,
2021,69705,조한민,한화,1루수,7,6,43,0,0,36,4,5,1,0,0,0,
2021,69705,조한민,한화,3루수,4,2,20,0,0,5,1,0,1,0,0,0,
2021,69705,조한민,한화,2루수,9,4,41,1,0,12,10,2,0.957,0,0,0,
2021,69705,조한민,한화,우익수,15,13,96 2/3,0,0,21,0,0,1,0,0,0,
2021,69705,조한민,한화,중견수,3,2,16,0,0,4,0,0,1,0,0,0,
2021,69705,조한민,한화,유격수,6,3,27,2,0,2,6,1,0.8,0,0,0,
2021,69705,조한민,한화,좌익수,9,7,54,1,0,15,1,1,0.941,0,0,0,
2021,65707,주현상,한화,투수,43,0,50 1/3,1,0,2,10,2,0.923,0,0,0,
2021,50707,최인호,한화,좌익수,43,39,325 2/3,0,0,75,1,1,1,0,0,0,
2021,50707,최인호,한화,우익수,2,1,10,0,0,2,0,0,1,0,0,0,
2021,78288,최재훈,한화,1루수,1,0,2,0,0,2,0,0,1,0,0,0,
2021,78288,최재훈,한화,포수,108,100,842,1,3,702,62,11,0.999,3,63,25,28.4
2021,51722,카펜터,한화,투수,31,30,170,3,1,6,16,1,0.88,0,0,0,
2021,50815,킹험,한화,투수,25,25,144,1,0,13,15,1,0.966,0,0,0,
2021,51714,페레즈,한화,우익수,6,3,28,0,0,6,0,0,1,0,0,0,
2021,51714,페레즈,한화,3루수,7,6,49,2,0,4,8,1,0.857,0,0,0,
2021,51714,페레즈,한화,좌익수,10,9,68,1,0,8,0,0,0.889,0,0,0,
2021,51714,페레즈,한화,1루수,35,20,199,5,0,159,18,14,0.973,0,0,0,
2021,51714,페레즈,한화,2루수,5,5,38,1,0,9,12,2,0.955,0,0,0,
2021,51714,페레즈,한화,유격수,12,10,83,1,0,13,25,4,0.974,0,0,0,
2021,62700,하주석,한화,유격수,113,111,923 2/3,14,0,131,231,40,0.963,0,0,0,
2021,69706,허관회,한화,포수,17,9,94,1,0,74,3,0,0.987,2,10,1,9.1
2021,64760,황영국,한화,투수,18,0,14 2/3,0,0,1,0,0,1,0,0,0,
2021,51725,힐리,한화,1루수,62,59,527,5,0,479,42,42,0.99,0,0,0,
2021,61700,강경학,KIA,투수,1,0,02월 03일,0,0,0,0,0,,0,0,0,
2021,61700,강경학,KIA,3루수,6,3,28,1,0,1,2,0,0.75,0,0,0,
2021,61700,강경학,KIA,2루수,12,4,46,0,0,16,17,4,1,0,0,0,
2021,61700,강경학,KIA,유격수,4,1,13,1,0,6,4,3,0.909,0,0,0,
2021,63628,고영창,KIA,투수,24,0,23 1/3,0,0,1,0,0,1,0,0,0,
2021,51640,권다결,KIA,포수,5,5,41,0,0,22,1,0,1,1,5,1,16.7
2021,66614,김규성,KIA,유격수,13,6,61,0,0,11,23,3,1,0,0,0,
2021,66614,김규성,KIA,3루수,3,1,15 2/3,2,0,1,4,0,0.714,0,0,0,
2021,66614,김규성,KIA,2루수,33,3,64,2,0,12,27,4,0.951,0,0,0,
2021,62864,김민식,KIA,포수,86,67,606,5,0,471,41,5,0.99,3,55,20,26.7
2021,67610,김석환,KIA,1루수,4,4,35,2,0,40,0,3,0.952,0,0,0,
2021,78603,김선빈,KIA,2루수,125,125,1015 2/3,7,0,206,305,86,0.986,0,0,0,
2021,78603,김선빈,KIA,유격수,1,0,2,0,0,0,0,0,,0,0,0,
2021,68659,김유신,KIA,투수,15,11,54 1/3,2,1,0,12,2,0.857,0,0,0,
2021,64580,김재열,KIA,투수,24,0,32 2/3,2,0,4,4,0,0.8,0,0,0,
2021,64984,김태진,KIA,3루수,93,91,786 2/3,16,0,66,171,16,0.937,0,0,0,
2021,64984,김태진,KIA,2루수,5,5,44,1,0,8,9,4,0.944,0,0,0,
2021,69516,김현수,KIA,투수,17,8,45 2/3,0,0,1,2,0,1,0,0,0,
2021,66630,김현준,KIA,투수,19,0,19 2/3,0,0,0,4,0,1,0,0,0,
2021,65653,김호령,KIA,중견수,61,44,394,0,0,124,2,1,1,0,0,0,
2021,73209,나주환,KIA,3루수,9,3,43 2/3,0,0,3,7,2,1,0,0,0,
2021,73209,나주환,KIA,1루수,4,1,10,0,0,10,1,0,1,0,0,0,
2021,78629,나지완,KIA,좌익수,24,23,176,0,0,38,0,0,1,0,0,0,
2021,66660,남하준,KIA,투수,5,1,8,0,0,0,0,0,,0,0,0,
2021,51636,다카하시,KIA,투수,7,7,36 2/3,0,0,3,2,1,1,0,0,0,
2021,62234,류지혁,KIA,유격수,1,0,1,0,0,1,1,0,1,0,0,0,
2021,62234,류지혁,KIA,3루수,47,43,359 1/3,6,0,31,75,14,0.946,0,0,0,
2021,62234,류지혁,KIA,1루수,42,34,312 1/3,2,0,291,17,36,0.994,0,0,0,
2021,51619,멩덴,KIA,투수,21,21,120,0,1,7,14,1,1,0,0,0,
2021,51645,박건우,KIA,투수,3,0,3,0,0,0,0,0,,0,0,0,
2021,50657,박민,KIA,유격수,14,11,94 2/3,2,0,13,24,6,0.949,0,0,0,
2021,67609,박정우,KIA,중견수,22,14,130,0,0,43,1,1,1,0,0,0,
2021,67609,박정우,KIA,좌익수,9,2,27,0,0,4,0,0,1,0,0,0,
2021,67609,박정우,KIA,우익수,1,0,2,0,0,0,0,0,,0,0,0,
2021,63638,박준표,KIA,투수,32,0,32,0,0,2,4,1,1,0,0,0,
2021,67646,박진태,KIA,투수,59,0,65,0,0,0,8,1,1,0,0,0,
2021,64646,박찬호,KIA,유격수,128,125,1100 1/3,24,0,204,321,74,0.956,0,0,0,
2021,62263,변시원,KIA,투수,1,0,02월 03일,0,0,0,0,0,,0,0,0,
2021,50636,브룩스,KIA,투수,13,13,78,1,1,8,16,2,0.96,0,0,0,
2021,66663,서덕원,KIA,투수,24,0,32 2/3,2,0,1,6,0,0.778,0,0,0,
2021,69636,오선우,KIA,좌익수,6,4,33 1/3,0,0,15,1,1,1,0,0,0,
2021,68614,오정환,KIA,3루수,1,1,8,1,0,0,2,0,0.667,0,0,0,
2021,68614,오정환,KIA,2루수,3,2,23,0,0,4,7,2,1,0,0,0,
2021,62265,유민상,KIA,1루수,15,14,118,0,0,106,7,15,1,0,0,0,
2021,68619,윤중현,KIA,투수,30,13,82 2/3,0,0,3,12,1,1,0,0,0,
2021,65616,이민우,KIA,투수,16,12,57,0,0,4,7,0,1,0,0,0,
2021,51668,이승재,KIA,투수,25,0,24,0,0,0,4,0,1,0,0,0,
2021,63260,이우성,KIA,우익수,2,1,10,0,0,3,0,0,1,0,0,0,
2021,63260,이우성,KIA,좌익수,60,19,247 2/3,1,0,58,1,1,0.983,0,0,0,
2021,51648,이의리,KIA,투수,19,19,94 2/3,1,1,3,6,0,0.9,0,0,0,
2021,67644,이정훈,KIA,포수,4,4,33,2,0,24,2,0,0.929,1,3,0,0
2021,65665,이준영,KIA,투수,50,1,35 2/3,0,0,1,6,2,1,0,0,0,
