year,player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2021,63628,고영창,KIA,5.79,24,0,2,0,6,0,23.33,30,0,10,2,6,19,15,1.71
2021,68659,김유신,KIA,7.62,15,2,6,0,0,0.25,54.33,63,11,35,2,29,47,46,1.8
2021,64580,김재열,KIA,3.86,24,1,0,0,0,1,32.66,28,4,18,4,18,18,14,1.41
2021,69516,김현수,KIA,7.88,17,1,4,0,0,0.2,45.66,57,8,36,3,27,43,40,2.04
2021,66630,김현준,KIA,5.49,19,0,1,0,2,0,19.66,15,4,12,0,19,13,12,1.37
2021,66660,남하준,KIA,14.63,5,0,1,0,1,0,8.00,10,2,10,0,5,13,13,2.5
2021,51636,다카하시,KIA,4.91,7,1,3,0,0,0.25,36.66,46,4,12,4,46,22,20,1.58
2021,51619,멩덴,KIA,3.6,21,8,3,0,0,0.727,120.00,109,12,35,8,104,53,48,1.2
2021,51645,박건우,KIA,0,3,0,0,0,0,,3.00,2,0,1,1,3,0,0,1
2021,63638,박준표,KIA,5.91,32,2,4,0,4,0.333,32.00,42,3,17,9,18,24,21,1.84
2021,67646,박진태,KIA,5.95,59,3,3,0,9,0.5,65.00,68,6,36,13,45,44,43,1.6
2021,50636,브룩스,KIA,3.35,13,3,5,0,0,0.375,78.00,93,4,16,1,55,34,29,1.4
2021,66663,서덕원,KIA,7.44,24,1,0,0,1,1,32.66,36,7,14,0,24,28,27,1.53
2021,68619,윤중현,KIA,3.92,30,5,6,0,2,0.455,82.66,91,7,31,14,33,44,36,1.48
2021,65616,이민우,KIA,8.05,16,1,6,0,0,0.143,57.00,78,8,31,5,28,53,51,1.91
2021,51668,이승재,KIA,7.5,25,2,1,0,5,0.667,24.00,26,5,18,3,17,20,20,1.83
2021,51648,이의리,KIA,3.61,19,4,5,0,0,0.444,94.66,69,6,56,2,93,42,38,1.32
2021,65665,이준영,KIA,5.55,50,3,2,1,9,0.6,35.66,30,3,19,0,26,25,22,1.37
2021,62754,임기영,KIA,4.88,28,8,8,0,0,0.5,153.00,155,15,45,11,129,85,83,1.31
2021,62754,임기영,KIA,4.88,28,8,8,0,0,0.5,153.00,155,15,45,11,129,85,83,1.31
2021,51665,장민기,KIA,3.47,21,2,1,0,2,0.667,23.33,13,1,29,4,22,11,9,1.8
2021,69645,장지수,KIA,3.14,9,0,0,0,0,,14.33,9,1,13,3,5,6,5,1.53
2021,63950,장현식,KIA,3.29,69,1,5,1,34,0.167,76.66,67,7,42,3,80,28,28,1.42
2021,66609,전상현,KIA,3.46,15,1,0,0,7,1,13.00,15,1,6,0,8,6,5,1.62
2021,50662,정해영,KIA,2.2,64,5,4,34,0,0.556,65.33,49,5,28,4,49,18,16,1.18
2021,64615,차명진,KIA,7.59,4,0,1,0,0,0,10.66,12,1,13,1,6,9,9,2.34
2021,50650,최용준,KIA,14.21,3,0,1,0,0,0,6.33,11,3,7,1,6,10,10,2.84
2021,65464,최정용,KIA,0,1,0,0,0,0,,,1,0,0,0,0,0,0,3
2021,61666,한승혁,KIA,4.56,8,0,3,0,0,0,23.66,25,0,10,2,17,15,12,1.48
2021,78247,홍상삼,KIA,4.75,49,4,1,0,12,0.8,36.00,33,6,19,3,33,19,19,1.44
2021,62908,황윤호,KIA,0,1,0,0,0,0,,,2,0,0,0,0,1,0,3
2021,50393,김동욱,키움,9,3,0,0,0,0,,3.00,7,2,1,0,2,3,3,2.67
2021,50360,김동혁,키움,5.05,40,0,5,1,0,0,82.00,89,5,34,14,30,51,46,1.5
2021,66018,김선기,키움,6.52,21,3,2,0,0,0.6,48.33,53,5,22,7,25,38,35,1.55
2021,67828,김성민,키움,3.28,47,2,3,1,11,0.4,46.66,43,4,35,6,36,21,17,1.67
2021,51301,김성진,키움,5.18,46,1,3,0,2,0.25,41.66,40,4,23,0,31,30,24,1.51
2021,69367,김인범,키움,0,3,0,0,0,0,,5.33,3,0,1,0,5,0,0,0.75
2021,67391,김재웅,키움,3.54,51,0,1,1,11,0,53.33,49,5,33,1,47,24,21,1.54
2021,65392,김정인,키움,7.11,11,1,2,0,0,0.333,31.66,34,6,18,2,21,26,25,1.64
2021,51393,김준형,키움,3.14,14,0,0,0,0,,14.33,15,2,7,3,8,6,5,1.53
2021,62360,김태훈,키움,3.22,66,4,2,11,15,0.667,64.33,60,1,33,1,52,26,23,1.45
2021,60336,문성현,키움,5.4,4,0,0,0,0,,3.33,3,0,6,0,3,2,2,2.7
2021,50397,박관진,키움,81,2,0,0,0,0,,,5,0,3,1,0,9,6,12
2021,66305,박승주,키움,4.15,3,0,0,0,0,,4.33,3,0,3,0,1,2,2,1.38
2021,69328,박주성,키움,4.91,13,0,1,0,0,0,18.33,24,1,9,2,12,11,10,1.8
2021,67313,브리검,키움,2.95,10,7,3,0,0,0.7,61.00,49,6,26,4,49,25,20,1.23
2021,51334,스미스,키움,6.3,2,1,0,0,0,1,10.00,9,1,5,0,5,7,7,1.4
2021,68341,안우진,키움,3.26,21,8,8,0,0,0.5,107.66,88,13,41,7,110,47,39,1.2
2021,61268,양현,키움,4.69,45,1,2,0,5,0.333,48.00,59,3,26,1,22,31,25,1.77
2021,74359,오주원,키움,9.31,22,1,1,1,0,0.5,19.33,35,3,4,0,11,20,20,2.02
2021,69343,요키시,키움,2.93,31,16,9,0,0,0.64,181.33,171,12,46,4,131,71,59,1.2
2021,69343,요키시,키움,2.93,31,16,9,0,0,0.64,181.33,171,12,46,4,131,71,59,1.2
