game_id,player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
20210404KTHH0,61700,2021-04-04,KT,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210406SKHH0,61700,2021-04-06,SSG,0.333,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0.333
20210407SKHH0,61700,2021-04-07,SSG,0,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0.2
20210408SKHH0,61700,2021-04-08,SSG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
20210409OBHH0,61700,2021-04-09,두산,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.167
20210401OBHH0,61700,2021-04-01,두산,0.667,3,3,0,2,0,0,0,0,0,0,0,0,1,0,0.333
20210413SSHH0,61700,2021-04-13,삼성,0,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.214
20210416NCHH0,61700,2021-04-16,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.2
20210417NCHH0,61700,2021-04-17,NC,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.158
20210423LGHH0,61700,2021-04-23,LG,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.158
20210424LGHH0,61700,2021-04-24,LG,-,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.158
20210425LGHH0,61700,2021-04-25,LG,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.136
20210801HHHT0,61700,2021-08-01,한화,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136
20210811HHHT0,61700,2021-08-11,한화,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136
20210813SKHT0,61700,2021-08-13,SSG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136
20210814SKHT0,61700,2021-08-14,SSG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136
20210815SKHT0,61700,2021-08-15,SSG,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.174
20210818OBHT0,61700,2021-08-18,두산,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174
20210819OBHT0,61700,2021-08-19,두산,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.167
20210802WOHT0,61700,2021-08-02,키움,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.148
20210824WOHT0,61700,2021-08-24,키움,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148
20210825LTHT0,61700,2021-08-25,롯데,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.179
20210826LTHT0,61700,2021-08-26,롯데,0,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0.172
20210901OBHT0,61700,2021-09-01,두산,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.167
20210902SSHT0,61700,2021-09-02,삼성,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.152
20210404SKLT0,65515,2021-04-04,SSG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210406NCLT0,65515,2021-04-06,NC,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
