연도,선수_ID,선수명,포지션,데이터유무
2023,55460,가라비토,투수,X
2023,52125,가르시아,타자,X
2023,51833,가빌리오,투수,X
2023,55532,감보아,투수,X
2023,53006,강건,투수,O
2023,61700,강경학,타자,X
2023,61295,강동연,투수,X
2023,67591,강동호,투수,X
2023,65515,강로한,타자,X
2023,64906,강민국,타자,X
2023,69064,강민성,타자,O
2023,74540,강민호,타자,O
2023,68050,강백호,타자,O
2023,66710,강상원,타자,X
2023,54567,강성우,타자,X
2023,54506,강승구,타자,X
2023,63123,강승호,타자,O
2023,79358,강윤구,투수,X
2023,50705,강재민,투수,O
2023,53460,강준서,타자,O
2023,79130,강지광,투수,X
2023,62925,강진성,타자,O
2023,50905,강태경,투수,X
2023,65514,강태율,타자,X
2023,64610,강한울,타자,O
2023,51269,강현구,타자,X
2023,50066,강현우,타자,O
2023,51143,강효종,투수,O
2023,68069,고명성,타자,X
2023,51868,고명준,타자,O
2023,66201,고봉재,투수,O
2023,69517,고승민,타자,O
2023,54908,고승완,타자,X
2023,54344,고영우,타자,X
2023,64001,고영표,투수,O
2023,61353,고종욱,타자,O
2023,72523,고효준,투수,O
2023,68407,공민규,타자,O
2023,53609,곽도규,투수,O
2023,68220,곽빈,투수,O
2023,53506,구드럼,타자,O
2023,69100,구본혁,타자,X
2023,63543,구승민,투수,O
2023,62404,구자욱,타자,O
2023,64498,구준범,투수,X
2023,65933,구창모,투수,O
2023,79290,국해성,타자,O
2023,52769,권광민,타자,O
2023,51640,권다결,타자,X
2023,51003,권동진,타자,X
2023,55764,권민규,투수,X
2023,68204,권민석,타자,O
2023,65412,권정웅,타자,X
2023,55371,권혁빈,타자,X
2023,50203,권휘,투수,X
2023,63963,권희동,타자,O
2023,77263,김강률,투수,O
2023,71837,김강민,타자,O
2023,65522,김강현,투수,O
2023,69702,김건,타자,O
2023,76225,김건국,투수,O
2023,51867,김건우,투수,X
2023,53844,김건웅,타자,O
2023,60339,김건태,타자,X
2023,51005,김건형,타자,X
2023,53312,김건희,타자,O
2023,77829,김광현,투수,O
2023,69810,김규남,타자,X
2023,66614,김규성,타자,O
2023,51713,김규연,투수,O
2023,66112,김기연,타자,O
2023,51715,김기중,투수,O
2023,67711,김기탁,투수,X
2023,65462,김기환,타자,X
2023,69620,김기훈,투수,O
2023,52995,김녹원,투수,X
2023,61365,김대우,투수,O
2023,78536,김대우,투수,X
2023,54164,김대원,타자,X
2023,60337,김대유,투수,O
2023,69238,김대한,타자,O
2023,66145,김대현,투수,O
2023,54401,김대호,투수,X
2023,68585,김도규,투수,O
2023,54705,김도빈,투수,X
2023,52605,김도영,타자,O
2023,51294,김도윤,투수,X
2023,69745,김도현,투수,X
2023,69442,김도환,타자,O
2023,53164,김동규,투수,O
2023,66838,김동엽,타자,O
2023,68589,김동우,투수,X
2023,50393,김동욱,투수,X
2023,51230,김동주,투수,O
2023,52267,김동준,타자,X
2023,51403,김동진,타자,O
2023,53344,김동헌,타자,O
2023,50360,김동혁,투수,O
2023,52504,김동혁,타자,O
2023,55040,김동현,투수,X
2023,54614,김두현,타자,X
2023,67246,김명신,투수,O
2023,68403,김무신,투수,X
2023,68043,김민,투수,O
2023,54913,김민규,투수,X
2023,68200,김민규,투수,O
2023,50573,김민기,투수,X
2023,53554,김민석,타자,O
2023,54097,김민석,타자,X
2023,77564,김민성,타자,O
2023,64793,김민수,타자,O
2023,65048,김민수,투수,O
2023,67504,김민수,타자,O
2023,69500,김민수,타자,X
2023,62864,김민식,타자,O
2023,65764,김민우,투수,O
2023,54608,김민재,투수,X
2023,54645,김민주,투수,X
2023,61554,김민하,타자,X
2023,64004,김민혁,타자,O
2023,65269,김민혁,타자,O
2023,53144,김범석,타자,O
2023,65769,김범수,투수,O
2023,69980,김범준,타자,X
2023,52002,김병준,타자,O
2023,50304,김병휘,타자,O
2023,64014,김병희,타자,O
2023,63894,김사윤,투수,X
2023,52402,김상민,타자,O
2023,76430,김상수,투수,O
2023,79402,김상수,타자,O
2023,52460,김서준,투수,O
2023,55359,김서준,투수,X
2023,53754,김서현,투수,O
2023,67610,김석환,타자,O
2023,66018,김선기,투수,O
2023,78603,김선빈,타자,O
2023,51604,김선우,타자,O
2023,50848,김성민,투수,X
2023,67828,김성민,투수,X
2023,52105,김성우,타자,X
2023,62934,김성욱,타자,O
2023,67449,김성윤,타자,O
2023,55216,김성재,타자,X
2023,51301,김성진,투수,O
2023,69105,김성진,타자,X
2023,63435,김성표,타자,X
2023,76802,김성현,타자,O
2023,52514,김세민,타자,X
2023,76350,김세현,투수,X
