연도,선수_ID,선수명,포지션,데이터유무
2022,55460,가라비토,투수,X
2022,52125,가르시아,타자,O
2022,51833,가빌리오,투수,X
2022,55532,감보아,투수,X
2022,53006,강건,투수,X
2022,61700,강경학,타자,X
2022,61295,강동연,투수,O
2022,67591,강동호,투수,X
2022,65515,강로한,타자,X
2022,64906,강민국,타자,O
2022,69064,강민성,타자,X
2022,74540,강민호,타자,O
2022,68050,강백호,타자,O
2022,66710,강상원,타자,X
2022,54567,강성우,타자,X
2022,54506,강승구,타자,X
2022,63123,강승호,타자,O
2022,79358,강윤구,투수,O
2022,50705,강재민,투수,O
2022,53460,강준서,타자,X
2022,79130,강지광,투수,X
2022,62925,강진성,타자,O
2022,50905,강태경,투수,X
2022,65514,강태율,타자,O
2022,64610,강한울,타자,O
2022,51269,강현구,타자,O
2022,50066,강현우,타자,X
2022,51143,강효종,투수,O
2022,68069,고명성,타자,X
2022,51868,고명준,타자,X
2022,66201,고봉재,투수,X
2022,69517,고승민,타자,O
2022,54908,고승완,타자,X
2022,54344,고영우,타자,X
2022,64001,고영표,투수,O
2022,61353,고종욱,타자,O
2022,72523,고효준,투수,O
2022,68407,공민규,타자,O
2022,53609,곽도규,투수,X
2022,68220,곽빈,투수,O
2022,53506,구드럼,타자,X
2022,69100,구본혁,타자,X
2022,63543,구승민,투수,O
2022,62404,구자욱,타자,O
2022,64498,구준범,투수,X
2022,65933,구창모,투수,O
2022,79290,국해성,타자,X
2022,52769,권광민,타자,O
2022,51640,권다결,타자,O
2022,51003,권동진,타자,O
2022,55764,권민규,투수,X
2022,68204,권민석,타자,O
2022,65412,권정웅,타자,X
2022,55371,권혁빈,타자,X
2022,50203,권휘,투수,O
2022,63963,권희동,타자,O
2022,77263,김강률,투수,O
2022,71837,김강민,타자,O
2022,65522,김강현,투수,X
2022,69702,김건,타자,X
2022,76225,김건국,투수,X
2022,51867,김건우,투수,O
2022,53844,김건웅,타자,X
2022,60339,김건태,타자,X
2022,51005,김건형,타자,X
2022,53312,김건희,타자,X
2022,77829,김광현,투수,O
2022,69810,김규남,타자,O
2022,66614,김규성,타자,O
2022,51713,김규연,투수,O
2022,66112,김기연,타자,O
2022,51715,김기중,투수,O
2022,67711,김기탁,투수,X
2022,65462,김기환,타자,O
2022,69620,김기훈,투수,O
2022,52995,김녹원,투수,X
2022,61365,김대우,투수,O
2022,78536,김대우,투수,O
2022,54164,김대원,타자,X
2022,60337,김대유,투수,O
2022,69238,김대한,타자,O
2022,66145,김대현,투수,X
2022,54401,김대호,투수,X
2022,68585,김도규,투수,O
2022,54705,김도빈,투수,X
2022,52605,김도영,타자,O
2022,51294,김도윤,투수,X
2022,69745,김도현,투수,O
2022,69442,김도환,타자,X
2022,53164,김동규,투수,X
2022,66838,김동엽,타자,O
2022,68589,김동우,투수,X
2022,50393,김동욱,투수,X
2022,51230,김동주,투수,O
2022,52267,김동준,타자,X
2022,51403,김동진,타자,O
2022,53344,김동헌,타자,X
2022,50360,김동혁,투수,O
2022,52504,김동혁,타자,X
2022,55040,김동현,투수,X
2022,54614,김두현,타자,X
2022,67246,김명신,투수,O
2022,68403,김무신,투수,O
2022,68043,김민,투수,O
2022,54913,김민규,투수,X
2022,68200,김민규,투수,X
2022,50573,김민기,투수,O
2022,53554,김민석,타자,X
2022,54097,김민석,타자,X
2022,77564,김민성,타자,O
2022,64793,김민수,타자,X
2022,65048,김민수,투수,O
2022,67504,김민수,타자,O
2022,69500,김민수,타자,O
