선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강상원,한화,1,0,0,0,-,0,0
권광민,한화,32,1,0,1,0.0,0,0
김민우,한화,1,0,0,0,-,0,0
김범수,한화,1,0,0,0,-,0,0
김인환,한화,113,2,2,0,100,6,0
김태연,한화,119,5,3,2,60.0,6,0
노수광,한화,117,23,17,6,73.9,8,3
노시환,한화,115,8,6,2,75.0,2,1
류희운,한화,2,0,0,0,-,0,0
박상언,한화,56,3,0,3,0.0,0,0
박정현,한화,81,7,6,1,85.7,3,0
백용환,한화,4,0,0,0,-,0,0
변우혁,한화,21,0,0,0,-,0,0
신정락,한화,1,0,0,0,-,0,0
원혁재,한화,11,0,0,0,-,0,0
유로결,한화,30,0,0,0,-,2,0
유상빈,한화,17,1,0,1,0.0,0,1
윤호솔,한화,1,0,0,0,-,0,0
이도윤,한화,80,5,3,2,60.0,2,0
이성곤,한화,41,2,1,1,50.0,1,0
이원석,한화,20,0,0,0,-,0,0
이진영,한화,70,4,2,2,50.0,2,0
이해창,한화,4,0,0,0,-,0,0
임종찬,한화,20,1,0,1,0.0,0,0
장시환,한화,3,0,0,0,-,0,0
장운호,한화,57,2,0,2,0.0,1,0
장진혁,한화,41,3,2,1,66.7,1,0
정민규,한화,9,0,0,0,-,1,0
정은원,한화,140,16,10,6,62.5,4,0
주현상,한화,2,0,0,0,-,0,0
최재훈,한화,114,2,1,1,50.0,1,0
터크먼,한화,144,30,19,11,63.3,2,1
하주석,한화,125,26,20,6,76.9,7,0
허관회,한화,15,1,1,0,100,0,0
허인서,한화,8,0,0,0,-,0,0
