Year,Stadium,PF_Run,PF_HR
2021,잠실,872,644
2021,고척,944,722
2021,문학,1060,1317
2021,수원,1053,976
2021,대전,953,1049
2021,광주,997,959
2021,대구,1092,1409
2021,사직,1112,1062
2021,창원,1056,1180
