팀명,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
SSG,102,14,3830,1409,123,0.981,12,105,46,30.5
LG,91,4,3817,1481,147,0.983,12,98,40,29.0
롯데,85,9,3813,1403,123,0.984,8,101,44,30.3
두산,89,8,3808,1296,120,0.983,10,83,48,36.6
KIA,110,9,3807,1368,139,0.979,10,92,43,31.9
KT,112,7,3792,1466,133,0.979,7,93,31,25.0
키움,129,14,3790,1532,152,0.976,5,85,35,29.2
삼성,88,6,3777,1335,130,0.983,5,61,26,29.9
한화,120,7,3776,1262,121,0.977,7,111,41,27.0
NC,111,4,3770,1292,105,0.979,5,84,40,32.3
