팀명,G,SBA,SB,CS,SB%,OOB,PKO
삼성,144,160,116,44,72.5,46,7
KT,144,158,112,46,70.9,48,5
한화,144,165,109,56,66.1,59,14
NC,144,147,101,46,68.7,39,9
SSG,144,143,100,43,69.9,42,3
키움,144,123,97,26,78.9,39,3
LG,144,126,92,34,73.0,43,15
두산,144,118,81,37,68.6,46,10
KIA,144,104,73,31,70.2,46,8
롯데,144,91,60,31,65.9,54,8
