game_id,player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
20220406OBSS0,74540,2022-04-06,두산,0.500,4,2,0,1,0,0,0,2,0,0,1,0,0,1,0.308
20220407OBSS0,74540,2022-04-07,두산,0.200,5,5,1,1,0,0,0,2,0,0,0,0,1,0,0.278
20220408WOSS0,74540,2022-04-08,키움,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.286
20220409WOSS0,74540,2022-04-09,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.24
20220401WOSS0,74540,2022-04-01,키움,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,1,0.276
20220412HHSS0,74540,2022-04-12,한화,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,1,0.303
20220413HHSS0,74540,2022-04-13,한화,0.500,3,2,2,1,0,0,0,1,0,0,1,0,0,0,0.314
20220414HHSS0,74540,2022-04-14,한화,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.297
20220416SKSS0,74540,2022-04-16,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.268
20220417SKSS0,74540,2022-04-17,SSG,0.250,5,4,1,1,0,0,0,2,0,0,0,0,1,1,0.267
20220419NCSS0,74540,2022-04-19,NC,0.000,5,3,0,0,0,0,0,0,0,0,1,1,0,0,0.25
20220402NCSS0,74540,2022-04-02,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.231
20220423LTSS0,74540,2022-04-23,롯데,0.000,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0.214
20220424LTSS0,74540,2022-04-24,롯데,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.22
20220426LGSS0,74540,2022-04-26,LG,0.333,5,3,1,1,0,0,0,0,0,0,2,0,0,0,0.226
20220427LGSS0,74540,2022-04-27,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.215
20220428LGSS0,74540,2022-04-28,LG,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.217
20220429HTSS0,74540,2022-04-29,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.205
20220403HTSS0,74540,2022-04-03,KIA,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.197
20220501HTSS0,74540,2022-05-01,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.2
20220503NCSS0,74540,2022-05-03,NC,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.198
20220504NCSS0,74540,2022-05-04,NC,0.800,5,5,2,4,1,0,0,1,0,0,0,0,0,0,0.233
20220505NCSS0,74540,2022-05-05,NC,-,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.233
20220506LTSS0,74540,2022-05-06,롯데,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.231
20220507LTSS0,74540,2022-05-07,롯데,0.000,5,4,0,0,0,0,0,1,0,0,0,0,3,0,0.221
20220508LTSS0,74540,2022-05-08,롯데,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.219
20220501SKSS0,74540,2022-05-01,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.21
20220511SKSS0,74540,2022-05-11,SSG,0.000,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0.208
20220512SKSS0,74540,2022-05-12,SSG,0.250,4,4,1,1,1,0,0,1,0,0,0,0,1,0,0.21
20220514OBSS0,74540,2022-05-14,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.204
20220517HHSS0,74540,2022-05-17,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.205
20220518HHSS0,74540,2022-05-18,한화,1.000,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0.212
20220519HHSS0,74540,2022-05-19,한화,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,1,0.205
20220502KTSS0,74540,2022-05-02,KT,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2
20220521KTSS0,74540,2022-05-21,KT,0.500,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0.205
20220522KTSS0,74540,2022-05-22,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,3,0,0.2
20220524HTSS0,74540,2022-05-24,KIA,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.198
20220525HTSS0,74540,2022-05-25,KIA,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.202
20220526HTSS0,74540,2022-05-26,KIA,0.200,5,5,0,1,1,0,0,1,0,0,0,0,1,0,0.201
20220528LGSS0,74540,2022-05-28,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.197
20220529LGSS0,74540,2022-05-29,LG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197
20220531WOSS0,74540,2022-05-31,키움,0.750,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0.213
20220604OBSS0,74540,2022-06-04,두산,0.200,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0.212
20220607LTSS0,74540,2022-06-07,롯데,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212
20220601NCSS0,74540,2022-06-01,NC,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.211
20220611NCSS0,74540,2022-06-11,NC,0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,1,0.211
20220612NCSS0,74540,2022-06-12,NC,0.333,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0.213
20220614LGSS0,74540,2022-06-14,LG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.215
20220615LGSS0,74540,2022-06-15,LG,0.250,4,4,0,1,0,1,0,1,0,0,0,0,1,0,0.216
20220616LGSS0,74540,2022-06-16,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,1,0.217
20220617HTSS0,74540,2022-06-17,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.212
20220618HTSS0,74540,2022-06-18,KIA,0.800,5,5,0,4,1,0,0,0,0,0,0,0,0,0,0.229
20220619HTSS0,74540,2022-06-19,KIA,0.200,5,5,0,1,1,0,0,1,0,0,0,0,1,0,0.228
20220621WOSS0,74540,2022-06-21,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.228
20220623WOSS0,74540,2022-06-23,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.229
20220624HHSS0,74540,2022-06-24,한화,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0.225
20220626HHSS0,74540,2022-06-26,한화,1.000,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0.229
20220628KTSS0,74540,2022-06-28,KT,0.500,4,4,1,2,0,0,0,1,0,0,0,0,0,1,0.235
20220629KTSS0,74540,2022-06-29,KT,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.231
20220603KTSS0,74540,2022-06-03,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.229
20220702NCSS0,74540,2022-07-02,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.225
20220705LGSS0,74540,2022-07-05,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.226
20220706LGSS0,74540,2022-07-06,LG,0.333,5,3,1,1,0,0,0,0,0,0,2,0,0,0,0.227
20220707LGSS0,74540,2022-07-07,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.224
