player_id,Name,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
52712,터크먼,9.90%,16.00%,0.62,0.366,0.428,0.794,0.139,5.2,0.334,-1.1,92,16.9,0.365,122
69209,페르난데스,6.40%,8.20%,0.78,0.353,0.4,0.752,0.091,1.1,0.327,-0.3,71,7.3,0.348,111
52366,푸이그,10.60%,18.30%,0.58,0.367,0.474,0.841,0.197,2.8,0.309,-0.4,86,22.6,0.384,135
51463,피렐라,8.70%,12.90%,0.68,0.411,0.565,0.976,0.223,5.2,0.361,0.5,124,50.9,0.435,169
52526,피터스,7.30%,21.80%,0.34,0.299,0.402,0.701,0.174,3.1,0.257,-0.4,39,-2.7,0.321,94
62700,하주석,6.40%,26.10%,0.25,0.309,0.342,0.651,0.083,5.5,0.347,0.8,46,-10.3,0.303,82
68525,한동희,6.60%,12.80%,0.52,0.359,0.458,0.817,0.151,0.7,0.33,-0.3,74,16,0.372,127
62895,한유섬,12.10%,25.10%,0.48,0.372,0.478,0.851,0.214,2.1,0.328,-0.5,86,23,0.385,136
79240,허경민,7.30%,8.10%,0.9,0.36,0.398,0.759,0.109,3.9,0.299,0.5,65,7.7,0.351,113
66108,홍창기,11.20%,14.30%,0.79,0.39,0.355,0.745,0.069,6.1,0.339,0.8,72,10.5,0.357,117
65610,황대인,6.90%,17.60%,0.39,0.315,0.401,0.716,0.145,0.6,0.288,-0.3,60,-1.2,0.328,98
50500,황성빈,6.20%,15.60%,0.4,0.341,0.366,0.707,0.072,6.2,0.35,-3.2,41,-0.4,0.329,99
76313,황재균,9.10%,17.00%,0.54,0.335,0.38,0.715,0.118,4,0.306,-0.2,67,-0.3,0.33,100
