선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강로한,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
강윤구,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
강태율,롯데,0.094,19,38,32,0,3,1,0,0,4,3,3,0
고승민,롯데,0.316,92,262,234,31,74,15,1,5,106,30,2,1
구승민,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
김민수,롯데,0.257,57,156,140,9,36,6,0,0,42,11,3,0
김민수,롯데,0.143,5,7,7,0,1,0,0,0,1,1,0,0
김세민,롯데,0.000,4,4,1,1,0,0,0,0,0,0,2,0
김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
김재유,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
렉스,롯데,0.330,56,251,218,32,72,10,1,8,108,34,0,2
문경찬,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
박승욱,롯데,0.227,100,228,198,29,45,7,2,1,59,16,12,0
배성근,롯데,0.128,22,41,39,3,5,1,0,0,6,0,0,0
신윤후,롯데,0.235,49,73,68,8,16,4,2,2,30,7,0,0
안중열,롯데,0.155,33,84,71,8,11,0,0,2,17,2,0,0
안치홍,롯데,0.284,132,562,493,71,140,27,3,14,215,58,8,5
윤동희,롯데,0.154,4,13,13,1,2,1,0,0,3,1,0,0
이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6
이학주,롯데,0.207,91,260,232,29,48,11,1,3,70,15,9,1
이호연,롯데,0.244,88,222,205,20,50,10,1,2,68,16,4,0
장두성,롯데,0.174,53,28,23,7,4,0,0,0,4,0,0,0
전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9
정보근,롯데,0.191,95,226,199,8,38,2,0,1,43,15,10,1
정훈,롯데,0.245,91,340,294,39,72,8,0,3,89,32,6,6
조세진,롯데,0.186,39,88,86,6,16,3,0,0,19,6,1,0
지시완,롯데,0.213,75,199,174,16,37,7,0,3,53,17,2,1
추재현,롯데,0.224,33,66,58,10,13,4,0,0,17,5,0,0
피터스,롯데,0.228,85,354,316,32,72,16,0,13,127,48,0,4
한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4
한태양,롯데,0.148,38,72,61,14,9,1,0,0,10,3,4,0
황성빈,롯데,0.294,102,353,320,62,94,12,4,1,117,16,7,2
