player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
53006,2024-03-23,삼성,구원,,0.00,4,2/3,1,0,1,0,2,0,0,0.0
53006,2024-03-24,삼성,구원,,0.00,5,1,1,0,2,0,0,0,0,0.0
53006,2024-03-26,두산,구원,,9.00,5,1,2,0,0,0,0,1,1,3.38
53006,2024-06-23,LG,선발,패,27.00,10,1 1/3,4,1,1,1,1,4,4,11.25
51143,2024-05-12,롯데,선발,,20.25,9,1 1/3,2,1,3,0,2,3,3,20.25
64001,2024-03-27,두산,선발,패,20.25,25,4,13,0,1,0,2,9,9,20.25
64001,2024-04-02,KIA,선발,승,0.00,26,6,7,0,0,0,4,0,0,8.1
64001,2024-06-19,롯데,선발,패,10.80,24,5,9,0,0,0,4,6,6,9.0
64001,2024-06-25,SSG,선발,승,0.00,23,7,2,0,0,0,5,0,0,6.14
64001,2024-06-03,삼성,선발,,0.00,24,6 1/3,6,0,2,0,5,1,0,4.76
64001,2024-07-12,롯데,선발,,6.35,31,5 2/3,12,0,2,1,6,4,4,5.03
64001,2024-07-18,키움,선발,,9.00,27,5,11,0,2,0,2,5,5,5.54
64001,2024-07-25,SSG,선발,승,1.29,29,7,6,0,0,2,4,1,1,4.89
64001,2024-07-31,한화,선발,패,7.20,27,5,11,2,0,1,4,7,4,5.12
64001,2024-08-06,KIA,선발,패,1.42,27,6 1/3,5,0,2,0,2,2,1,4.71
64001,2024-08-11,롯데,선발,패,18.00,25,4,12,2,1,0,2,8,8,5.58
64001,2024-08-17,두산,선발,패,3.60,24,5,9,0,0,2,6,2,2,5.43
64001,2024-08-23,SSG,선발,승,4.50,28,6,10,0,0,1,9,3,3,5.35
64001,2024-08-29,LG,선발,,9.64,26,4 2/3,9,0,1,1,7,5,5,5.61
64001,2024-09-06,NC,선발,승,4.50,27,6,8,0,0,3,5,3,3,5.53
64001,2024-09-14,두산,선발,패,1.50,22,6,4,0,1,0,4,2,1,5.26
64001,2024-09-21,SSG,선발,패,3.00,25,6,6,2,2,0,4,2,2,5.12
64001,2024-09-28,키움,구원,승,1.80,16,5,1,0,0,0,4,1,1,4.95
72523,2024-03-23,롯데,구원,홀,0.00,4,2/3,1,0,1,0,2,0,0,0.0
72523,2024-03-24,롯데,구원,홀,0.00,3,2/3,0,0,1,0,2,0,0,0.0
72523,2024-03-03,삼성,구원,,27.00,4,1/3,1,0,2,0,0,1,1,5.4
72523,2024-03-31,삼성,구원,,0.00,3,1,0,0,0,0,0,0,0,3.38
72523,2024-04-02,두산,구원,홀,0.00,3,1,0,0,1,0,0,0,0,2.45
72523,2024-04-03,두산,구원,승,0.00,4,1,1,0,0,0,3,0,0,1.93
72523,2024-04-06,NC,구원,,0.00,4,1,1,0,0,0,1,0,0,1.59
72523,2024-04-09,키움,구원,,0.00,4,1,1,0,0,0,1,0,0,1.35
72523,2024-04-01,키움,구원,,0.00,3,1,0,0,0,0,2,0,0,1.17
72523,2024-04-13,KT,구원,홀,0.00,2,2/3,0,0,0,0,1,0,0,1.08
72523,2024-04-14,KT,구원,,0.00,5,1,0,0,2,0,1,0,0,0.96
72523,2024-04-16,KIA,구원,,13.50,4,2/3,2,1,0,0,0,1,1,1.8
72523,2024-04-18,KIA,구원,홀,0.00,3,2/3,0,0,1,0,2,0,0,1.69
72523,2024-04-21,LG,구원,,40.50,5,2/3,0,0,3,0,2,3,3,3.97
72523,2024-04-25,롯데,구원,,0.00,4,1,0,0,1,0,2,0,0,3.65
72523,2024-04-03,한화,구원,,27.00,4,1/3,2,0,1,0,1,1,1,4.26
72523,2024-05-02,한화,구원,승,0.00,4,1,0,0,1,0,0,0,0,3.95
72523,2024-05-04,NC,구원,,40.50,5,2/3,2,0,1,0,1,3,3,5.65
72523,2024-06-04,삼성,구원,,0.00,6,1 1/3,1,0,1,0,2,0,0,5.17
72523,2024-06-05,삼성,구원,,9.00,5,1,2,1,0,0,0,1,1,5.4
72523,2024-06-07,롯데,구원,,9.00,6,1,1,0,1,1,1,2,1,5.6
72523,2024-06-09,롯데,구원,,9.00,5,1,2,0,0,0,0,1,1,5.79
72523,2024-06-11,KIA,구원,,9.00,4,1,1,1,0,0,1,1,1,5.95
72523,2024-06-12,KIA,구원,,54.00,6,2/3,1,0,3,0,0,4,4,7.52
72523,2024-06-25,KT,구원,,0.00,4,1,1,0,0,0,2,0,0,7.17
72523,2024-06-27,KT,구원,패,40.50,5,2/3,3,1,0,0,0,3,3,8.18
53609,2024-03-23,키움,구원,홀,0.00,1,1/3,0,0,0,0,1,0,0,0.0
53609,2024-03-27,롯데,구원,,0.00,3,1,0,0,1,0,1,0,0,0.0
53609,2024-03-29,두산,구원,홀,0.00,2,2/3,0,0,0,0,1,0,0,0.0
53609,2024-03-31,두산,구원,,0.00,3,1/3,2,0,0,0,1,0,0,0.0
53609,2024-04-03,KT,구원,,0.00,4,1,1,0,0,0,2,0,0,0.0
53609,2024-04-05,삼성,구원,홀,0.00,3,2/3,0,0,1,0,1,0,0,0.0
53609,2024-04-06,삼성,구원,,0.00,3,1,0,0,0,0,2,0,0,0.0
53609,2024-04-09,LG,구원,,0.00,5,1,1,0,1,0,2,1,0,0.0
53609,2024-04-01,LG,구원,,0.00,4,1 1/3,0,0,0,0,2,0,0,0.0
53609,2024-04-12,한화,구원,홀,0.00,4,1,1,0,0,0,1,0,0,0.0
53609,2024-04-13,한화,구원,,-,3,0,1,0,2,0,0,0,0,0.0
53609,2024-04-16,SSG,구원,,0.00,2,2/3,0,0,0,0,1,0,0,0.0
53609,2024-04-17,SSG,구원,,13.50,5,2/3,1,0,2,0,1,1,1,0.93
53609,2024-04-21,NC,구원,,18.00,6,1,1,0,2,0,0,2,2,2.53
53609,2024-04-23,키움,구원,승,0.00,4,1 1/3,0,0,0,0,2,0,0,2.25
53609,2024-04-26,LG,구원,,0.00,2,1/3,1,0,0,0,1,0,0,2.19
53609,2024-04-28,LG,구원,홀,0.00,4,1,0,0,1,0,0,0,0,2.03
53609,2024-05-02,KT,구원,,0.00,2,2/3,0,0,0,0,0,0,0,1.93
53609,2024-05-03,한화,구원,,9.00,4,1,1,1,0,0,1,1,1,2.4
53609,2024-05-08,삼성,구원,,0.00,2,2/3,0,0,0,0,0,0,0,2.3
53609,2024-05-09,삼성,구원,,0.00,5,1,0,0,2,0,3,0,0,2.16
53609,2024-05-12,SSG,구원,홀,0.00,4,2/3,1,0,1,0,0,0,0,2.08
53609,2024-05-15,두산,구원,홀,0.00,5,1 1/3,1,0,0,0,3,0,0,1.93
53609,2024-05-16,두산,구원,,-,2,0,0,0,2,0,0,2,2,2.89
53609,2024-05-18,NC,구원,,0.00,3,1,0,0,0,0,1,0,0,2.75
53609,2024-05-21,롯데,구원,패,-,3,0,1,0,2,0,0,3,3,4.12
53609,2024-05-23,롯데,구원,,0.00,4,1,0,0,1,0,1,0,0,3.92
53609,2024-05-24,두산,구원,,0.00,4,1,1,0,0,0,0,0,0,3.74
53609,2024-05-26,두산,구원,,0.00,3,1,0,0,1,0,0,0,0,3.57
53609,2024-06-06,롯데,구원,승,13.50,4,2/3,2,1,0,0,1,1,1,3.86
53609,2024-06-08,두산,구원,,0.00,3,1,0,0,0,0,0,0,0,3.7
53609,2024-06-09,두산,구원,,0.00,4,1,1,0,0,0,2,0,0,3.55
53609,2024-06-16,KT,구원,홀,0.00,1,1/3,0,0,0,0,0,0,0,3.51
53609,2024-06-18,LG,구원,,0.00,3,2/3,0,0,1,0,1,0,0,3.42
53609,2024-06-19,LG,구원,,13.50,6,2/3,3,0,1,0,0,1,1,3.67
53609,2024-06-21,한화,구원,세,0.00,4,1 1/3,0,0,0,0,2,0,0,3.49
53609,2024-06-23,한화,구원,홀,0.00,2,2/3,0,0,0,0,0,0,0,3.41
53609,2024-06-25,롯데,구원,,-,3,0,1,0,1,0,0,1,0,3.41
53609,2024-06-26,롯데,구원,패,-,2,0,2,0,0,0,0,1,1,3.72
53609,2024-07-02,삼성,구원,,0.00,1,1/3,0,0,0,0,1,0,0,3.68
53609,2024-07-09,LG,구원,,0.00,4,2/3,1,0,1,0,0,0,0,3.6
53609,2024-07-13,SSG,구원,,36.00,8,1,4,0,0,1,1,4,4,4.65
53609,2024-07-17,삼성,구원,,0.00,4,1,0,0,1,0,1,0,0,4.5
53609,2024-07-18,삼성,구원,홀,0.00,1,1/3,0,0,0,0,0,0,0,4.45
53609,2024-07-02,한화,구원,,0.00,4,1,1,0,0,0,2,0,0,4.32
53609,2024-07-21,한화,구원,,54.00,4,1/3,2,1,1,0,0,2,2,4.81
53609,2024-07-25,NC,구원,,0.00,3,1,0,0,0,0,2,0,0,4.67
53609,2024-07-27,키움,구원,홀,0.00,3,1,0,0,0,0,1,0,0,4.54
53609,2024-07-28,키움,구원,,0.00,4,1,0,0,1,0,1,0,0,4.42
53609,2024-07-31,두산,구원,,0.00,5,1,1,0,1,0,2,0,0,4.3
53609,2024-08-01,두산,구원,,0.00,2,1/3,0,0,0,1,0,0,0,4.26
53609,2024-08-06,KT,구원,홀,0.00,2,1/3,0,0,0,0,0,0,0,4.23
53609,2024-08-08,KT,구원,,0.00,3,1,0,0,0,0,1,0,0,4.12
53609,2024-08-09,삼성,구원,,6.75,6,1 1/3,2,0,0,0,1,1,1,4.2
53609,2024-08-11,삼성,구원,,0.00,1,1/3,0,0,0,0,0,0,0,4.17
53609,2024-08-13,키움,구원,홀,0.00,4,1,0,0,0,1,1,0,0,4.07
53609,2024-08-14,키움,구원,홀,0.00,2,1/3,0,0,1,0,0,0,0,4.04
53609,2024-08-16,LG,구원,,0.00,3,1,0,0,0,0,2,0,0,3.95
53609,2024-08-18,LG,구원,,0.00,2,1/3,0,0,1,0,1,0,0,3.92
53609,2024-08-21,롯데,구원,,9.00,5,1,1,1,1,0,0,1,1,4.03
53609,2024-08-24,NC,구원,홀,0.00,5,1 1/3,1,0,0,1,1,0,0,3.91
53609,2024-08-28,SSG,구원,,0.00,4,1,0,0,1,0,1,0,0,3.83
53609,2024-08-31,삼성,구원,승,0.00,7,1 2/3,0,0,1,0,1,0,0,3.7
53609,2024-09-03,LG,구원,홀,0.00,2,2/3,0,0,0,0,0,0,0,3.65
