Name,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
김택연,65.0,10.8,4.29,2.52,0.28,28.20%,11.20%,17.00%,0.211,1.26,0.302,82.90%,2.08,3.36,-1.29
정해영,50.2,8.88,2.84,3.13,1.42,23.80%,7.60%,16.20%,0.244,1.24,0.289,94.70%,2.49,4.83,-2.35
김재열,68.2,8.78,3.8,2.31,0.52,23.60%,10.20%,13.40%,0.227,1.27,0.293,82.30%,2.49,3.82,-1.33
네일,149.1,8.32,2.11,3.94,0.66,21.50%,5.50%,16.00%,0.258,1.27,0.318,70.60%,2.53,3.74,-1.21
주현상,71.1,8.07,1.01,8.0,1.14,24.00%,3.00%,21.00%,0.202,0.84,0.232,80.60%,2.65,3.97,-1.32
하트,157.0,10.43,2.18,4.79,0.63,28.80%,6.00%,22.80%,0.213,1.03,0.29,77.40%,2.69,3.28,-0.58
홍건희,59.1,6.83,5.01,1.36,0.76,17.00%,12.50%,4.50%,0.243,1.48,0.284,82.60%,2.73,5.25,-2.52
이병헌,65.1,7.85,4.68,1.68,0.41,20.00%,11.90%,8.10%,0.246,1.45,0.309,77.80%,2.89,4.3,-1.41
노경은,83.2,7.64,3.44,2.22,1.08,20.30%,9.10%,11.10%,0.226,1.23,0.262,82.80%,2.9,4.9,-1.99
유영찬,63.2,10.88,4.24,2.57,0.28,26.90%,10.50%,16.40%,0.241,1.43,0.339,76.80%,2.97,3.29,-0.33
브랜든,75.0,9.0,1.32,6.82,0.36,23.80%,3.50%,20.30%,0.25,1.15,0.324,65.30%,3.12,2.87,0.25
반즈,150.2,10.21,2.75,3.72,1.08,27.40%,7.40%,20.00%,0.244,1.23,0.318,79.60%,3.35,4.05,-0.7
후라도,190.1,7.99,1.51,5.28,0.9,21.70%,4.10%,17.60%,0.251,1.14,0.302,74.20%,3.36,3.92,-0.56
박영현,76.2,10.21,2.58,3.95,1.41,28.10%,7.10%,21.00%,0.219,1.11,0.27,79.20%,3.52,4.38,-0.85
김원중,63.1,9.66,4.41,2.19,0.57,24.50%,11.20%,13.40%,0.241,1.42,0.318,74.90%,3.55,3.94,-0.39
곽도규,55.2,10.35,5.5,1.88,0.65,25.80%,13.70%,12.10%,0.205,1.38,0.275,75.60%,3.56,4.43,-0.87
조병현,73.0,11.84,3.82,3.1,0.99,31.80%,10.30%,21.50%,0.193,1.14,0.267,69.10%,3.58,3.9,-0.32
원태인,159.2,6.71,2.37,2.83,0.96,17.80%,6.30%,11.50%,0.242,1.2,0.274,74.80%,3.66,4.56,-0.9
헤이수스,171.1,9.35,2.31,4.05,1.16,24.50%,6.00%,18.40%,0.255,1.25,0.317,76.20%,3.68,4.36,-0.68
와이스,91.2,9.62,2.85,3.38,0.79,25.50%,7.60%,18.00%,0.219,1.16,0.28,67.50%,3.73,3.79,-0.06
이민우,55.0,8.02,3.76,2.13,0.82,20.90%,9.80%,11.10%,0.265,1.44,0.325,75.30%,3.76,4.46,-0.69
손주영,144.2,6.97,3.36,2.07,0.68,17.60%,8.50%,9.10%,0.274,1.46,0.324,73.00%,3.79,4.52,-0.72
레예스,144.0,7.13,1.88,3.8,0.94,18.50%,4.90%,13.60%,0.274,1.31,0.319,74.90%,3.81,4.29,-0.48
임찬규,134.0,9.13,2.82,3.24,0.81,23.60%,7.30%,16.30%,0.272,1.39,0.346,76.30%,3.83,3.94,-0.11
윌커슨,196.2,7.64,1.24,6.19,0.82,20.50%,3.30%,17.20%,0.267,1.21,0.319,69.70%,3.84,3.68,0.16
류현진,158.1,7.67,1.88,4.09,0.68,19.90%,4.90%,15.00%,0.283,1.36,0.343,69.60%,3.87,3.71,0.15
앤더슨,115.2,12.29,4.12,2.98,0.86,31.90%,10.70%,21.20%,0.225,1.31,0.327,72.40%,3.89,3.84,0.05
장현식,75.1,8.96,4.06,2.21,0.96,22.70%,10.30%,12.40%,0.254,1.45,0.316,70.10%,3.94,4.57,-0.63
김태훈,52.1,6.36,3.27,1.95,1.03,16.40%,8.40%,8.00%,0.243,1.3,0.27,75.50%,3.96,5.14,-1.19
김진성,70.1,7.81,2.94,2.65,1.41,20.70%,7.80%,12.90%,0.235,1.21,0.266,75.70%,3.97,5.33,-1.36
임창민,54.1,8.28,4.97,1.67,0.66,19.80%,11.90%,7.90%,0.271,1.66,0.335,76.40%,3.98,4.63,-0.66
이영하,65.1,8.13,4.96,1.64,0.55,19.80%,12.10%,7.70%,0.238,1.5,0.294,69.90%,3.99,4.48,-0.49
엘리아스,123.2,7.57,2.18,3.47,0.95,19.80%,5.70%,14.10%,0.258,1.26,0.304,71.60%,4.08,4.31,-0.23
