선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강민호,삼성,0.258,130,444,396,38,102,19,1,13,162,66,1,3
강한울,삼성,0.323,94,252,226,31,73,12,1,1,90,26,4,2
공민규,삼성,0.158,15,22,19,0,3,0,0,0,3,2,0,1
구자욱,삼성,0.293,99,442,409,69,120,23,3,5,164,38,1,2
김동엽,삼성,0.221,30,100,95,9,21,5,0,2,32,4,0,1
김동진,삼성,0.25,5,4,4,0,1,1,0,0,2,0,0,0
김상수,삼성,0.251,72,260,235,30,59,11,0,2,76,29,4,2
김서준,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
김성윤,삼성,0.19,48,49,42,14,8,3,0,1,14,2,1,0
김성표,삼성,0.118,17,18,17,5,2,0,0,0,2,0,0,0
김영웅,삼성,0.133,13,15,15,2,2,0,0,1,5,1,0,0
김재성,삼성,0.335,63,185,161,16,54,10,0,3,73,26,1,3
김재혁,삼성,0.242,15,39,33,5,8,1,0,0,9,3,0,1
김지찬,삼성,0.28,113,429,361,62,101,7,6,0,120,25,19,2
김태군,삼성,0.298,102,235,205,20,61,11,0,2,78,25,6,3
김헌곤,삼성,0.192,80,239,224,18,43,8,0,1,54,20,2,3
김현준,삼성,0.275,118,422,363,57,100,19,4,0,127,22,8,0
김호재,삼성,0.143,21,29,28,1,4,1,0,0,5,1,0,0
박승규,삼성,0.216,62,83,74,10,16,2,0,0,18,4,5,1
박주혁,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
송준석,삼성,0.138,17,32,29,3,4,0,0,0,4,1,1,0
안주형,삼성,0.15,18,23,20,2,3,0,0,0,3,2,1,1
오선진,삼성,0.276,100,306,268,30,74,8,0,3,91,24,16,1
오승환,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0
오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7
우규민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
윤정빈,삼성,0.000,13,10,10,1,0,0,0,0,0,0,0,0
이병헌,삼성,0.75,3,4,4,1,3,1,0,0,4,1,0,0
이상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
이성규,삼성,0.074,13,34,27,5,2,0,0,0,2,1,0,0
이원석,삼성,0.267,88,335,288,31,77,13,0,10,120,60,3,6
이재현,삼성,0.235,75,239,230,23,54,4,0,7,79,23,3,0
이태훈,삼성,0.176,10,18,17,2,3,0,0,0,3,0,0,0
이해승,삼성,0.232,46,106,99,11,23,3,0,0,26,5,6,0
조민성,삼성,0.308,12,16,13,3,4,0,0,1,7,3,0,0
최영진,삼성,0.188,43,91,80,5,15,4,0,2,25,10,1,0
피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2
홍정우,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
