선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고명준,SSG,3,0,0,0,-,0,0
고종욱,SSG,88,5,2,3,40.0,3,0
김강민,SSG,122,6,3,3,50.0,3,0
김규남,SSG,4,0,0,0,-,0,0
김상수,SSG,3,0,0,0,-,0,0
김성현,SSG,110,7,5,2,71.4,2,0
김찬형,SSG,88,0,0,0,-,0,0
김창평,SSG,40,3,2,1,66.7,0,0
김태훈,SSG,1,0,0,0,-,0,0
김택형,SSG,3,0,0,0,-,0,0
남태혁,SSG,12,0,0,0,-,0,0
로맥,SSG,107,1,1,0,100,6,0
박민호,SSG,1,0,0,0,-,0,0
박성한,SSG,135,17,12,5,70.6,3,0
서동민,SSG,1,0,0,0,-,0,0
서진용,SSG,5,0,0,0,-,0,0
신재영,SSG,1,0,0,0,-,0,0
안상현,SSG,37,4,3,1,75.0,1,0
오준혁,SSG,26,0,0,0,-,0,0
오태곤,SSG,122,13,9,4,69.2,0,0
유서준,SSG,6,0,0,0,-,0,0
이재원,SSG,107,2,0,2,0.0,2,0
이정범,SSG,19,0,0,0,-,0,0
이현석,SSG,39,0,0,0,-,2,0
이흥련,SSG,90,0,0,0,-,0,0
장지훈,SSG,2,0,0,0,-,0,0
정상호,SSG,3,0,0,0,-,0,0
정수민,SSG,1,0,0,0,-,0,0
정의윤,SSG,62,0,0,0,-,0,0
조요한,SSG,1,0,0,0,-,0,0
최정,SSG,134,14,8,6,57.1,5,0
최주환,SSG,116,3,2,1,66.7,3,1
최지훈,SSG,136,32,26,6,81.3,4,2
최항,SSG,34,1,1,0,100,0,0
추신수,SSG,137,34,25,9,73.5,4,0
하재훈,SSG,2,0,0,0,-,0,0
한유섬,SSG,135,1,1,0,100,4,0
