순위,경기,승,패,무,승률,게임차,홈,방문
1,144,85,56,3,0.603,0.0,41-01-29,44-02-27
2,144,83,57,4,0.593,1.5,44-02-27,39-2-30
3,144,75,65,4,0.536,9.5,38-4-31,37-0-34
4,144,74,68,2,0.521,11.5,41-0-30,33-2-38
5,144,71,67,6,0.514,12.5,36-1-34,35-5-33
6,144,71,68,5,0.511,13.0,36-2-35,35-3-33
7,144,66,72,6,0.478,17.5,35-4-34,31-2-38
8,144,65,75,4,0.464,19.5,35-2-34,30-2-41
9,144,61,77,6,0.442,22.5,29-4-40,32-2-37
10,144,47,93,4,0.336,37.5,23-2-46,24-2-47
