팀명,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
한화,86,4,3871,1325,100,0.984,11,96,39,28.9
SSG,106,10,3850,1398,139,0.98,4,110,46,29.5
두산,120,12,3840,1363,123,0.977,12,103,43,29.5
롯데,111,5,3840,1380,117,0.979,13,104,23,18.1
LG,92,10,3838,1438,137,0.983,7,95,23,19.5
KT,103,5,3835,1458,105,0.981,6,128,32,20.0
KIA,123,10,3824,1422,127,0.977,8,111,41,27.0
NC,116,5,3810,1381,119,0.978,7,80,36,31.0
키움,119,4,3807,1317,111,0.977,13,107,53,33.1
삼성,87,8,3806,1389,122,0.984,12,107,26,19.5
