game_id,player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
20250803NCKT0,64001,2025-08-03,NC,구원,,0.00,9,2,1,0,1,1,4,0,0,2.93
20250807HHKT0,64001,2025-08-07,한화,선발,,4.50,27,6,7,1,0,1,2,4,3,3.01
20250815WOKT0,64001,2025-08-15,키움,선발,,1.29,27,7,4,1,0,0,6,2,1,2.91
20250821SKKT0,64001,2025-08-21,SSG,선발,패,3.00,23,6,4,0,1,1,6,2,2,2.92
20250827LTKT0,64001,2025-08-27,롯데,선발,승,1.50,27,6,8,0,2,0,5,1,1,2.85
20250902NCKT0,64001,2025-09-02,NC,선발,패,9.00,26,5,8,0,0,3,6,5,5,3.07
20250909OBKT0,64001,2025-09-09,두산,구원,,0.00,4,1,1,0,0,0,3,0,0,3.05
20250913SSKT0,64001,2025-09-13,삼성,선발,,4.50,25,6,6,1,2,1,3,3,3,3.11
20250902HHKT0,64001,2025-09-02,한화,선발,승,2.57,28,7,7,0,1,0,3,2,2,3.08
20250926SKKT0,64001,2025-09-26,SSG,선발,패,5.40,20,5,6,1,0,1,6,3,3,3.16
20250903NCKT0,64001,2025-09-03,NC,구원,패,20.25,10,1 1/3,4,1,1,0,0,5,3,3.3
20250501KTOB0,72523,2025-05-01,KT,구원,홀,0.00,3,2/3,0,0,1,0,1,0,0,0.0
20250502SSOB0,72523,2025-05-02,삼성,구원,패,-,3,0,2,0,1,0,0,3,3,40.5
20250504SSOB0,72523,2025-05-04,삼성,구원,,0.00,3,1,0,0,1,0,0,0,0,16.2
20250506LGOB0,72523,2025-05-06,LG,구원,,0.00,3,1,0,0,0,0,2,0,0,10.13
20250507LGOB0,72523,2025-05-07,LG,구원,,0.00,2,1/3,1,0,0,0,0,0,0,9.0
20250501NCOB0,72523,2025-05-01,NC,구원,,0.00,1,1/3,0,0,0,0,0,0,0,8.1
20250511NCOB0,72523,2025-05-11,NC,구원,,0.00,2,1/3,1,0,0,0,0,0,0,7.36
20250513HHOB0,72523,2025-05-13,한화,구원,홀,0.00,3,1,0,0,0,0,0,0,0,5.79
20250514HHOB0,72523,2025-05-14,한화,구원,홀,9.00,3,1,1,1,0,0,0,1,1,6.35
20250517HTOB0,72523,2025-05-17,KIA,구원,,0.00,4,2/3,1,0,1,0,0,0,0,5.68
20250518HTOB0,72523,2025-05-18,KIA,구원,,0.00,4,2/3,2,0,0,0,0,0,0,5.14
20250502SKOB0,72523,2025-05-02,SSG,구원,,-,1,0,1,0,0,0,0,0,0,5.14
20250522SKOB0,72523,2025-05-22,SSG,구원,,0.00,3,1,1,0,0,0,1,0,0,4.5
20250523NCOB0,72523,2025-05-23,NC,구원,,13.50,3,2/3,1,0,0,0,0,1,1,5.19
20250529KTOB0,72523,2025-05-29,KT,구원,,81.00,5,1/3,2,1,2,0,0,3,3,8.0
20250603HTOB0,72523,2025-06-03,KIA,구원,,0.00,4,1,1,0,0,0,2,0,0,7.2
20250604HTOB0,72523,2025-06-04,KIA,구원,,0.00,1,1/3,0,0,0,0,0,0,0,6.97
20250605HTOB0,72523,2025-06-05,KIA,구원,,0.00,2,2/3,0,0,0,0,1,0,0,6.55
20250607LTOB0,72523,2025-06-07,롯데,구원,,-,2,0,2,0,0,0,0,1,1,7.36
20250601HHOB0,72523,2025-06-01,한화,구원,,27.00,2,1/3,1,0,0,0,1,1,1,7.94
20250614WOOB0,72523,2025-06-14,키움,구원,,-,2,0,1,0,1,0,0,0,0,7.94
20250626SKOB0,72523,2025-06-26,SSG,구원,,0.00,3,1,0,0,0,0,0,0,0,7.3
20250627NCOB0,72523,2025-06-27,NC,구원,,-,2,0,1,0,1,0,0,0,0,7.3
20250629NCOB0,72523,2025-06-29,NC,구원,홀,0.00,1,1/3,0,0,0,0,0,0,0,7.11
20250702SSOB0,72523,2025-07-02,삼성,구원,홀,0.00,3,1/3,0,0,1,0,0,0,0,6.92
20250703SSOB0,72523,2025-07-03,삼성,구원,,-,1,0,0,0,1,0,0,1,1,7.62
20250722HHOB0,72523,2025-07-22,한화,구원,,0.00,1,1/3,0,0,0,0,0,0,0,7.43
20250724HHOB0,72523,2025-07-24,한화,구원,,0.00,1,1/3,0,0,0,0,1,0,0,7.24
20250725LGOB0,72523,2025-07-25,LG,구원,홀,0.00,3,1,1,0,0,0,0,0,0,6.75
20250727LGOB0,72523,2025-07-27,LG,구원,승,0.00,1,1/3,0,0,0,0,0,0,0,6.6
20250729HTOB0,72523,2025-07-29,KIA,구원,,0.00,1,1/3,0,0,0,0,1,0,0,6.46
20250703HTOB0,72523,2025-07-03,KIA,구원,,0.00,2,2/3,0,0,0,0,1,0,0,6.19
20250802SKOB0,72523,2025-08-02,SSG,구원,홀,0.00,1,1/3,0,0,0,0,1,0,0,6.06
20250803SKOB0,72523,2025-08-03,SSG,구원,홀,0.00,1,1/3,0,0,0,0,1,0,0,5.94
20250805LGOB0,72523,2025-08-05,LG,구원,,27.00,3,1/3,2,1,0,0,0,1,1,6.35
20250809WOOB0,72523,2025-08-09,키움,구원,홀,0.00,2,1/3,1,0,0,0,0,0,0,6.23
20250801WOOB0,72523,2025-08-01,키움,구원,,0.00,1,1/3,0,0,0,0,1,0,0,6.11
20250812NCOB0,72523,2025-08-12,NC,구원,,0.00,2,2/3,0,0,0,0,1,0,0,5.89
20250814NCOB0,72523,2025-08-14,NC,구원,,0.00,3,2/3,0,0,0,1,0,0,0,5.68
20250815HTOB0,72523,2025-08-15,KIA,구원,,0.00,2,1/3,0,0,1,0,1,0,0,5.59
20250817HTOB0,72523,2025-08-17,KIA,구원,승,0.00,2,1/3,0,0,1,0,1,0,0,5.49
20250819HHOB0,72523,2025-08-19,한화,구원,,-,2,0,0,0,2,0,0,0,0,5.49
20250822KTOB0,72523,2025-08-22,KT,구원,,54.00,3,1/3,2,0,0,0,1,2,2,6.3
