player_id,Name,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
55460,가라비토,9.65,4.25,2.27,0.69,25.70%,11.30%,14.40%,0.197,1.19,0.258,75.10%,2.64,3.94,-1.3
55532,감보아,9.75,4.08,2.39,0.5,24.60%,10.30%,14.30%,0.23,1.35,0.304,67.80%,3.58,3.47,0.11
64001,고영표,8.61,1.68,5.13,0.56,22.50%,4.40%,18.10%,0.266,1.24,0.336,72.10%,3.3,3.18,0.12
68220,곽빈,8.81,3.38,2.61,0.74,23.00%,8.80%,14.20%,0.227,1.25,0.284,66.50%,4.2,3.74,0.46
65522,김강현,4.5,2.63,1.71,1.13,11.80%,6.90%,4.90%,0.248,1.25,0.258,71.10%,4,5.24,-1.24
51867,김건우,9.27,6.68,1.39,0.27,22.60%,16.30%,6.30%,0.216,1.55,0.291,73.40%,3.82,4.32,-0.5
77829,김광현,8.63,3.13,2.76,0.81,21.70%,7.90%,13.80%,0.282,1.49,0.35,66.10%,5,3.83,1.17
52995,김녹원,4.76,6.04,0.79,1.29,11.30%,14.40%,-3.10%,0.271,1.74,0.283,64.90%,6.56,6.39,0.17
68043,김민,9.19,2.4,3.82,0.99,24.40%,6.40%,18.00%,0.247,1.21,0.31,82.00%,2.97,3.92,-0.95
65048,김민수,6.15,2.56,2.4,0.85,15.70%,6.50%,9.10%,0.294,1.48,0.335,66.70%,4.96,4.22,0.73
53754,김서현,9.68,4.23,2.29,0.55,25.40%,11.10%,14.30%,0.216,1.26,0.289,79.60%,3.14,3.85,-0.72
66018,김선기,4.96,5.42,0.91,0.69,11.30%,12.30%,-1.00%,0.297,1.83,0.328,68.00%,5.65,5.57,0.08
54368,김연주,4.88,4.35,1.12,1.74,11.20%,10.00%,1.20%,0.306,1.78,0.315,69.00%,6.62,6.68,-0.06
55167,김영우,8.4,4.5,1.87,0.3,22.00%,11.80%,10.20%,0.221,1.32,0.287,82.10%,2.4,3.66,-1.26
62528,김원중,10.24,4.9,2.09,0.59,25.40%,12.10%,13.20%,0.245,1.5,0.329,82.40%,2.67,3.76,-1.09
54319,김윤하,5.32,4.5,1.18,1.64,12.30%,10.40%,1.90%,0.301,1.78,0.316,61.00%,6.14,6.23,-0.09
69745,김도현,5.1,2.37,2.15,0.79,12.70%,5.90%,6.80%,0.288,1.45,0.317,64.00%,4.81,4.48,0.33
65062,김재윤,6.71,2.03,3.31,1.56,17.80%,5.40%,12.40%,0.25,1.21,0.269,64.90%,4.99,4.94,0.06
63765,김종수,8.34,5.09,1.64,0.71,20.90%,12.80%,8.20%,0.236,1.46,0.292,74.40%,3.25,4.5,-1.25
75867,김진성,8.02,3.06,2.63,0.89,21.60%,8.20%,13.40%,0.228,1.2,0.274,75.80%,3.44,3.97,-0.53
67954,김진호,8.71,5.6,1.56,0.62,22.20%,14.20%,7.90%,0.202,1.35,0.257,77.00%,3.36,4.65,-1.29
62360,김태훈,10.04,3.53,2.85,1.09,25.80%,9.10%,16.70%,0.255,1.39,0.328,72.50%,4.48,4.05,0.43
54263,김택연,10.72,4.21,2.55,0.81,28.10%,11.00%,17.10%,0.192,1.18,0.256,69.70%,3.53,3.87,-0.34
67539,나균안,7.6,3.28,2.32,0.85,19.30%,8.30%,11.00%,0.262,1.41,0.312,72.90%,3.87,4.19,-0.32
54640,네일,8.32,2.25,3.71,0.33,22.90%,6.20%,16.70%,0.222,1.07,0.287,79.40%,2.25,3.09,-0.85
73211,노경은,7.65,2.81,2.72,0.23,21.30%,7.80%,13.40%,0.205,1.06,0.261,77.50%,2.14,3.12,-0.98
55536,데이비슨,8.68,3.5,2.48,0.73,22.50%,9.10%,13.40%,0.258,1.39,0.326,75.90%,3.65,3.86,-0.21
55903,라일리,11.3,2.93,3.86,0.94,30.50%,7.90%,22.60%,0.209,1.12,0.284,70.10%,3.45,3.32,0.13
54443,레예스,6.3,2.16,2.92,0.9,16.30%,5.60%,10.70%,0.255,1.26,0.288,67.80%,4.14,4.24,-0.1
55912,로건,7.75,3.49,2.22,0.94,19.40%,8.70%,10.60%,0.26,1.43,0.308,68.60%,4.53,4.41,0.12
55322,로젠버그,9.56,2.99,3.2,0.6,25.00%,7.80%,17.20%,0.216,1.17,0.282,69.40%,3.23,3.34,-0.11
