player_id,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
68050,0.132,38,5,1,0,1,3,0,0,16,1
68050,0.224,49,11,2,1,0,13,0,1,18,0
68050,0.233,30,7,1,0,1,6,23,0,10,1
68050,0.333,48,16,4,0,2,12,9,0,7,2
68050,0.219,32,7,0,0,4,6,4,0,5,1
68050,0.258,31,8,5,0,0,8,6,0,9,0
68050,0.344,32,11,3,0,2,3,3,0,5,1
68050,0.225,40,9,2,0,2,8,7,1,13,1
68050,0.097,31,3,1,0,1,2,2,1,9,1
68050,0.194,36,7,0,0,1,3,7,1,7,1
68050,0.281,32,9,2,1,1,7,3,0,4,1
68050,0.394,33,13,1,0,2,10,3,0,3,1
68050,0.333,6,2,0,0,0,2,0,0,2,0
68050,0.279,111,31,9,0,6,26,19,0,21,3
68050,0.223,103,23,6,0,5,13,12,2,27,3
68050,0.290,107,31,3,1,4,22,13,1,16,3
68050,0.189,37,7,1,0,1,2,2,0,7,0
68050,0.205,44,9,3,0,1,8,11,0,9,0
68050,0.121,33,4,0,0,1,2,2,1,10,2
68050,0.315,130,41,11,1,8,30,17,1,26,4
68050,0.273,55,15,2,0,4,14,8,0,8,3
68050,0.400,20,8,1,0,0,4,3,1,3,0
68050,-,0,0,0,0,0,0,1,0,0,0
68050,0.500,2,1,0,0,0,1,0,0,1,0
68050,0.244,86,21,6,1,1,13,12,2,24,3
68050,0.262,229,60,12,0,12,44,31,1,39,6
68050,0.667,6,4,0,0,2,4,1,0,1,0
68050,0.236,110,26,5,0,6,12,12,2,20,4
68050,0.317,101,32,7,0,7,29,14,1,19,5
68050,0.245,110,27,6,1,2,20,18,0,25,0
54506,0.000,1,0,0,0,0,0,0,0,0,0
63123,0.249,193,48,10,1,6,6,14,6,58,0
63123,0.217,69,15,4,0,1,2,1,2,22,4
63123,0.148,27,4,0,0,1,3,3,1,10,0
63123,0.462,13,6,1,1,0,6,2,1,3,0
63123,0.308,26,8,3,1,0,9,0,0,6,1
63123,0.091,11,1,0,0,0,5,2,1,3,2
63123,0.091,11,1,0,0,0,2,2,0,7,0
63123,0.200,10,2,1,0,0,4,0,0,4,0
63123,0.222,167,37,9,2,2,31,10,5,55,7
63123,0.224,98,22,5,2,1,29,9,3,33,3
63123,0.186,43,8,2,0,2,6,2,4,0,2
63123,0.458,24,11,3,0,0,0,0,1,0,0
63123,0.375,8,3,1,0,0,1,0,0,0,0
63123,-,0,0,0,0,0,0,3,0,0,0
63123,0.406,32,13,4,0,1,6,0,3,0,3
63123,0.429,28,12,1,0,2,7,0,1,0,1
63123,0.429,21,9,1,0,1,3,0,0,0,0
63123,0.400,5,2,0,1,1,3,3,0,0,0
63123,0.129,31,4,1,1,0,2,0,0,17,0
63123,0.129,85,11,5,1,0,3,0,1,50,1
63123,0.121,58,7,1,0,1,3,0,0,35,0
63123,0.200,25,5,0,0,0,3,16,1,11,0
63123,0.200,20,4,1,1,0,1,1,0,6,0
63123,0.218,55,12,1,0,1,2,3,2,18,1
63123,0.138,29,4,0,1,0,3,1,1,9,2
63123,0.289,45,13,5,0,3,7,3,3,10,1
63123,0.417,36,15,2,1,2,3,2,0,11,0
63123,0.280,50,14,4,0,1,5,3,1,15,0
63123,0.150,40,6,2,0,0,1,1,0,16,0
63123,0.256,39,10,2,0,1,8,3,2,11,2
63123,0.167,42,7,2,0,0,7,4,2,17,1
63123,0.000,4,0,0,0,0,0,3,0,0,0
63123,0.192,104,20,2,2,1,6,5,3,33,3
63123,0.321,131,42,11,1,6,15,8,4,36,1
63123,0.184,125,23,6,0,1,16,11,4,44,3
63123,-,0,0,0,0,0,0,0,1,0,0
63123,0.226,31,7,1,0,2,4,0,1,8,1
