선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강민호,삼성,125,7,6,1,85.7,5,0
강준서,삼성,10,1,0,1,0.0,0,0
강한울,삼성,72,4,1,3,25.0,1,0
공민규,삼성,22,0,0,0,-,1,0
구자욱,삼성,119,16,12,4,75.0,4,2
김대우,삼성,1,0,0,0,-,0,0
김도환,삼성,9,0,0,0,-,0,0
김동엽,삼성,69,2,1,1,50.0,2,0
김동진,삼성,44,3,3,0,100,2,1
김민수,삼성,2,0,0,0,-,0,0
김상민,삼성,8,0,0,0,-,0,0
김서준,삼성,1,0,0,0,-,0,0
김성윤,삼성,101,24,20,4,83.3,1,0
김영웅,삼성,55,1,1,0,100,0,0
김재상,삼성,17,0,0,0,-,0,0
김재성,삼성,57,1,0,1,0.0,0,0
김지찬,삼성,99,14,13,1,92.9,4,1
김태훈,삼성,2,0,0,0,-,0,0
김태훈,삼성,11,1,0,1,0.0,0,0
김헌곤,삼성,6,0,0,0,-,0,0
김현준,삼성,109,10,5,5,50.0,4,1
김호재,삼성,75,2,2,0,100,0,1
류승민,삼성,24,0,0,0,-,1,0
류지혁,삼성,132,28,26,2,92.9,7,2
송준석,삼성,7,0,0,0,-,0,0
안주형,삼성,53,0,0,0,-,2,0
오승환,삼성,3,0,0,0,-,0,0
오재일,삼성,106,1,1,0,100,3,1
윤정빈,삼성,28,1,1,0,100,1,0
이병헌,삼성,23,0,0,0,-,0,0
이상민,삼성,1,0,0,0,-,0,0
이성규,삼성,109,7,4,3,57.1,1,0
이승현,삼성,2,0,0,0,-,0,0
이재익,삼성,1,0,0,0,-,0,0
이재현,삼성,143,9,5,4,55.6,8,0
이태훈,삼성,12,0,0,0,-,0,0
이해승,삼성,9,0,0,0,-,0,0
조민성,삼성,15,1,0,1,0.0,2,0
피렐라,삼성,139,10,6,4,60.0,7,1
