선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
장재영,키움,중견수,6,2,24,1,0,10,0,0,0.909,0,0,0,-
장재영,키움,우익수,2,1,10,0,0,0,0,0,-,0,0,0,-
전준표,키움,투수,21,1,20 1/3,0,0,0,2,0,1.000,0,0,0,-
전태현,키움,2루수,34,24,213,3,0,44,68,15,0.974,0,0,0,-
전태현,키움,3루수,13,9,80,1,0,5,13,1,0.947,0,0,0,-
전태현,키움,좌익수,13,7,60,0,0,17,0,0,1.000,0,0,0,-
전태현,키움,유격수,6,2,20,0,0,5,4,1,1.000,0,0,0,-
정세영,키움,투수,4,1,2 2/3,0,0,0,0,0,-,0,0,0,-
정현우,키움,투수,18,18,81 1/3,1,0,3,14,1,0.944,0,0,0,-
조영건,키움,투수,51,6,77 2/3,0,0,0,6,0,1.0,0,0,0,-
주성원,키움,좌익수,5,5,32,1,0,11,1,0,0.923,0,0,0,-
주성원,키움,우익수,37,32,257 1/3,1,0,60,2,0,0.984,0,0,0,-
주승우,키움,투수,42,0,44,1,0,3,4,0,0.875,0,0,0,-
최주환,키움,1루수,97,95,819 1/3,6,0,698,47,67,0.992,0,0,0,-
카디네스,키움,좌익수,2,2,17,0,0,2,0,0,1.000,0,0,0,-
카디네스,키움,1루수,6,6,54,2,0,42,5,1,0.959,0,0,0,-
카디네스,키움,우익수,42,40,322,2,0,61,4,1,0.97,0,0,0,-
푸이그,키움,좌익수,28,28,232,2,0,45,1,0,0.958,0,0,0,-
하영민,키움,투수,28,28,153 1/3,0,1,7,20,1,1.0,0,0,0,-
