선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김동규,키움,6.75,9,0,0,0,0,-,8,13,2,11,0,10,11,6,3.0
김서준,키움,20.25,4,0,0,0,0,-,5 1/3,14,2,5,0,4,12,12,3.56
김선기,키움,5.65,44,1,7,0,2,0.125,78,96,6,47,11,43,55,49,1.83
김성민,키움,4.68,29,0,3,0,1,0.000,25,25,1,13,5,18,15,13,1.52
김연주,키움,6.62,20,1,3,0,0,0.250,51 2/3,67,10,25,6,28,40,38,1.78
김윤하,키움,6.14,19,0,12,0,0,0.000,88,113,16,44,3,52,76,60,1.78
로젠버그,키움,3.23,13,4,4,0,0,0.500,75 1/3,63,5,25,4,80,33,27,1.17
메르세데스,키움,4.47,8,3,3,0,0,0.500,46 1/3,54,5,9,0,41,24,23,1.36
박윤성,키움,4.53,54,0,5,1,6,0.000,51 2/3,55,9,19,1,40,31,26,1.43
박정훈,키움,7.43,16,0,1,1,0,0.000,23,24,1,20,4,7,24,19,1.91
박주성,키움,6.58,18,2,3,0,1,0.400,52,63,9,16,3,26,40,38,1.52
손현기,키움,15.0,2,0,0,0,0,-,3,4,1,6,1,1,5,5,3.33
손힘찬,키움,11.25,4,0,0,0,0,-,4,5,0,4,1,4,5,5,2.25
알칸타라,키움,3.27,19,8,4,0,0,0.667,121,125,11,10,4,92,50,44,1.12
양지율,키움,8.36,18,0,2,0,1,0.000,14,18,3,7,3,10,13,13,1.79
오석주,키움,3.7,53,2,1,0,7,0.667,58 1/3,52,4,29,7,44,24,24,1.39
원종현,키움,6.13,61,2,4,5,11,0.333,54 1/3,68,5,18,3,40,42,37,1.58
웰스,키움,3.15,4,1,1,0,0,0.500,20,18,0,6,1,16,8,7,1.2
윤석원,키움,5.54,37,1,1,0,8,0.500,37 1/3,41,3,12,2,27,23,23,1.42
윤현,키움,8.59,17,2,1,0,0,0.667,22,31,2,23,5,15,28,21,2.45
이강준,키움,6.57,29,0,3,0,2,0.000,24 2/3,29,3,17,2,26,22,18,1.86
이준우,키움,8.61,31,1,4,0,3,0.200,23,37,6,12,1,22,23,22,2.13
임진묵,키움,24.55,4,0,0,0,0,-,3 2/3,10,0,5,1,3,11,10,4.09
전준표,키움,8.85,21,2,2,0,1,0.500,20 1/3,33,2,19,3,15,22,20,2.56
정세영,키움,16.88,4,0,1,0,0,0.000,2 2/3,9,0,4,0,2,6,5,4.88
정현우,키움,5.86,18,3,7,0,0,0.300,81 1/3,92,8,48,6,55,63,53,1.72
조영건,키움,5.68,51,5,5,8,7,0.500,77 2/3,84,12,38,4,47,51,49,1.57
주승우,키움,2.45,42,2,2,16,5,0.500,44,35,7,17,2,35,13,12,1.18
하영민,키움,4.99,28,7,14,0,0,0.333,153 1/3,169,13,41,9,134,90,85,1.37
