선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강진성,SSG,58,0,0,0,-,0,0
고명준,SSG,2,0,0,0,-,0,0
고효준,SSG,2,0,0,0,-,0,0
김강민,SSG,70,3,2,1,66.7,2,0
김건웅,SSG,1,0,0,0,-,0,0
김민식,SSG,122,0,0,0,-,5,1
김성현,SSG,112,5,4,1,80.0,2,0
김정민,SSG,8,0,0,0,-,0,0
김찬형,SSG,36,0,0,0,-,0,0
노경은,SSG,1,0,0,0,-,0,0
류효승,SSG,3,0,0,0,-,0,0
문승원,SSG,1,0,0,0,-,0,0
박성한,SSG,128,5,4,1,80.0,4,3
백승건,SSG,1,0,0,0,-,0,0
서진용,SSG,3,0,0,0,-,0,0
안상현,SSG,58,4,3,1,75.0,0,0
에레디아,SSG,122,20,12,8,60.0,5,1
오태곤,SSG,123,21,20,1,95.2,2,0
이건욱,SSG,1,0,0,0,-,0,0
이재원,SSG,27,0,0,0,-,0,0
이정범,SSG,15,0,0,0,-,0,0
이흥련,SSG,16,0,0,0,-,0,0
임준섭,SSG,1,0,0,0,-,0,0
전의산,SSG,56,2,0,2,0.0,0,0
조형우,SSG,62,0,0,0,-,1,0
채현우,SSG,1,0,0,0,-,0,0
최경모,SSG,28,2,2,0,100,0,0
최민준,SSG,1,0,0,0,-,0,0
최상민,SSG,51,4,2,2,50.0,1,0
최정,SSG,128,10,7,3,70.0,6,0
최주환,SSG,134,0,0,0,-,5,0
최준우,SSG,38,1,0,1,0.0,0,0
최지훈,SSG,117,23,21,2,91.3,4,3
최항,SSG,21,0,0,0,-,1,0
추신수,SSG,112,10,6,4,60.0,4,0
하재훈,SSG,77,11,11,0,100,0,1
한유섬,SSG,109,3,2,1,66.7,1,1
