player_id,name,team,start_date,end_date
55460,가라비토,삼성,2025-01-01,2025-12-31
52125,가르시아,LG,2022-01-01,2022-12-31
51833,가빌리오,SSG,2021-01-01,2021-12-31
55532,감보아,롯데,2025-01-01,2025-12-31
53006,강건,KT,2023-01-01,2025-12-31
61700,강경학,한화,2021-01-01,2021-07-02
61700,강경학,KIA,2021-07-03,2021-12-31
61295,강동연,NC,2021-01-01,2022-12-31
67591,강동호,롯데,2021-01-01,2021-12-31
65515,강로한,롯데,2021-01-01,2022-12-31
64906,강민국,KT,2021-01-01,2021-12-31
64906,강민국,키움,2022-01-01,2022-12-31
69064,강민성,KT,2023-01-01,2025-12-31
74540,강민호,삼성,2021-01-01,2025-12-31
68050,강백호,KT,2021-01-01,2025-12-31
66710,강상원,한화,2021-01-01,2022-12-31
54567,강성우,롯데,2024-01-01,2025-12-31
54506,강승구,롯데,2024-01-01,2025-12-31
63123,강승호,두산,2021-01-01,2025-12-31
79358,강윤구,NC,2021-01-01,2022-07-21
79358,강윤구,롯데,2022-07-22,2022-12-31
50705,강재민,한화,2021-01-01,2023-12-31
50705,강재민,한화,2025-01-01,2025-12-31
53460,강준서,삼성,2023-01-01,2023-12-31
79130,강지광,SSG,2021-01-01,2021-12-31
62925,강진성,NC,2021-01-01,2021-12-31
62925,강진성,두산,2022-01-01,2023-05-24
62925,강진성,SSG,2023-05-25,2024-12-31
62925,강진성,키움,2025-01-01,2025-12-31
50905,강태경,NC,2021-01-01,2021-12-31
65514,강태율,롯데,2021-01-01,2022-12-31
65514,강태율,롯데,2024-01-01,2024-12-31
64610,강한울,삼성,2021-01-01,2024-12-31
51269,강현구,두산,2022-01-01,2022-12-31
51269,강현구,두산,2025-01-01,2025-12-31
50066,강현우,KT,2023-01-01,2025-12-31
51143,강효종,LG,2022-01-01,2024-12-31
68069,고명성,KT,2021-01-01,2022-12-31
51868,고명준,SSG,2021-01-01,2021-12-31
51868,고명준,SSG,2023-01-01,2025-12-31
66201,고봉재,두산,2021-01-01,2021-12-31
66201,고봉재,두산,2023-01-01,2023-12-31
69517,고승민,롯데,2022-01-01,2025-12-31
54908,고승완,NC,2025-01-01,2025-12-31
54344,고영우,키움,2024-01-01,2025-12-31
63628,고영창,KIA,2021-01-01,2022-12-31
64001,고영표,KT,2021-01-01,2025-12-31
67119,고우석,LG,2021-01-01,2023-12-31
61353,고종욱,SSG,2021-01-01,2021-12-31
61353,고종욱,KIA,2022-01-01,2025-12-31
72523,고효준,LG,2021-01-01,2021-12-31
72523,고효준,SSG,2022-01-01,2024-12-31
72523,고효준,두산,2025-01-01,2025-12-31
68407,공민규,삼성,2022-01-01,2024-12-31
53609,곽도규,KIA,2023-01-01,2025-12-31
68220,곽빈,두산,2021-01-01,2025-12-31
53506,구드럼,롯데,2023-01-01,2023-12-31
69100,구본혁,LG,2021-01-01,2021-12-31
69100,구본혁,LG,2024-01-01,2025-12-31
63543,구승민,롯데,2021-01-01,2025-12-31
62404,구자욱,삼성,2021-01-01,2025-12-31
64498,구준범,삼성,2021-01-01,2021-12-31
65933,구창모,NC,2022-01-01,2023-12-31
65933,구창모,NC,2025-01-01,2025-12-31
79290,국해성,두산,2021-01-01,2021-12-31
79290,국해성,롯데,2023-01-01,2023-12-31
52769,권광민,한화,2022-01-01,2025-12-31
51640,권다결,KIA,2021-01-01,2022-12-31
51003,권동진,KT,2021-01-01,2022-12-31
51003,권동진,KT,2024-01-01,2025-12-31
55764,권민규,한화,2025-01-01,2025-12-31
68204,권민석,두산,2021-01-01,2023-12-31
65412,권정웅,삼성,2021-01-01,2021-12-31
55371,권혁빈,키움,2025-01-01,2025-12-31
50203,권휘,두산,2021-01-01,2022-12-31
50203,권휘,두산,2024-01-01,2024-12-31
63963,권희동,NC,2021-01-01,2025-12-31
77263,김강률,두산,2021-01-01,2024-12-31
77263,김강률,LG,2025-01-01,2025-12-31
71837,김강민,SSG,2021-01-01,2023-12-31
71837,김강민,한화,2024-01-01,2024-12-31
71837,김강민,SSG,2025-01-01,2025-12-31
65522,김강현,롯데,2023-01-01,2025-12-31
69702,김건,한화,2021-01-01,2021-12-31
69702,김건,한화,2023-01-01,2023-12-31
76225,김건국,롯데,2021-01-01,2021-12-31
76225,김건국,KIA,2023-01-01,2025-12-31
51867,김건우,SSG,2021-01-01,2022-12-31
51867,김건우,SSG,2025-01-01,2025-12-31
53844,김건웅,SSG,2023-01-01,2023-12-31
60339,김건태,NC,2021-01-01,2021-12-31
51005,김건형,KT,2021-01-01,2021-12-31
51005,김건형,KT,2024-01-01,2025-12-31
53312,김건희,키움,2023-01-01,2025-12-31
77829,김광현,SSG,2022-01-01,2025-12-31
69810,김규남,SSG,2021-01-01,2022-12-31
66614,김규성,KIA,2021-01-01,2025-12-31
51713,김규연,한화,2022-01-01,2024-12-31
66112,김기연,LG,2022-01-01,2023-12-31
66112,김기연,두산,2024-01-01,2025-12-31
51715,김기중,한화,2021-01-01,2025-12-31
67711,김기탁,한화,2021-01-01,2021-12-31
65462,김기환,NC,2021-01-01,2022-12-31
69620,김기훈,KIA,2022-01-01,2025-12-31
52995,김녹원,NC,2025-01-01,2025-12-31
78536,김대우,롯데,2021-01-01,2022-12-31
61365,김대우,삼성,2021-01-01,2025-12-31
54164,김대원,LG,2024-01-01,2024-12-31
60337,김대유,LG,2021-01-01,2022-12-31
60337,김대유,KIA,2023-01-01,2025-12-31
69238,김대한,두산,2022-01-01,2025-12-31
66145,김대현,LG,2021-01-01,2021-12-31
66145,김대현,LG,2023-01-01,2024-12-31
54401,김대호,삼성,2024-01-01,2025-12-31
68585,김도규,롯데,2021-01-01,2024-12-31
54705,김도빈,한화,2024-01-01,2024-12-31
52605,김도영,KIA,2022-01-01,2025-12-31
51294,김도윤,두산,2021-01-01,2021-12-31
51294,김도윤,두산,2024-01-01,2024-12-31
69745,김도현,한화,2021-01-01,2022-04-22
69745,김도현,KIA,2022-04-23,2022-12-31
69745,김도현,KIA,2024-01-01,2025-12-31
69442,김도환,삼성,2021-01-01,2021-12-31
69442,김도환,삼성,2023-01-01,2025-12-31
53164,김동규,LG,2023-01-01,2025-07-28
53164,김동규,키움,2023-07-29,2025-12-31
66838,김동엽,삼성,2021-01-01,2024-12-31
66838,김동엽,키움,2025-01-01,2025-12-31
68589,김동우,롯데,2021-01-01,2021-12-31
50393,김동욱,키움,2021-01-01,2021-12-31
50393,김동욱,키움,2024-01-01,2024-12-31
51230,김동주,두산,2022-01-01,2024-12-31
52267,김동준,두산,2025-01-01,2025-12-31
51403,김동진,삼성,2022-01-01,2024-12-31
53344,김동헌,키움,2023-01-01,2025-12-31
50360,김동혁,키움,2021-01-01,2024-12-31
52504,김동혁,롯데,2023-01-01,2025-12-31
55040,김동현,KT,2025-01-01,2025-12-31
54614,김두현,KIA,2024-01-01,2024-12-31
67246,김명신,두산,2021-01-01,2025-12-31
68403,김무신,삼성,2021-01-01,2022-12-31
68403,김무신,삼성,2024-01-01,2024-12-31
68043,김민,KT,2022-01-01,2024-12-31
68043,김민,SSG,2025-01-01,2025-12-31
54913,김민규,NC,2024-01-01,2025-12-31
68200,김민규,두산,2021-01-01,2021-12-31
68200,김민규,두산,2023-01-01,2025-12-31
50573,김민기,롯데,2022-01-01,2022-12-31
54097,김민석,KT,2025-01-01,2025-12-31
53554,김민석,롯데,2023-01-01,2024-12-31
53554,김민석,두산,2025-01-01,2025-12-31
77564,김민성,LG,2021-01-01,2023-12-31
77564,김민성,롯데,2024-01-01,2025-12-31
65048,김민수,KT,2021-01-01,2025-12-31
67504,김민수,롯데,2021-01-01,2023-12-31
67504,김민수,LG,2024-01-01,2025-12-31
64793,김민수,삼성,2021-01-01,2021-12-31
64793,김민수,삼성,2023-01-01,2024-12-31
69500,김민수,롯데,2022-01-01,2022-12-31
62864,김민식,KIA,2021-01-01,2022-04-22
62864,김민식,SSG,2022-04-23,2024-12-31
65764,김민우,한화,2021-01-01,2024-12-31
54608,김민재,KIA,2024-01-01,2025-12-31
54645,김민주,KIA,2024-01-01,2025-12-31
61554,김민하,한화,2021-01-01,2021-12-31
64004,김민혁,KT,2021-01-01,2025-12-31
