Year,Stadium,PF_Run,PF_HR
2025,잠실,911,785
2025,고척,813,876
2025,문학,1035,1369
2025,수원,1049,1013
2025,대전,1065,1000
2025,광주,952,939
2025,대구,1138,1354
2025,사직,1110,894
2025,창원,1057,1128
