팀명,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
LG,144,5713,4919,788,1366,219,19,130,2013,732,63,59
삼성,144,5671,4899,775,1330,241,18,161,2090,728,67,55
롯데,144,5682,4944,676,1318,242,26,75,1837,629,72,45
한화,144,5547,4892,689,1303,250,16,116,1933,643,79,46
두산,144,5581,4952,647,1298,232,31,102,1898,592,53,42
NC,144,5570,4816,732,1254,221,31,128,1921,685,62,52
KIA,144,5619,4944,668,1276,232,16,144,1972,624,43,39
SSG,144,5517,4875,609,1249,175,14,127,1833,578,52,37
KT,144,5588,4845,648,1228,214,17,104,1788,613,65,43
키움,144,5508,4935,581,1202,217,20,104,1771,540,38,33
