선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
권희동,NC,96,2,2,0,100,5,0
김성욱,NC,93,7,6,1,85.7,0,1
김수윤,NC,16,0,0,0,-,0,0
김시훈,NC,1,0,0,0,-,0,0
김주원,NC,127,18,15,3,83.3,6,1
김한별,NC,79,3,0,3,0.0,1,0
김형준,NC,26,0,0,0,-,0,0
도태훈,NC,117,3,2,1,66.7,2,0
류진욱,NC,2,0,0,0,-,0,0
마틴,NC,118,18,15,3,83.3,9,1
박건우,NC,130,12,7,5,58.3,5,0
박대온,NC,25,0,0,0,-,0,0
박민우,NC,124,33,26,7,78.8,4,1
박석민,NC,30,0,0,0,-,1,0
박세혁,NC,88,2,1,1,50.0,1,0
박영빈,NC,41,6,4,2,66.7,2,0
박주찬,NC,5,0,0,0,-,0,0
박한결,NC,12,0,0,0,-,0,0
서호철,NC,114,9,4,5,44.4,3,1
손아섭,NC,140,17,14,3,82.4,4,1
안중열,NC,77,0,0,0,-,2,0
오영수,NC,70,6,3,3,50.0,3,1
오장한,NC,3,0,0,0,-,0,0
오태양,NC,21,6,3,3,50.0,1,0
윤형준,NC,82,2,1,1,50.0,1,0
이용찬,NC,2,0,0,0,-,0,0
전사민,NC,1,0,0,0,-,0,0
조현진,NC,10,0,0,0,-,0,0
채원후,NC,1,0,0,0,-,0,0
천재환,NC,78,5,2,3,40.0,1,0
최보성,NC,12,0,0,0,-,0,0
최정원,NC,39,5,4,1,80.0,1,0
한석현,NC,27,3,2,1,66.7,1,1
한재승,NC,1,0,0,0,-,0,0
