팀명,SBA,SB,CS,SB%,OOB,PKO
KIA,137,103,34,75.2,57,5
LG,148,102,46,68.9,46,10
NC,139,100,39,71.9,56,7
SSG,137,98,39,71.5,42,4
한화,142,93,49,65.5,49,6
삼성,118,91,27,77.1,50,6
두산,130,90,40,69.2,55,4
KT,123,89,34,72.4,38,6
키움,83,63,20,75.9,42,8
롯데,100,61,39,61.0,54,6
