기준일,순위,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022-04-02,1,1,1,0,0,1,0,1승0무0패,1승,1-0-0,0-0-0
2022-04-02,1,1,1,0,0,1,0,1승0무0패,1승,0-0-0,1-0-0
2022-04-02,6,1,0,1,0,0,1,0승0무1패,1패,0-0-0,0-0-1
2022-04-02,6,1,0,1,0,0,1,0승0무1패,1패,0-0-1,0-0-0
2022-04-03,1,2,2,0,0,1,0,2승0무0패,2승,2-0-0,0-0-0
2022-04-03,1,2,2,0,0,1,0,2승0무0패,2승,0-0-0,2-0-0
2022-04-03,4,2,1,1,0,0.5,1,1승0무1패,1패,1-0-1,0-0-0
2022-04-03,4,2,1,1,0,0.5,1,1승0무1패,1승,0-0-0,1-0-1
2022-04-03,4,2,1,1,0,0.5,1,1승0무1패,1승,1-0-1,0-0-0
2022-04-03,4,2,1,1,0,0.5,1,1승0무1패,1패,0-0-0,1-0-1
2022-04-03,8,2,0,2,0,0,2,0승0무2패,2패,0-0-2,0-0-0
2022-04-03,8,2,0,2,0,0,2,0승0무2패,2패,0-0-0,0-0-2
2022-04-05,1,3,3,0,0,1,0,3승0무0패,3승,0-0-0,3-0-0
2022-04-05,3,3,2,1,0,0.667,1,2승0무1패,1패,2-0-1,0-0-0
2022-04-05,3,3,2,1,0,0.667,1,2승0무1패,2승,0-0-0,2-0-1
2022-04-05,3,3,2,1,0,0.667,1,2승0무1패,1승,0-0-0,2-0-1
2022-04-05,6,3,1,2,0,0.333,2,1승0무2패,2패,1-0-2,0-0-0
2022-04-05,6,3,1,2,0,0.333,2,1승0무2패,1패,1-0-2,0-0-0
2022-04-05,6,3,1,2,0,0.333,2,1승0무2패,1승,1-0-2,0-0-0
2022-04-05,9,3,0,3,0,0,3,0승0무3패,3패,0-0-3,0-0-0
2022-04-05,9,3,0,3,0,0,3,0승0무3패,3패,0-0-0,0-0-3
2022-04-06,1,4,4,0,0,1,0,4승0무0패,4승,0-0-0,4-0-0
2022-04-06,3,4,3,1,0,0.75,1,3승0무1패,3승,0-0-0,3-0-1
2022-04-06,4,4,2,2,0,0.5,2,2승0무2패,2패,2-0-2,0-0-0
