선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
구본혁,LG,0.286,131,397,343,41,98,16,2,1,121,38,12,0
김민수,LG,0.182,13,13,11,0,2,0,0,0,2,1,0,1
김성우,LG,0.200,7,5,5,0,1,0,0,0,1,1,0,0
김영우,LG,-,4,0,0,0,0,0,0,0,0,0,0,0
김주성,LG,0.200,16,17,15,3,3,0,0,1,6,1,0,0
김준태,LG,1.000,2,2,1,1,1,0,0,0,1,0,0,0
김진성,LG,-,5,0,0,0,0,0,0,0,0,0,0,0
김진수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1
김현종,LG,0.400,10,6,5,3,2,1,0,0,3,0,0,0
문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9
문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9
문정빈,LG,0.167,21,33,30,5,5,0,0,2,11,4,0,0
박관우,LG,0.264,39,58,53,12,14,2,0,2,22,13,0,1
박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5
박명근,LG,-,5,0,0,0,0,0,0,0,0,0,0,0
박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4
백승현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0
손용준,LG,0.200,9,16,15,3,3,0,0,0,3,1,0,0
송찬의,LG,0.211,66,166,147,18,31,9,1,3,51,20,1,1
신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4
오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11
오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6
우강훈,LG,-,2,0,0,0,0,0,0,0,0,0,0,0
유영찬,LG,0.000,11,2,1,0,0,0,0,0,0,0,0,0
이영빈,LG,0.208,44,75,72,12,15,1,1,3,27,9,1,1
이우찬,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
이정용,LG,-,8,0,0,0,0,0,0,0,0,0,0,0
이주헌,LG,0.219,76,156,128,22,28,3,0,4,43,9,2,0
이지강,LG,-,6,0,0,0,0,0,0,0,0,0,0,0
장현식,LG,-,6,0,0,0,0,0,0,0,0,0,0,0
천성호,LG,0.237,83,199,173,24,41,9,2,1,57,17,4,0
최승민,LG,0.000,19,6,5,6,0,0,0,0,0,0,0,0
최원영,LG,0.282,119,115,103,37,29,5,0,0,34,2,3,1
함덕주,LG,-,3,0,0,0,0,0,0,0,0,0,0,0
함창건,LG,0.188,15,36,32,2,6,2,0,0,8,2,0,1
홍창기,LG,0.287,51,215,174,32,50,4,0,1,57,16,2,4
