선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김강률,LG,1.46,12,1,0,1,4,1.000,12 1/3,7,0,8,1,9,2,2,1.22
김영우,LG,2.4,66,3,2,1,7,0.600,60,49,2,30,3,56,17,16,1.32
김유영,LG,12.46,6,0,0,0,0,-,4 1/3,8,0,4,1,5,6,6,2.77
김종운,LG,5.4,2,0,0,0,0,-,1 2/3,2,2,0,0,2,3,1,1.2
김주온,LG,27.0,1,0,1,0,0,0.000,1/3,0,0,2,2,1,1,1,6.0
김진성,LG,3.44,78,6,4,1,33,0.600,70 2/3,61,7,24,0,63,28,27,1.2
김진수,LG,9.0,4,0,0,0,0,-,5,11,2,1,0,6,5,5,2.4
박명근,LG,4.89,44,3,4,4,10,0.429,38 2/3,36,5,16,5,30,21,21,1.34
박시원,LG,13.5,2,0,0,0,0,-,1 1/3,0,0,5,0,0,2,2,3.75
배재준,LG,5.54,14,0,0,0,1,-,13,9,1,7,1,14,8,8,1.23
백승현,LG,3.9,33,1,0,0,2,1.000,30,28,2,28,1,27,13,13,1.87
성동현,LG,9.0,12,0,0,0,0,-,9,10,2,9,0,6,9,9,2.11
손주영,LG,3.41,30,11,6,0,0,0.647,153,153,8,49,4,132,67,58,1.32
송승기,LG,3.5,28,11,6,0,0,0.647,144,149,15,49,1,125,61,56,1.38
에르난데스,LG,4.23,14,4,4,0,0,0.500,66,53,7,24,5,73,32,31,1.17
우강훈,LG,4.66,11,0,0,0,0,-,9 2/3,12,0,6,2,5,5,5,1.86
유영찬,LG,2.63,39,2,2,21,1,0.500,41,31,2,23,3,52,14,12,1.32
이우찬,LG,1.89,23,0,1,0,0,0.000,19,13,0,14,1,20,6,4,1.42
이정용,LG,5.03,39,6,1,1,7,0.857,34,32,3,12,2,26,19,19,1.29
이종준,LG,0.0,2,0,0,0,0,-,1 2/3,0,0,1,0,2,0,0,0.6
이지강,LG,5.32,43,1,2,3,4,0.333,47 1/3,50,4,24,1,39,29,28,1.56
임찬규,LG,3.03,27,11,7,0,0,0.611,160 1/3,163,9,40,6,107,61,54,1.27
장현식,LG,4.35,56,3,3,10,5,0.500,49 2/3,65,4,21,5,38,27,24,1.73
정우영,LG,20.25,4,0,0,0,0,-,2 2/3,1,1,4,1,3,6,6,1.88
최채흥,LG,5.28,13,0,1,0,2,0.000,29,35,3,14,1,21,17,17,1.69
치리노스,LG,3.31,30,13,6,0,0,0.684,177,173,5,36,9,137,71,65,1.18
코엔 윈,LG,7.04,5,1,1,0,0,0.500,23,28,4,4,5,8,19,18,1.39
톨허스트,LG,2.86,8,6,2,0,0,0.750,44,39,2,16,2,45,15,14,1.25
함덕주,LG,6.0,31,2,3,0,1,0.400,27,14,1,18,0,26,19,18,1.19
