player_id,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
51143,1루,7,1,0,0,1,0,1,0,0,0.412
51143,"1,2루",3,0,0,0,1,0,1,0,0,0.300
51143,만루,0,0,0,0,0,0,0,0,0,-
51143,"1,3루",0,0,0,0,0,0,0,0,0,0.000
51143,2루,2,0,0,1,4,1,1,0,0,0.286
51143,"2,3루",1,0,0,0,0,0,0,0,0,0.500
51143,3루,0,0,0,0,0,0,0,0,1,0.000
51143,주자있음,13,1,0,1,6,1,3,0,1,0.325
51143,득점권,6,0,0,1,5,1,2,0,1,0.261
51143,0-0,2,0,0,0,0,0,0,0,0,0.333
51143,1-0,2,0,0,0,0,1,0,0,0,0.500
51143,2-0,2,0,0,0,0,0,0,0,0,1.000
51143,3-0,0,0,0,0,3,0,0,0,0,-
51143,0-1,2,0,0,0,0,0,0,0,0,0.250
51143,1-1,1,0,0,1,0,0,0,0,0,0.100
51143,2-1,3,1,0,0,0,0,0,0,0,0.500
51143,3-1,0,0,0,0,3,0,0,0,0,0.000
51143,0-2,1,0,0,0,0,0,3,0,0,0.143
51143,1-2,3,1,0,0,0,0,2,0,0,0.273
51143,2-2,2,0,0,0,0,1,6,0,0,0.200
51143,3-2,7,1,0,0,6,0,3,0,1,0.412
51143,1회,6,0,0,0,1,0,3,0,1,0.231
51143,2회,10,1,0,0,4,2,2,0,0,0.400
51143,3회,4,0,0,1,3,0,5,0,0,0.250
51143,4회,5,2,0,0,2,0,3,0,0,0.385
51143,5회,0,0,0,0,2,0,1,0,0,0.000
51143,1~3회,20,1,0,1,8,2,10,0,1,0.299
51143,4~6회,5,2,0,0,4,0,4,0,0,0.294
51143,1번타자,3,0,0,0,1,0,1,0,0,0.231
51143,2번타자,4,0,0,0,1,0,2,0,0,0.333
51143,3번타자,2,0,0,1,3,0,3,0,1,0.222
51143,4번타자,4,0,0,0,1,0,1,0,0,0.444
51143,5번타자,1,0,0,0,2,0,1,0,0,0.125
51143,6번타자,5,2,0,0,0,1,2,0,0,0.500
51143,7번타자,3,0,0,0,2,0,1,0,0,0.375
51143,8번타자,3,1,0,0,1,0,2,0,0,0.300
51143,9번타자,0,0,0,0,1,1,1,0,0,0.000
51143,상위(1~2번),7,0,0,0,2,0,3,0,0,0.280
51143,중심(3~5번),7,0,0,1,6,0,5,0,1,0.269
51143,하위(6~9번),11,3,0,0,4,2,6,0,0,0.333
51143,좌타자,13,3,0,0,10,2,6,0,0,0.302
51143,우타자,12,0,0,1,2,0,8,0,1,0.293
51143,0아웃,9,1,0,0,5,1,6,0,0,0.290
51143,1아웃,9,0,0,0,6,0,6,0,1,0.333
51143,2아웃,7,2,0,1,1,1,2,0,0,0.269
66201,주자없음,3,0,0,0,3,0,5,0,0,0.130
66201,1루,1,0,0,0,1,0,1,0,0,0.200
66201,"1,2루",2,0,0,0,1,1,0,0,0,0.667
66201,만루,2,1,0,0,0,0,1,0,0,0.500
66201,"1,3루",1,0,0,0,0,0,0,0,0,1.000
66201,2루,2,0,1,0,1,0,0,0,0,0.667
66201,"2,3루",1,1,0,0,1,0,0,0,0,1.000
66201,3루,0,0,0,0,0,0,0,0,0,0.000
66201,주자있음,9,2,1,0,4,1,2,0,0,0.474
66201,득점권,8,2,1,0,3,1,1,0,0,0.571
66201,0-0,1,0,0,0,0,0,0,0,0,0.200
66201,1-0,3,1,0,0,0,0,0,0,0,0.500
66201,2-0,0,0,0,0,0,0,0,0,0,0.000
66201,3-0,0,0,0,0,2,0,0,0,0,-
66201,0-1,1,0,0,0,0,0,0,0,0,0.500
66201,1-1,1,0,0,0,0,0,0,0,0,0.500
66201,2-1,1,0,1,0,0,0,0,0,0,0.167
66201,3-1,1,0,0,0,2,0,0,0,0,1.000
66201,0-2,0,0,0,0,0,1,3,0,0,0.000
66201,1-2,0,0,0,0,0,0,1,0,0,0.000
66201,2-2,3,1,0,0,0,0,1,0,0,0.375
66201,3-2,1,0,0,0,3,0,2,0,0,0.250
66201,6회,0,0,0,0,3,0,1,0,0,0.000
66201,7회,5,0,1,0,0,0,2,0,0,0.417
66201,8회,5,1,0,0,1,1,3,0,0,0.278
66201,9회,2,1,0,0,3,0,1,0,0,0.286
66201,4~6회,0,0,0,0,3,0,1,0,0,0.000
66201,7회이후,12,2,1,0,4,1,6,0,0,0.324
66201,1번타자,4,0,0,0,0,0,1,0,0,0.500
66201,2번타자,3,1,1,0,0,1,1,0,0,0.429
66201,3번타자,2,0,0,0,0,0,1,0,0,0.500
66201,4번타자,0,0,0,0,1,0,0,0,0,0.000
66201,5번타자,0,0,0,0,0,0,0,0,0,0.000
66201,6번타자,1,1,0,0,1,0,1,0,0,0.500
66201,7번타자,0,0,0,0,3,0,0,0,0,0.000
66201,8번타자,0,0,0,0,1,0,1,0,0,0.000
66201,9번타자,2,0,0,0,1,0,2,0,0,0.250
66201,상위(1~2번),7,1,1,0,0,1,2,0,0,0.467
66201,중심(3~5번),2,0,0,0,1,0,1,0,0,0.200
66201,하위(6~9번),3,1,0,0,6,0,4,0,0,0.176
66201,좌타자,7,1,0,0,6,0,5,0,0,0.333
66201,우타자,5,1,1,0,1,1,2,0,0,0.238
66201,0아웃,4,0,0,0,2,0,1,0,0,0.286
66201,1아웃,6,2,1,0,2,0,1,0,0,0.429
66201,2아웃,2,0,0,0,3,1,5,0,0,0.143
